type,name,res_id,src,value,fuzzy
error,product.template,0,You cannot change the default uom for a product which is associated to stock moves.,No puede cambiar la UdM predeterminada para un producto asociado con movimientos de inventario.,0
error,product.uom,0,"If the UOM is still not used, you can delete it otherwise you can deactivate it and create a new one.","Si no se ha usado la UdM, puede eliminar, de otra forma puede desactivarla y crear una nueva.",0
error,product.uom,0,Invalid Factor and Rate values!,¡Factor y valores de tasa de cambio inválidas!,0
error,product.uom,0,Rate and factor can not be both equal to zero.,Tasa de cambio y factor no pueden ser cero simultáneamente.,0
error,product.uom,0,"You cannot change Rate, Factor or Category on a Unit of Measure. ","No puede cambiar la Rata, el Factor o la Categoría de una Unidad de Medida.",0
field,"product.category,childs",0,Children,Hij@s,0
field,"product.category,name",0,Name,Nombre,0
field,"product.category,parent",0,Parent,Padre,0
field,"product.category,rec_name",0,Name,Nombre,0
field,"product.product,code",0,Code,Código,0
field,"product.product,description",0,Description,Descripción,0
field,"product.product,rec_name",0,Name,Nombre,0
field,"product.product,template",0,Product Template,Plantilla de Producto,0
field,"product.template,active",0,Active,Activo,0
field,"product.template,category",0,Category,Categoría,0
field,"product.template,cost_price",0,Cost Price,Método de Precio,0
field,"product.template,cost_price_method",0,Cost Method,Método de Coste,0
field,"product.template,cost_price_uom",0,Cost Price,Método de Precio,0
field,"product.template,default_uom",0,Default UOM,UdM Predeterminado,0
field,"product.template,list_price",0,List Price,Precio de Lista,0
field,"product.template,list_price_uom",0,List Price,Precio de Lista,0
field,"product.template,name",0,Name,Nombre,0
field,"product.template,products",0,Products,Productos,0
field,"product.template,rec_name",0,Name,Nombre,0
field,"product.template,type",0,Type,Tipo,0
field,"product.uom,active",0,Active,Activo,0
field,"product.uom,category",0,UOM Category,Categoría UDM,0
field,"product.uom.category,name",0,Name,Nombre,0
field,"product.uom.category,rec_name",0,Name,Nombre,0
field,"product.uom.category,uoms",0,Unit of Measures,Unidad de Medidas,0
field,"product.uom,digits",0,Display Digits,Mostrar Dígitos,0
field,"product.uom,factor",0,Factor,Factor,0
field,"product.uom,name",0,Name,Nombre,0
field,"product.uom,rate",0,Rate,Tasa de Cambio,0
field,"product.uom,rec_name",0,Name,Nombre,0
field,"product.uom,rounding",0,Rounding Precision,Precisión de Redondeo,0
field,"product.uom,symbol",0,Symbol,Símbolo,0
help,"product.uom,factor",0,"The coefficient for the formula:
coef (base unit) = 1 (this unit)",El coeficiente para la fórmula:,0
help,"product.uom,rate",0,"The coefficient for the formula:
1 (base unit) = coef (this unit)",El coeficiente para la fórmula:,0
model,"ir.action,name",act_category_tree,Categories,Categorías,0
model,"ir.action,name",act_uom_category_form,Categories of Unit of Measure,Categorías de Unidad de Medida,0
model,"ir.action,name",act_uom_category_form2,Categories of Unit of Measure,Categorías de Unidad de Medida,1
model,"ir.action,name",act_product_by_category,Product by Category,Producto por Categoría,0
model,"ir.action,name",act_category_form,Product Categories,Categorías de Producto,0
model,"ir.action,name",act_category_form2,Product Categories,Categorías de Producto,1
model,"ir.action,name",act_product_form,Products,Productos,0
model,"ir.action,name",act_product_form2,Products,Productos,0
model,"ir.action,name",act_uom_form,Units of Measure,Unidades de Medida,0
model,"ir.action,name",act_uom_form2,Units of Measure,Unidades de Medida,0
model,"ir.ui.menu,name",menu_category_tree,Categories,Categorías,0
model,"ir.ui.menu,name",menu_category_form,Categories,Editar Categorías,1
model,"ir.ui.menu,name",menu_uom_category_form,Categories,Categorías,0
model,"ir.ui.menu,name",menu_category_form_new,New Category,Nueva Categoría,0
model,"ir.ui.menu,name",menu_uom_category_form_new,New Category,Nueva Categoría,0
model,"ir.ui.menu,name",menu_product_product_new,New Product,Nuevo Producto,0
model,"ir.ui.menu,name",menu_uom_form2,New Unit of Measure,Nueva Unidad de Mesura,0
model,"ir.ui.menu,name",menu_main_product,Product,Producto,0
model,"ir.ui.menu,name",menu_product_product,Products,Productos,0
model,"ir.ui.menu,name",menu_uom_form,Units of Measure,Unidades de Medida,0
model,"product.category,name",0,Product Category,Categoría de Producto,0
model,"product.product,name",0,Product,Producto,0
model,"product.template,name",0,Product Template,Plantilla de Producto,0
model,"product.uom.category,name",uom_cat_length,Length,Longitud,0
model,"product.uom.category,name",0,Product uom category,Categoría de udm de Producto,0
model,"product.uom.category,name",uom_cat_surface,Surface,Superficie,0
model,"product.uom.category,name",uom_cat_time,Time,Tiempo,0
model,"product.uom.category,name",uom_cat_unit,Units,Unidades,0
model,"product.uom.category,name",uom_cat_volume,Volume,Volumen,0
model,"product.uom.category,name",uom_cat_weight,Weight,Peso,0
model,"product.uom,name",uom_are,Are,Son,0
model,"product.uom,name",uom_carat,Carat,Carat,0
model,"product.uom,name",uom_centimeter,centimeter,centímetro,0
model,"product.uom,name",uom_cubic_centimeter,Cubic centimeter,Centímetro Cúbico,0
model,"product.uom,name",uom_cubic_foot,Cubic foot,Pie Cúbico,0
model,"product.uom,name",uom_cubic_inch,Cubic inch,Pulgada Cúbica,0
model,"product.uom,name",uom_cubic_meter,Cubic meter,Metro Cúbico,0
