type,name,res_id,src,value,fuzzy
error,account.account,0,You can not create recursive accounts!,Не може да създавате взаимно вложени сметки!,0
error,account.account,0,You can not delete accounts containing move lines!,Не може да изтривате сметки които съдържат редове от движение!,0
error,account.account,0,You can not delete accounts that have children!,Не може да изтриете сметки които имат деца!,0
error,account.account.deferral,0,Deferral must be unique by account and fiscal year,Отложеното плащане трябва да е уникално по сметка и финансова година,0
error,account.account.deferral,0,You can not modify Account Deferral records,Не може да променяте записи от Сметка с отложено плащане,0
error,account.account.open_aged_balance,0,Warning,Предупреждение,0
error,account.account.open_aged_balance,0,You cannot define overlapping terms,Не може да задавате припокриващи се срокове,0
error,account.account.template,0,You can not create recursive accounts!,Не може да създавате взаимно вложени сметки!,0
error,account.account.type,0,You can not create recursive types!,Не може да създавате взаимно вложени видове!,0
error,account.account.type.template,0,You can not create recursive types!,Не може да създавате взаимно вложени видове!,0
error,account.fiscalyear,0,No fiscal year defined for this date!,За тази дата не е зададена финансова година!,0
error,account.fiscalyear,0,"The balance of the account ""%s"" must be zero!","Баланса на сметка ""%s"" трябва да е нула!",0
error,account.fiscalyear,0,You can not change the post move sequence,Не може да променяте последователността след движение,0
error,account.fiscalyear,0,You can not close a fiscal year until there is older fiscal year opened!,Не може да затворите финансова година докато има отворена по-стара!,0
error,account.fiscalyear,0,You can not have 2 fiscal years that overlaps!,Не може да имате 2 припокриващи се финансови години!,0
error,account.fiscalyear,0,You can not reopen a fiscal year until there is more recent fiscal year closed!,Не може наново да отваряте финансова година докато има по-скорошна затворена финансова година!,0
error,account.fiscalyear,0,You must have different post move sequence per fiscal year!,За финансова година трябва да имате различни последователности за движение!,0
error,account.journal.period,0,You can not create a journal - period on a closed period!,Не може да създадете дневник - период за затворен период!,0
error,account.journal.period,0,You can not modify/delete a journal - period with moves!,Не може да променяте/изтривате дневник-период който има движения! ,0
error,account.journal.period,0,You can not open a journal - period from a closed period!,Не може да отваряте дневник-период от затворен период!,0
error,account.journal.period,0,You can only open one journal per period!,Може да отваряте един дневник за период!,0
error,account.journal.type,0,The code must be unique!,Кода трябва да е уникален!,0
error,account.move,0,"You can not create lines on accounts
of different companies in the same move!","В едно движение не може да създавате 
редове от сметки на различни фирми!
",0
error,account.move,0,"You can not create more than one move per period
in a centralized journal!","Не може да създавате повече от едно движение 
за период в централизиран дневник!",0
error,account.move,0,You can not create move with a date outside the period!,Не може да създавате движение с дата извън периода!,0
error,account.move,0,You can not delete posted moves!,Не може да изтривате публикувани движения!,0
error,account.move,0,You can not modify a posted move in this journal!,Не може да променяте публикувано движение в този дневник!,0
error,account.move,0,You can not post an empty move!,Не може да публикувате празно движение!,0
error,account.move,0,You can not post an unbalanced move!,Не може да публикувате небалансирано движение!,0
error,account.move.line,0,"Line ""%s"" (%d) already reconciled!","Ред ""%s"" (%d) е вече съгласуван!",0
error,account.move.line,0,No journal defined!,Не е зададен дневник!,0
