type,name,res_id,src,value,fuzzy
error,account.account,0,You can not create recursive accounts!,Konten können nicht rekursiv angelegt werden!,0
error,account.account,0,You can not delete accounts containing move lines!,"Konten, die Buchungszeilen enthalten, können nicht gelöscht werden!",0
error,account.account,0,You can not delete accounts that have children!,Konten mit untergeordneten Konten können nicht gelöscht werden!,0
error,account.account.deferral,0,Deferral must be unique by account and fiscal year,Es kann nur einen Saldenvortrag pro Konto und Geschäftsjahr geben,0
error,account.account.deferral,0,You can not modify Account Deferral records,Saldenvorträge sind nicht änderbar,0
error,account.account.open_aged_balance,0,Warning,Warnung,0
error,account.account.open_aged_balance,0,You cannot define overlapping terms,Die eingegebenen Zeiträume dürfen sich nicht überschneiden.,0
error,account.account.template,0,You can not create recursive accounts!,Konten können nicht rekursiv angelegt werden!,0
error,account.account.type,0,You can not create recursive types!,Kontentypen können nicht rekursiv angelegt werden!,0
error,account.account.type.template,0,You can not create recursive types!,Kontentypen können nicht rekursiv angelegt werden!,0
error,account.fiscalyear,0,No fiscal year defined for this date!,Für dieses Datum ist kein Geschäftsjahr definiert!,0
error,account.fiscalyear,0,"The balance of the account ""%s"" must be zero!","Der Saldo von Konto ""%s"" muss 0 sein",0
error,account.fiscalyear,0,You can not change the post move sequence,Der Nummernkreis für Buchungsfestschreibungen kann nicht geändert werden!,0
error,account.fiscalyear,0,You can not close a fiscal year until there is older fiscal year opened!,"Das Geschäftsjahr kann nicht abgeschlossen werden, wenn ein älteres Geschäftsjahr geöffnet ist!",0
error,account.fiscalyear,0,You can not have 2 fiscal years that overlaps!,Geschäftsjahre dürfen sich nicht überschneiden!,0
error,account.fiscalyear,0,You can not reopen a fiscal year until there is more recent fiscal year closed!,"Ein Geschäftsjahr kann nicht wiedereröffnet werden, wenn ein jüngeres Geschäftsjahr noch geöffnet ist!",0
error,account.fiscalyear,0,You must have different post move sequence per fiscal year!,Für unterschiedliche Geschäftsjahre muss jeweils ein eigener Nummernkreis für Buchungsfestschreibungen erstellt werden!,0
error,account.journal.period,0,You can not create a journal - period on a closed period!,In einem abgeschlossenen Buchungszeitraum kann kein Journal - Buchungszeitraum erstellt werden!,0
error,account.journal.period,0,You can not modify/delete a journal - period with moves!,"Ein Journal - Buchungszeitraum kann nicht geändert oder gelöscht werden, wenn es Buchungen enthält!",0
error,account.journal.period,0,You can not open a journal - period from a closed period!,In einem abgeschlossenen Buchungszeitraum kann kein Journal - Buchungszeitraum geöffnet werden!,0
error,account.journal.period,0,You can only open one journal per period!,Es kann nur ein Journal pro Buchungszeitraum geöffnet werden!,0
error,account.journal.type,0,The code must be unique!,Code kann nicht mehrfach vergeben werden!,0
error,account.move,0,"You can not create lines on accounts
of different companies in the same move!","Buchungszeilen eines Buchungssatzes können sich 
nicht auf Konten verschiedener Unternehmen beziehen!",0
error,account.move,0,"You can not create more than one move per period
in a centralized journal!",Nicht mehr als eine Buchung pro Buchungszeitraum erstellbar!,0
error,account.move,0,You can not create move with a date outside the period!,Das Datum für Buchungen muss in dem Buchungszeitraum liegen!,0
error,account.move,0,You can not delete posted moves!,Festgeschriebene Buchungen sind nicht löschbar!,0
error,account.move,0,You can not modify a posted move in this journal!,Eine festgeschriebene Buchung kann in diesem Journal nicht verändert werden!,0
error,account.move,0,You can not post an empty move!,Ein leerer Buchungssatz kann nicht festgeschrieben werden!,0
error,account.move,0,You can not post an unbalanced move!,Unausgeglichene Buchungssätze können nicht festgeschrieben werden!,0
error,account.move.line,0,"Line ""%s"" (%d) already reconciled!","Zeile ""%s"" (%d) ist bereits abgestimmt!",0
error,account.move.line,0,No journal defined!,Kein Journal definiert!,0
error,account.move.line,0,Wrong credit/debit values!,Falsche Haben/Soll-Werte!,0
error,account.move.line,0,You can not add/modify lines in a closed journal period!,In einem abgeschlossenen Buchungszeitraum eines Journals können keine Zeilen hinzugefügt werden!,0
error,account.move.line,0,"You can not create move lines
on view/inactive accounts!",Buchungszeilen lassen sich für Sichten oder inaktive Konten nicht erstellen!,0
