type,name,res_id,src,value,fuzzy
error,account.account,0,You can not create recursive accounts!,No puede crear cuentas recursivas!,0
error,account.account,0,You can not delete accounts containing move lines!,No puede borrar cuentas que contengan movimientos!,0
error,account.account,0,You can not delete accounts that have children!,No puede borrar cuentas que contengan hijos!,0
error,account.account.deferral,0,Deferral must be unique by account and fiscal year,Los diferidos deben ser únicos por cuenta y año fiscal,0
error,account.account.deferral,0,You can not modify Account Deferral records,No puede modificar los registros de cuentas diferidas,0
error,account.account.open_aged_balance,0,Warning,Advertencia,0
error,account.account.open_aged_balance,0,You cannot define overlapping terms,No puede definir términos que se sobrepongan,0
error,account.account.template,0,You can not create recursive accounts!,No puede crear cuentas recursivas!,0
error,account.fiscalyear,0,No fiscal year defined for this date!,No se ha definido un año fiscal para esta fecha!,0
error,account.fiscalyear,0,"The balance of the account ""%s"" must be zero!","El balance de la cuenta ""%s"" debe ser cero!",0
error,account.fiscalyear,0,You can not change the post move sequence,No puede cambiar la secuencia de movimientos autorizados,0
error,account.fiscalyear,0,You can not close a fiscal year until there is older fiscal year opened!,No puede cerrar un año fiscal hasta que el más antiguo haya sido abierto!,0
error,account.fiscalyear,0,You can not have 2 fiscal years that overlaps!,No puede tener 2 años fiscales sobrelapados!,0
error,account.fiscalyear,0,You can not reopen a fiscal year until there is more recent fiscal year closed!,No puede abrir un año fiscal hasta que el año fiscal más cercano no haya sido cerrado!,0
error,account.fiscalyear,0,You must have different post move sequence per fiscal year!,Debe tener una secuencia de autorización por cada año fiscal!,0
error,account.journal.period,0,You can not create a journal - period on a closed period!,No puede crear un diario - período en un período cerrado!,0
error,account.journal.period,0,You can not modify/delete a journal - period with moves!,No puede modificar/borrar un diario - período con movimientos!,0
error,account.journal.period,0,You can not open a journal - period from a closed period!,No puede abrir un diario - período de un período cerrado!,0
error,account.journal.period,0,You can only open one journal per period!,Solamente puede abrir un diario por período,0
error,account.journal.type,0,The code must be unique!,¡El código debe ser único!,0
error,account.move,0,"You can not create lines on accounts
of different companies in the same move!","No puede crear líneas en cuentas 
de diferentes compañías en el mismo movimiento!",0
error,account.move,0,"You can not create more than one move per period
in a centralized journal!","No puede crear más de un movimiento por período
en un libro diario centralizado!",0
error,account.move,0,You can not create move with a date outside the period!,No puede crear un movimiento con fecha fuera del período!,0
error,account.move,0,You can not delete posted moves!,No pude borrar un movimiento enviado!,0
error,account.move,0,You can not modify a posted move in this journal!,No puede modificar un movimiento autorizado en este diario!,0
error,account.move,0,You can not post an empty move!,No puede colocar un movimiento vacío!,0
error,account.move,0,You can not post an unbalanced move!,No puede enviar un movimiento no balanceado!,0
error,account.move.line,0,"Line ""%s"" (%d) already reconciled!","Línea ""%s"" (%d) ya reconciliada!",0
error,account.move.line,0,No journal defined!,No se ha definido un diario!,0
error,account.move.line,0,Wrong credit/debit values!,Valores erróneos de crédito/debito!,0
error,account.move.line,0,You can not add/modify lines in a closed journal period!,No puede adicionar/modificar líneas de un diario de un período cerrado!,0
error,account.move.line,0,"You can not create move lines
on view/inactive accounts!","No pude crear movimientos
en vistas/cuentas inactivas!",0
error,account.move.line,0,You can not modify lines of a posted move!,No puede modificar líneas en movimientos enviados,0
error,account.move.line,0,You can not modify reconciled lines!,No puede modificar líneas reconciliadas!,0
error,account.move.reconciliation,0,"You can not create reconciliation where lines are not balanced, nor valid, nor in the same account, nor in account to reconcile, nor from the same party!","No puede crear conciliaciones en las que las líneas no estén balanceadas, o sean válidas, o en la misma cuenta, o en una cuenta por conciliar, o del mismo tercero!",0
error,account.move.reconciliation,0,You can not modify a reconciliation!,No puede modificar una conciliación!,0
error,account.period,0,No period defined for this date!,No se ha definido un período para esta fecha!,0
error,account.period,0,The period dates must be in the fiscal year dates,La fecha del período debe estar dentro de los años fiscales,0
error,account.period,0,You can not change the post move sequence if there is already posted moves in the period,No puede cambiar la secuencia de movimientos enviados si este es un movimiento ya enviado!,0
error,account.period,0,You can not close a period with non posted moves!,No puede cerrar períodos con movimientos por autorizar!,0
error,account.period,0,You can not create a period on a closed fiscal year!,No puede crear un período en un año fiscal cerrado!,0
error,account.period,0,You can not have two overlapping periods!,No puede tener dos períodos que se sobrepongan!,0
error,account.period,0,You can not modify/delete a period with moves!,No puede modificar/borrar un período con movimientos!,0
error,account.period,0,You can not open a period from a closed fiscal year!,No puede abrir un período de un año fiscal cerrado!,0
error,account.period,0,You must have different post move sequences per fiscal year and in the same company!,Debe tener una secuencia de envío de movimientos diferente por año fiscal y en la misma compañía!,0
error,account.tax.code,0,You can not create recursive tax codes!,No puede crear códigos recursivos de impuestos!,0
error,account.tax.code.template,0,You can not create recursive tax codes!,No puede crear códigos recursivos de impuestos!,0
field,"account.account-account.tax,account",0,Account,Cuenta,0
field,"account.account-account.tax,rec_name",0,Name,Nombre,0
field,"account.account-account.tax,tax",0,Tax,Impuesto,0
field,"account.account,active",0,Active,Activo,0
field,"account.account,balance",0,Balance,Balance,0
field,"account.account,childs",0,Children,Hij@s,0
field,"account.account,code",0,Code,Código,0
field,"account.account,company",0,Company,Compañía,0
field,"account.account.create_chart_account.account,account_template",0,Account Template,Plantilla de Cuenta,0
field,"account.account.create_chart_account.account,company",0,Company,Compañía,0
field,"account.account.create_chart_account.properties,account_payable",0,Default Payable Account,Cuenta Por Pagar Predeterminada,0
field,"account.account.create_chart_account.properties,account_receivable",0,Default Receivable Account,Cuenta por Cobrar Predeterminada,0
field,"account.account.create_chart_account.properties,company",0,Company,Compañía,0
field,"account.account,credit",0,Credit,Crédito,0
field,"account.account,currency",0,Currency,Moneda,0
field,"account.account,currency_digits",0,Currency Digits,Gestión de Moneda,0
field,"account.account,debit",0,Debit,Débito,0
field,"account.account,deferral",0,Deferral,Diferidos,0
field,"account.account.deferral,account",0,Account,Cuenta,0
field,"account.account.deferral,credit",0,Credit,Crédito,0
field,"account.account.deferral,currency_digits",0,Currency Digits,Dígitos de Moneda,0
field,"account.account.deferral,debit",0,Debit,Débito,0
field,"account.account.deferral,fiscalyear",0,Fiscal Year,Año Fiscal,0
field,"account.account.deferral,rec_name",0,Name,Nombre,0
field,"account.account,deferrals",0,Deferrals,Diferidos,0
field,"account.account,kind",0,Kind,Clase,0
field,"account.account,left",0,Left,Izquierda,0
field,"account.account,name",0,Name,Nombre,0
field,"account.account,note",0,Note,Nota,0
field,"account.account.open_aged_balance.init,balance_type",0,Type,Tipo,0
field,"account.account.open_aged_balance.init,company",0,Company,Compañía,0
field,"account.account.open_aged_balance.init,fiscalyear",0,Fiscal Year,Año Fiscal,0
field,"account.account.open_aged_balance.init,posted",0,Posted Move,Movimiento Confirmado,0
field,"account.account.open_aged_balance.init,term1",0,First Term,Primer Término,0
field,"account.account.open_aged_balance.init,term2",0,Second Term,Segundo Término,0
field,"account.account.open_aged_balance.init,term3",0,Third Term,Tercer Término,0
field,"account.account.open_aged_balance.init,unit",0,Unit,Unidad,0
field,"account.account.open_balance_sheet.init,company",0,Company,Compañía,0
field,"account.account.open_balance_sheet.init,date",0,Date,Fecha,0
field,"account.account.open_balance_sheet.init,posted",0,Posted Move,Movimiento Confirmado,0
field,"account.account.open_chart_account.init,fiscalyear",0,Fiscal Year,Año Fiscal,0
field,"account.account.open_chart_account.init,posted",0,Posted Move,Movimiento Confirmado,0
field,"account.account.open_income_statement.init,company",0,Company,Compañía,0
field,"account.account.open_income_statement.init,end_period",0,End Period,Final de Período,0
field,"account.account.open_income_statement.init,fiscalyear",0,Fiscal Year,Año Fiscal,0
field,"account.account.open_income_statement.init,posted",0,Posted Move,Movimiento Confirmado,0
field,"account.account.open_income_statement.init,start_period",0,Start Period,Período Inicial,0
field,"account.account.open_third_party_balance.init,company",0,Company,Compañía,0
field,"account.account.open_third_party_balance.init,fiscalyear",0,Fiscal Year,Año Fiscal,0
field,"account.account.open_third_party_balance.init,posted",0,Posted Move,Movimiento Confirmado,0
field,"account.account,parent",0,Parent,Padre,0
field,"account.account.print_general_ledger.init,company",0,Company,Compañía,0
field,"account.account.print_general_ledger.init,empty_account",0,Empty Account,Cuenta Vacía,0
field,"account.account.print_general_ledger.init,end_period",0,End Period,Final de Período,0
field,"account.account.print_general_ledger.init,fiscalyear",0,Fiscal Year,Año Fiscal,0
field,"account.account.print_general_ledger.init,posted",0,Posted Move,Movimiento Confirmado,0
field,"account.account.print_general_ledger.init,start_period",0,Start Period,Período Inicial,0
field,"account.account.print_trial_balance.init,company",0,Company,Compañía,0
field,"account.account.print_trial_balance.init,empty_account",0,Empty Account,Cuenta Vacía,0
field,"account.account.print_trial_balance.init,end_period",0,End Period,Final de Período,0
field,"account.account.print_trial_balance.init,fiscalyear",0,Fiscal Year,Año Fiscal,0
field,"account.account.print_trial_balance.init,posted",0,Posted Move,Movimiento Confirmado,0
field,"account.account.print_trial_balance.init,start_period",0,Start Period,Período Inicial,0
field,"account.account,rec_name",0,Name,Nombre,0
field,"account.account,reconcile",0,Reconcile,Conciliar,0
field,"account.account,right",0,Right,Derecha,0
field,"account.account,second_currency",0,Secondary currency,Moneda secundaria,0
field,"account.account,taxes",0,Default Taxes,Impuestos Predeterminados,0
field,"account.account,template",0,Template,Plantilla,0
field,"account.account.template-account.tax.template,account",0,Account Template,Plantilla de Cuenta,0
field,"account.account.template-account.tax.template,rec_name",0,Name,Nombre,0
field,"account.account.template-account.tax.template,tax",0,Tax Template,Plantilla de Impuesto,0
field,"account.account.template,childs",0,Children,Hij@s,0
field,"account.account.template,code",0,Code,Código,0
field,"account.account.template,deferral",0,Deferral,Diferido,0
field,"account.account.template,kind",0,Kind,Clase,0
field,"account.account.template,name",0,Name,Nombre,0
field,"account.account.template,parent",0,Parent,Padre,0
field,"account.account.template,rec_name",0,Name,Nombre,0
field,"account.account.template,reconcile",0,Reconcile,Conciliar,0
field,"account.account.template,taxes",0,Default Taxes,Impuestos Predeterminados,0
field,"account.account.template,type",0,Type,Tipo,0
field,"account.account,type",0,Type,Tipo,0
field,"account.account.type,amount",0,Amount,Cantidad,0
field,"account.account.type,balance_sheet",0,Balance Sheet,Hoja de Balance,0
field,"account.account.type,childs",0,Children,Hij@s,0
field,"account.account.type,company",0,Company,Compañía,0
field,"account.account.type,currency_digits",0,Currency Digits,Dígitos de Moneda,0
field,"account.account.type,display_balance",0,Display Balance,Mostrar Balance,0
field,"account.account.type,income_statement",0,Income Statement,Estado de Cuenta de Ingresos,0
field,"account.account.type,name",0,Name,Nombre,0
field,"account.account.type,parent",0,Parent,Padre,0
field,"account.account.type,rec_name",0,Name,Nombre,0
field,"account.account.type,sequence",0,Sequence,Secuencia,0
field,"account.account.type,template",0,Template,Plantilla,0
field,"account.account.type.template,balance_sheet",0,Balance Sheet,Hoja de Balance,0
field,"account.account.type.template,childs",0,Children,Hij@s,0
field,"account.account.type.template,display_balance",0,Display Balance,Mostrar Balance,0
field,"account.account.type.template,income_statement",0,Income Statement,Estado de Cuenta de Ingresos,0
field,"account.account.type.template,name",0,Name,Nombre,0
field,"account.account.type.template,parent",0,Parent,Padre,0
field,"account.account.type.template,rec_name",0,Name,Nombre,0
field,"account.account.type.template,sequence",0,Sequence,Secuencia,0
field,"account.account.update_chart_account.init,account",0,Root Account,Cuenta Raíz,0
