type,name,res_id,src,value,fuzzy
error,account.account,0,You can not create recursive accounts!,No puede crear cuentas recursivas,0
error,account.account,0,You can not delete accounts containing move lines!,No puede borrar cuentas que contienen movimientos,0
error,account.account,0,You can not delete accounts that have children!,No puede borrar cuentas que tienen hijos,0
error,account.account.deferral,0,Deferral must be unique by account and fiscal year,El aplazamiento debe ser único por cuenta y ejercicio fiscal,0
error,account.account.deferral,0,You can not modify Account Deferral records,No puede modificar los registros de cuentas aplazadas,0
error,account.account.open_aged_balance,0,Warning,Advertencia,0
error,account.account.open_aged_balance,0,You cannot define overlapping terms,No puede definir plazos que se solapen,0
error,account.account.template,0,You can not create recursive accounts!,No puede crear cuentas recursivas,0
error,account.fiscalyear,0,No fiscal year defined for this date!,No existe ningún ejercicio fiscal para esta fecha,0
error,account.fiscalyear,0,"The balance of the account ""%s"" must be zero!",El balance de la cuenta «%s» debe ser cero,0
error,account.fiscalyear,0,You can not change the post move sequence,No puede cambiar la secuencia de asientos confirmados,0
error,account.fiscalyear,0,You can not close a fiscal year until there is older fiscal year opened!,No puede cerrar un ejercicio fiscal hasta que haya abierto otro posterior,0
error,account.fiscalyear,0,You can not have 2 fiscal years that overlaps!,No puede tener dos ejercicios fiscales que se solapen,0
error,account.fiscalyear,0,You can not reopen a fiscal year until there is more recent fiscal year closed!,No puede abrir de nuevo un ejercicio fiscal hasta que no cierre el ejercicio fiscal posterior,0
error,account.fiscalyear,0,You must have different post move sequence per fiscal year!,Cada ejercicio fiscal debe tener una secuencia distinta para los asientos confirmados,0
error,account.journal.period,0,You can not create a journal - period on a closed period!,No puede crear un diario - período en un período cerrado,0
error,account.journal.period,0,You can not modify/delete a journal - period with moves!,No puede modificar/borrar un diario - período con asientos,0
error,account.journal.period,0,You can not open a journal - period from a closed period!,No puede abrir un diario - período en un período cerrado,0
error,account.journal.period,0,You can only open one journal per period!,Solamente puede abrir un diario por período,0
error,account.journal.type,0,The code must be unique!,El código debe ser único,0
error,account.move,0,"You can not create lines on accounts
of different companies in the same move!","No puede crear líneas en cuentas de empresas distintas
en el mismo asiento",0
error,account.move,0,"You can not create more than one move per period
in a centralized journal!","No puede crear más de un asiento por periodo
en un diario centralizado",0
error,account.move,0,You can not create move with a date outside the period!,No puede crear un asiento con la fecha fuera del período,0
error,account.move,0,You can not delete posted moves!,No puede borrar asientos confirmados,0
error,account.move,0,You can not modify a posted move in this journal!,No puede modificar un asiento confirmado en este diario,0
error,account.move,0,You can not post an empty move!,No puede confirmar un asiento vacío,0
error,account.move,0,You can not post an unbalanced move!,No puede confirmar un asiento descuadrado,0
error,account.move.line,0,"Line ""%s"" (%d) already reconciled!",La línea «%s» (%d) ya está conciliada,0
error,account.move.line,0,No journal defined!,No se ha definido ningún diario,0
error,account.move.line,0,Wrong credit/debit values!,Valores de crédito/debito incorrectos,0
error,account.move.line,0,You can not add/modify lines in a closed journal period!,No puede añadir/modificar líneas de un diario para un período cerrado,0
error,account.move.line,0,"You can not create move lines
on view/inactive accounts!","No puede crear líneas de asiento
en cuentas vista/inactivas",0
