type,name,res_id,src,value,fuzzy
error,account.account,0,You can not create recursive accounts!,Vous ne pouvez pas créer des comptes récursifs,0
error,account.account,0,You can not delete accounts containing move lines!,Vous ne pouvez pas supprimer des comptes contenant des lignes de mouvement !,0
error,account.account,0,You can not delete accounts that have children!,Vous ne pouvez pas supprimer des comptes qui ont des enfants !,0
error,account.account.deferral,0,Deferral must be unique by account and fiscal year,Le report doit être unique par compte et par année fiscale,0
error,account.account.deferral,0,You can not modify Account Deferral records,Vous ne pouvez pas modifier les enregistrements de report de compte,0
error,account.account.open_aged_balance,0,Warning,Avertissement,0
error,account.account.open_aged_balance,0,You cannot define overlapping terms,Vous ne pouvez pas définir des dates qui se chevauchent,0
error,account.account.template,0,You can not create recursive accounts!,Vous ne pouvez pas créer des comptes récursifs,0
error,account.account.type,0,You can not create recursive types!,Vous ne pouvez créer de types récursifs !,0
error,account.account.type.template,0,You can not create recursive types!,Vous ne pouvez pas créer des types récursifs!,0
error,account.fiscalyear,0,No fiscal year defined for this date!,Pas d'année fiscale définie pour cette période !,0
error,account.fiscalyear,0,"The balance of the account ""%s"" must be zero!","La balance du compte ""%s"" doit être nulle !",0
error,account.fiscalyear,0,You can not change the post move sequence,Vous ne pouvez pas changer la séquence des mouvements postés,0
error,account.fiscalyear,0,You can not close a fiscal year until there is older fiscal year opened!,Vous ne pouvez pas fermer une année fiscale si uné année antérieure est encore ouverte !,0
error,account.fiscalyear,0,You can not have 2 fiscal years that overlaps!,Vous ne pouvez pas avoir 2 années fiscales qui se chevauchent !,0
error,account.fiscalyear,0,You can not reopen a fiscal year until there is more recent fiscal year closed!,Vous ne pouvez pas ré-ouvrir une année fiscale si une année plus récente est fermée !,0
error,account.fiscalyear,0,You must have different post move sequence per fiscal year!,Vous devez avoir des séquences de mouvement posté différentes par année fiscale !,0
error,account.journal.period,0,You can not create a journal - period on a closed period!,Vous ne pouvez pas créer un journal - période sur une période fermée !,0
error,account.journal.period,0,You can not modify/delete a journal - period with moves!,Vous ne pouvez pas modifier ou supprimer un journal - période avec des mouvements !,0
error,account.journal.period,0,You can not open a journal - period from a closed period!,Vous ne pouvez pas ouvrir un journal - période sur une période fermée !,0
error,account.journal.period,0,You can only open one journal per period!,Vous ne pouvez ouvrir qu'un journal par période !,0
error,account.journal.type,0,The code must be unique!,Le code doit être unique !,0
error,account.move,0,"You can not create lines on accounts
of different companies in the same move!","Vous ne pouvez pas créer de lignes sur des comptes
de différentes société dans le même mouvement !",0
error,account.move,0,"You can not create more than one move per period
in a centralized journal!","Vous ne pouvez pas créer plus d'un mouvement par période
dans un journal de centralisation !",0
error,account.move,0,You can not create move with a date outside the period!,Vous ne pouvez pas créer un mouvement avec une date en dehors de la période !,0
error,account.move,0,You can not delete posted moves!,Vous ne pouvez pas supprimer des mouvements postés !,0
error,account.move,0,You can not modify a posted move in this journal!,Vous ne pouvez pas modifier un mouvement posté sur ce journal !,0
error,account.move,0,You can not post an empty move!,Vous ne pouvez pas poster un mouvement vide !,0
error,account.move,0,You can not post an unbalanced move!,Vous ne pouvez pas poster un mouvement non balancé !,0
error,account.move.line,0,"Line ""%s"" (%d) already reconciled!","La ligne ""%s"" (%d) est déjà réconciliée !",0
error,account.move.line,0,No journal defined!,Pas de journal défini !,0
error,account.move.line,0,Wrong credit/debit values!,Valeur crédit/débit incorrectes,0
error,account.move.line,0,You can not add/modify lines in a closed journal period!,Vous ne pouvez pas ajouter/modifier des lignes sur un journal - période fermé !,0
error,account.move.line,0,"You can not create move lines
on view/inactive accounts!","Vous ne pouvez pas créer des lignes de mouvement
sur des comptes inactifs ou de type vue !",0
error,account.move.line,0,You can not modify lines of a posted move!,Vous ne pouvez pas modifier les lignes d'un mouvement posté !,0
error,account.move.line,0,You can not modify reconciled lines!,Vous ne pouvez pas modifier des lignes réconciliées,0
error,account.move.reconciliation,0,"You can not create reconciliation where lines are not balanced, nor valid, nor in the same account, nor in account to reconcile, nor from the same party!","Vous ne pouvez faire de réconciliation que si les lignes sont balancées, valides, du même compte, d'un compte à réconcilier et du même tiers !",0
error,account.move.reconciliation,0,You can not modify a reconciliation!,Vous ne pouvez pas modifer une réconciliation !,0
error,account.period,0,No period defined for this date!,Pas de période définie pour cette date !,0
error,account.period,0,The period dates must be in the fiscal year dates,Les dates de période doivent être dans les dates de l'année fiscale,0
error,account.period,0,You can not change the post move sequence if there is already posted moves in the period,Vous ne pouvez pas modifer une séquence de mouvement postés s'il y a déjà des mouvements postés dans la période,0
error,account.period,0,You can not close a period with non posted moves!,Vous ne pouvez pas fermer une période avec des mouvements non-postés !,0
error,account.period,0,You can not create a period on a closed fiscal year!,Vous ne pouvez pas créer une période sur une année fiscale fermée !,0
error,account.period,0,You can not have two overlapping periods!,Vous ne pouvez pas créer des périodes qui se chevauchent,0
error,account.period,0,You can not modify/delete a period with moves!,Vous ne pouvez pas modifer/supprimer une période avec des mouvements !,0
error,account.period,0,You can not open a period from a closed fiscal year!,Vous ne pouvez pas ouvrir une période sur une année fiscale fermée !,0
error,account.period,0,You must have different post move sequences per fiscal year and in the same company!,Vous devez avoir des séquences de mouvement différentes par exercice et dans la même société !,0
error,account.tax.code,0,You can not create recursive tax codes!,Vous ne pouvez pas créer des codes de taxe récursifs !,0
error,account.tax.code.template,0,You can not create recursive tax codes!,Vous ne pouvez pas créer des codes de taxe récursifs !,0
field,"account.account,active",0,Active,Actif,0
field,"account.account,balance",0,Balance,Balance,0
field,"account.account,childs",0,Children,Enfants,0
field,"account.account,code",0,Code,Code,0
field,"account.account,company",0,Company,Société,0
field,"account.account,credit",0,Credit,Crédit,0
field,"account.account,currency",0,Currency,Devise,0
field,"account.account,currency_digits",0,Currency Digits,Décimal de la devise,0
field,"account.account,debit",0,Debit,Débit,0
field,"account.account,deferral",0,Deferral,Report,0
field,"account.account,deferrals",0,Deferrals,Reports,0
field,"account.account,kind",0,Kind,Genre,0
field,"account.account,left",0,Left,Gauche,0
field,"account.account,name",0,Name,Nom,0
field,"account.account,note",0,Note,Note,0
field,"account.account,parent",0,Parent,Parent,0
field,"account.account,rec_name",0,Name,Nom,0
field,"account.account,reconcile",0,Reconcile,A réconcilier,0
field,"account.account,right",0,Right,Droite,0
field,"account.account,second_currency",0,Secondary currency,Devise secondaire,0
field,"account.account,taxes",0,Default Taxes,Taxes par défaut,0
field,"account.account,template",0,Template,Modèle,0
field,"account.account,type",0,Type,Type,0
field,"account.account-account.tax,account",0,Account,Compte,0
field,"account.account-account.tax,rec_name",0,Name,Nom,0
field,"account.account-account.tax,tax",0,Tax,Taxe,0
field,"account.account.create_chart_account.account,account_template",0,Account Template,Compte modèle,0
field,"account.account.create_chart_account.account,company",0,Company,Société,0
field,"account.account.create_chart_account.properties,account_payable",0,Default Payable Account,Compte à payer par défaut,0
field,"account.account.create_chart_account.properties,account_receivable",0,Default Receivable Account,Compte à recevoir par défaut,0
field,"account.account.create_chart_account.properties,company",0,Company,Société,0
field,"account.account.deferral,account",0,Account,Compte,0
field,"account.account.deferral,credit",0,Credit,Crédit,0
field,"account.account.deferral,currency_digits",0,Currency Digits,Décimales de la devise,0
field,"account.account.deferral,debit",0,Debit,Débit,0
field,"account.account.deferral,fiscalyear",0,Fiscal Year,Année fiscale,0
field,"account.account.deferral,rec_name",0,Name,Nom,0
field,"account.account.open_aged_balance.init,balance_type",0,Type,Type,0
field,"account.account.open_aged_balance.init,company",0,Company,Société,0
field,"account.account.open_aged_balance.init,fiscalyear",0,Fiscal Year,Année fiscale,0
field,"account.account.open_aged_balance.init,posted",0,Posted Move,Mouvements postés,0
field,"account.account.open_aged_balance.init,term1",0,First Term,Premier terme,0
field,"account.account.open_aged_balance.init,term2",0,Second Term,Deuxième terme,0
field,"account.account.open_aged_balance.init,term3",0,Third Term,Troisième terme,0
field,"account.account.open_aged_balance.init,unit",0,Unit,Unité,0
field,"account.account.open_balance_sheet.init,company",0,Company,Société,0
field,"account.account.open_balance_sheet.init,date",0,Date,Date,0
field,"account.account.open_balance_sheet.init,posted",0,Posted Move,Mouvements postés,0
field,"account.account.open_chart_account.init,fiscalyear",0,Fiscal Year,Année fiscale,0
field,"account.account.open_chart_account.init,posted",0,Posted Move,Mouvements postés,0
field,"account.account.open_income_statement.init,company",0,Company,Société,0
field,"account.account.open_income_statement.init,end_period",0,End Period,Période fin,0
field,"account.account.open_income_statement.init,fiscalyear",0,Fiscal Year,Année fiscale,0
field,"account.account.open_income_statement.init,posted",0,Posted Move,Mouvement posté,0
field,"account.account.open_income_statement.init,start_period",0,Start Period,Période de début,0
field,"account.account.open_third_party_balance.init,company",0,Company,Société,0
field,"account.account.open_third_party_balance.init,fiscalyear",0,Fiscal Year,Année fiscale,0
field,"account.account.open_third_party_balance.init,posted",0,Posted Move,Mouvement posté,0
field,"account.account.print_general_ledger.init,company",0,Company,Société,0
field,"account.account.print_general_ledger.init,empty_account",0,Empty Account,Compte vide,0
field,"account.account.print_general_ledger.init,end_period",0,End Period,Période de fin,0
field,"account.account.print_general_ledger.init,fiscalyear",0,Fiscal Year,Année fiscale,0
field,"account.account.print_general_ledger.init,posted",0,Posted Move,Mouvement posté,0
field,"account.account.print_general_ledger.init,start_period",0,Start Period,Période de début,0
field,"account.account.print_trial_balance.init,company",0,Company,Société,0
field,"account.account.print_trial_balance.init,empty_account",0,Empty Account,Compte vide,0
field,"account.account.print_trial_balance.init,end_period",0,End Period,Période de fin,0
field,"account.account.print_trial_balance.init,fiscalyear",0,Fiscal Year,Année fiscale,0
field,"account.account.print_trial_balance.init,posted",0,Posted Move,Mouvement posté,0
field,"account.account.print_trial_balance.init,start_period",0,Start Period,Période de début,0
