type,name,res_id,src,value,fuzzy
model,"account.account.template,name",account_0001,Ingangsetzungs- und Erweiterungsaufwand,Ingangsetzungs- und Erweiterungsaufwand,0
model,"account.account.template,name",account_0010,Konzessionen und gewerbl.Schutzrechte,Konzessionen und gewerbl.Schutzrechte,0
model,"account.account.template,name",account_0015,Konzessionen,Konzessionen,0
model,"account.account.template,name",account_0020,Gewerbliche Schutzrechte,Gewerbliche Schutzrechte,0
model,"account.account.template,name",account_0025,Ähnliche Rechte und Werte,Ähnliche Rechte und Werte,0
model,"account.account.template,name",account_0027,EDV-Software,EDV-Software,0
model,"account.account.template,name",account_0030,Lizenzen an gewerblichen Schutzrechten,Lizenzen an gewerblichen Schutzrechten,0
model,"account.account.template,name",account_0035,Geschäfts- oder Firmenwert,Geschäfts- oder Firmenwert,0
model,"account.account.template,name",account_0038,"Anzahlungen auf Geschäfts-, Firmenwert","Anzahlungen auf Geschäfts-, Firmenwert",0
model,"account.account.template,name",account_0039,Anzahlungen immaterielle VermG,Anzahlungen immaterielle VermG,0
model,"account.account.template,name",account_0040,Verschmelzungsmehrwert,Verschmelzungsmehrwert,0
model,"account.account.template,name",account_0050,"Grundstücke,grndst.Rechte und Bauten","Grundstücke,grndst.Rechte und Bauten",0
model,"account.account.template,name",account_0059,Grundstücksanteil häusl. Arbeitszimmer,Grundstücksanteil häusl. Arbeitszimmer,0
model,"account.account.template,name",account_0060,"Grundstücke, grundstücksgl. Rechte","Grundstücke, grundstücksgl. Rechte",0
model,"account.account.template,name",account_0065,Unbebaute Grundstücke,Unbebaute Grundstücke,0
model,"account.account.template,name",account_0070,Grundstücksgleiche Rechte,Grundstücksgleiche Rechte,0
model,"account.account.template,name",account_0075,Grundstücke mit Substanzverzehr,Grundstücke mit Substanzverzehr,0
model,"account.account.template,name",account_0079,Anzahlungen a.Grundstücke ohne Bauten,Anzahlungen a.Grundstücke ohne Bauten,0
model,"account.account.template,name",account_0080,Bauten auf eigenen Grundstücken,Bauten auf eigenen Grundstücken,0
model,"account.account.template,name",account_0085,Grundstückswert bebauter Grundstücke,Grundstückswert bebauter Grundstücke,0
model,"account.account.template,name",account_0090,Geschäftsbauten,Geschäftsbauten,0
model,"account.account.template,name",account_0100,Fabrikbauten,Fabrikbauten,0
model,"account.account.template,name",account_0110,Garagen,Garagen,0
model,"account.account.template,name",account_0111,Außenanlagen,Außenanlagen,0
model,"account.account.template,name",account_0112,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,0
model,"account.account.template,name",account_0113,Einrichtung Fabrik- und Geschäftsbauten,Einrichtung Fabrik- und Geschäftsbauten,0
model,"account.account.template,name",account_0115,Andere Bauten,Andere Bauten,0
model,"account.account.template,name",account_0120,"Geschäfts-,Fabrik-u.and. Bauten im Bau","Geschäfts-,Fabrik-u.and. Bauten im Bau",0
model,"account.account.template,name",account_0129,Anzahlg. auf Bauten eigen. Grundstücken,Anzahlg. auf Bauten eigen. Grundstücken,0
model,"account.account.template,name",account_0140,Wohnbauten,Wohnbauten,0
model,"account.account.template,name",account_0145,Garagen,Garagen,0
model,"account.account.template,name",account_0146,Außenanlagen,Außenanlagen,0
model,"account.account.template,name",account_0147,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,0
model,"account.account.template,name",account_0148,Einrichtungen für Wohnbauten,Einrichtungen für Wohnbauten,0
model,"account.account.template,name",account_0149,Gebäudeteil häusliches Arbeitszimmer,Gebäudeteil häusliches Arbeitszimmer,0
model,"account.account.template,name",account_0150,Wohnbauten im Bau,Wohnbauten im Bau,0
model,"account.account.template,name",account_0159,Anzahlg. auf Wohnbauten a.eig.Grundst,Anzahlg. auf Wohnbauten a.eig.Grundst,0
model,"account.account.template,name",account_0160,Bauten auf fremden Grundstücken,Bauten auf fremden Grundstücken,0
model,"account.account.template,name",account_0165,Geschäftsbauten,Geschäftsbauten,0
model,"account.account.template,name",account_0170,Fabrikbauten,Fabrikbauten,0
model,"account.account.template,name",account_0175,Garagen,Garagen,0
model,"account.account.template,name",account_0176,Außenanlagen,Außenanlagen,0
model,"account.account.template,name",account_0177,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,0
model,"account.account.template,name",account_0178,Einrichtung Fabrik- und Geschäftsbauten,Einrichtung Fabrik- und Geschäftsbauten,0
model,"account.account.template,name",account_0179,Andere Bauten,Andere Bauten,0
model,"account.account.template,name",account_0180,"Geschäfts-,Fabrik-u.and. Bauten im Bau","Geschäfts-,Fabrik-u.and. Bauten im Bau",0
model,"account.account.template,name",account_0189,Anzahlg. auf Bauten fremd. Grundstücken,Anzahlg. auf Bauten fremd. Grundstücken,0
model,"account.account.template,name",account_0190,Wohnbauten,Wohnbauten,0
model,"account.account.template,name",account_0191,Garagen,Garagen,0
model,"account.account.template,name",account_0192,Außenanlagen,Außenanlagen,0
model,"account.account.template,name",account_0193,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,0
model,"account.account.template,name",account_0194,Einrichtungen für Wohnbauten,Einrichtungen für Wohnbauten,0
model,"account.account.template,name",account_0195,Wohnbauten im Bau,Wohnbauten im Bau,0
model,"account.account.template,name",account_0199,Anzahlungen a. Wohnbauten a. fremd. Gr.,Anzahlungen a. Wohnbauten a. fremd. Gr.,0
model,"account.account.template,name",account_0200,Technische Anlagen und Maschinen,Technische Anlagen und Maschinen,0
model,"account.account.template,name",account_0210,Maschinen,Maschinen,0
model,"account.account.template,name",account_0220,Maschinengebundene Werkzeuge,Maschinengebundene Werkzeuge,0
model,"account.account.template,name",account_0240,Maschinelle Anlagen,Maschinelle Anlagen,0
model,"account.account.template,name",account_0260,Transportanlagen und Ähnliches,Transportanlagen und Ähnliches,0
model,"account.account.template,name",account_0280,Betriebsvorrichtungen,Betriebsvorrichtungen,0
model,"account.account.template,name",account_0290,Technische Anlagen und Maschinen im Bau,Technische Anlagen und Maschinen im Bau,0
model,"account.account.template,name",account_0299,Anzahlungen auf technische Anlagen,Anzahlungen auf technische Anlagen,0
model,"account.account.template,name",account_0300,Betriebs- und Geschäftsausstattung,Betriebs- und Geschäftsausstattung,0
model,"account.account.template,name",account_0310,Andere Anlagen,Andere Anlagen,0
model,"account.account.template,name",account_0320,PKW,PKW,0
model,"account.account.template,name",account_0350,LKW,LKW,0
model,"account.account.template,name",account_0380,Sonstige Transportmittel,Sonstige Transportmittel,0
model,"account.account.template,name",account_0400,Betriebsausstattung,Betriebsausstattung,0
model,"account.account.template,name",account_0410,Geschäftsausstattung,Geschäftsausstattung,0
model,"account.account.template,name",account_0420,Büroeinrichtung,Büroeinrichtung,0
model,"account.account.template,name",account_0430,Ladeneinrichtung,Ladeneinrichtung,0
model,"account.account.template,name",account_0440,Werkzeuge,Werkzeuge,0
model,"account.account.template,name",account_0450,Einbauten,Einbauten,0
model,"account.account.template,name",account_0460,Gerüst- und Schalungsmaterial,Gerüst- und Schalungsmaterial,0
model,"account.account.template,name",account_0480,Geringwertige Wirtschaftsgüter,Geringwertige Wirtschaftsgüter,0
model,"account.account.template,name",account_0485,Geringwertige WG Sammelposten,Geringwertige WG Sammelposten,0
model,"account.account.template,name",account_0490,Sonstige Betriebs-u.Gesch.ausstattung,Sonstige Betriebs-u.Gesch.ausstattung,0
model,"account.account.template,name",account_0498,Betriebs- u. Gesch.ausstattung im Bau,Betriebs- u. Gesch.ausstattung im Bau,0
model,"account.account.template,name",account_0499,Anzahlung Betriebs- u. Gesch.ausstattung,Anzahlung Betriebs- u. Gesch.ausstattung,0
model,"account.account.template,name",account_0500,Anteile an verbundenen Unternehmen,Anteile an verbundenen Unternehmen,0
model,"account.account.template,name",account_0504,Anteile a.herrschender Gesellschaft,Anteile a.herrschender Gesellschaft,0
model,"account.account.template,name",account_0505,Ausleihungen an verbundene Unternehmen,Ausleihungen an verbundene Unternehmen,0
model,"account.account.template,name",account_0510,Beteiligungen,Beteiligungen,0
model,"account.account.template,name",account_0513,Typisch stille Beteiligungen,Typisch stille Beteiligungen,0
model,"account.account.template,name",account_0516,Atypische stille Beteiligungen,Atypische stille Beteiligungen,0
model,"account.account.template,name",account_0517,Andere Beteiligungen an Kapitalges.,Andere Beteiligungen an Kapitalges.,0
model,"account.account.template,name",account_0518,Andere Beteiligungen an Personenges.,Andere Beteiligungen an Personenges.,0
model,"account.account.template,name",account_0519,Beteiligung GmbH&Co.an Komplementär GmbH,Beteiligung GmbH&Co.an Komplementär GmbH,0
model,"account.account.template,name",account_0520,Ausleih. an UN mit Beteiligungsverh.,Ausleih. an UN mit Beteiligungsverh.,0
model,"account.account.template,name",account_0525,Wertpapiere des Anlagevermögens,Wertpapiere des Anlagevermögens,0
model,"account.account.template,name",account_0530,Wertpapiere mit Gewinnbeteil.ansprüch.,Wertpapiere mit Gewinnbeteil.ansprüch.,0
model,"account.account.template,name",account_0535,Festverzinsliche Wertpapiere,Festverzinsliche Wertpapiere,0
model,"account.account.template,name",account_0540,Sonstige Ausleihungen,Sonstige Ausleihungen,0
model,"account.account.template,name",account_0550,Darlehen,Darlehen,0
model,"account.account.template,name",account_0570,Genossenschaftsanteile z.lfr.Verbleib,Genossenschaftsanteile z.lfr.Verbleib,0
model,"account.account.template,name",account_0580,Ausleihungen an Gesellschafter,Ausleihungen an Gesellschafter,0
model,"account.account.template,name",account_0590,Ausleihungen an nahe stehende Personen,Ausleihungen an nahe stehende Personen,0
model,"account.account.template,name",account_0595,LV-Rückdeckungsansprüche z.lfr.Verbl.,LV-Rückdeckungsansprüche z.lfr.Verbl.,0
model,"account.account.template,name",account_0600,"Anleihen, nicht konvertibel","Anleihen, nicht konvertibel",0
model,"account.account.template,name",account_0601,"Anleihen, nicht konvertibel (b. 1 Jahr)","Anleihen, nicht konvertibel (b. 1 Jahr)",0
model,"account.account.template,name",account_0605,"Anleihen, nicht konvertibel (1-5 Jahre)","Anleihen, nicht konvertibel (1-5 Jahre)",0
model,"account.account.template,name",account_0610,"Anleihen, nicht konvertibel (g.5 Jahre)","Anleihen, nicht konvertibel (g.5 Jahre)",0
model,"account.account.template,name",account_0615,Anleihen konvertibel,Anleihen konvertibel,0
model,"account.account.template,name",account_0616,Anleihen konvertibel(bis 1 Jahr),Anleihen konvertibel(bis 1 Jahr),0
model,"account.account.template,name",account_0620,Anleihen konvertibel(1-5 Jahre),Anleihen konvertibel(1-5 Jahre),0
model,"account.account.template,name",account_0625,Anleihen konvertibel(größer 5 Jahre),Anleihen konvertibel(größer 5 Jahre),0
model,"account.account.template,name",account_0630,Verbindlichkeiten gg. Kreditinstituten,Verbindlichkeiten gg. Kreditinstituten,0
model,"account.account.template,name",account_0631,Verbindlichkeiten Kreditinstitut(b.1J),Verbindlichkeiten Kreditinstitut(b.1J),0
model,"account.account.template,name",account_0640,Verbindlichkeiten Kreditinstitut(1-5J),Verbindlichkeiten Kreditinstitut(1-5J),0
model,"account.account.template,name",account_0650,Verbindlichkeiten Kreditinstitut(g.5J),Verbindlichkeiten Kreditinstitut(g.5J),0
model,"account.account.template,name",account_0660,TZ-Verbindlichkeit. gg. Kreditinstituten,TZ-Verbindlichkeit. gg. Kreditinstituten,0
model,"account.account.template,name",account_0661,"TZ-Verbindlichkeit. Kreditinstitut,b.1 J","TZ-Verbindlichkeit. Kreditinstitut,b.1 J",0
model,"account.account.template,name",account_0670,"TZ-Verbindlichkeit. Kreditinstitut,1-5 J","TZ-Verbindlichkeit. Kreditinstitut,1-5 J",0
model,"account.account.template,name",account_0680,"TZ-Verbindlichkeit. Kreditinstitut,g.5 J","TZ-Verbindlichkeit. Kreditinstitut,g.5 J",0
model,"account.account.template,name",account_0699,Gegenkonto bei Aufteilung Kto 0690-98,Gegenkonto bei Aufteilung Kto 0690-98,0
model,"account.account.template,name",account_0700,Verbindlichk.gegenüber verbundenen UN,Verbindlichk.gegenüber verbundenen UN,0
model,"account.account.template,name",account_0701,Verbindlichkeit. gg.verbundene UN(b.1 J),Verbindlichkeit. gg.verbundene UN(b.1 J),0
model,"account.account.template,name",account_0705,Verbindlichkeit. gg.verbundene UN(1-5 J),Verbindlichkeit. gg.verbundene UN(1-5 J),0
model,"account.account.template,name",account_0710,Verbindlichkeit. gg.verbundene UN(g.5 J),Verbindlichkeit. gg.verbundene UN(g.5 J),0
model,"account.account.template,name",account_0715,Verbindl. gg.UN mit Beteiligungsverh.,Verbindl. gg.UN mit Beteiligungsverh.,0
model,"account.account.template,name",account_0716,Verbindl. gg.UN mit Beteiligg.verh. b.1J,Verbindl. gg.UN mit Beteiligg.verh. b.1J,0
model,"account.account.template,name",account_0720,Verbindl. gg.UN mit Beteiligg.verh. 1-5J,Verbindl. gg.UN mit Beteiligg.verh. 1-5J,0
model,"account.account.template,name",account_0725,Verbindl. gg.UN mit Beteiligg.verh. g.5J,Verbindl. gg.UN mit Beteiligg.verh. g.5J,0
model,"account.account.template,name",account_0730,Verbindlichkeit.gg. Gesellschaftern,Verbindlichkeit.gg. Gesellschaftern,0
