type,name,res_id,src,value,fuzzy
error,account.fiscalyear,0,You can not change the invoice sequence if there is already an invoice opened in the fiscalyear,Не може а променяте последователност на фактура ако има вече отворена фактура за финансовата година,0
error,account.fiscalyear,0,You must have different invoice sequences per fiscal year!,За финансова година трябва да имате различни последователности за фактура  ,0
error,account.invoice,0,"Base taxes different from invoice lines!
Re-compute the invoice.","Данъчната основа е различна от тази на редовете на фактурата!
Наново изчислете фактурата.",0
error,account.invoice,0,"Taxes defined but not on invoice lines!
Re-compute the invoice.","Зададени са данъци но не за редове на фактура!
Преизчислете фактурата.",0
error,account.invoice,0,"Taxes defined on invoice lines but not on invoice!
Re-compute the invoice.","Данъци са зададени върху редовете на фактурата но не на фактурата!
Преизчислете фактурата",0
error,account.invoice,0,The credit account on journal is missing!,Лиспва кредитна сметка за дневника!,0
error,account.invoice,0,The credit account on journal is the same than the invoice account!,Кредитната сметка на дневника е същата като сметката на фактурата!,0
error,account.invoice,0,The debit account on journal is missing!,Липсва дебитна сметка за дневник!,0
error,account.invoice,0,The debit account on journal is the same than the invoice account!,Дебитната сметка на дневника е същата като сметката на фактурата!,0
error,account.invoice,0,There is no invoice sequence on the period/fiscal year!,Няма последователност за фактура върху период/финансова година!,0
error,account.invoice,0,"You can not create an invoice
with account from a different invoice company!","Не може да създадете фактура
със сметка на друга фактурираща фирма!",0
error,account.invoice,0,"You can not modify an invoice that is opened, paid!",Не може да променяте фактура която е отворена или платена!,0
error,account.invoice,0,You can not reset to draft an invoice that has move!,Не може да прехвърлите в проект фактура която има движение!,0
error,account.invoice,0,"You can not use the same account
as on invoice line!","Не може да ползвате съшата сметка
като тази на реда от фактурата!",0
error,account.invoice.credit_invoice,0,You can not credit with refund an invoice that is not opened!,Не можете да кредитиратe обезщетение фактура по която не е отворена!,0
error,account.invoice.credit_invoice,0,You can not credit with refund an invoice with payments!,Не можете да кредитиратe обезщетение фактура по която има плащане!,0
error,account.invoice.line,0,"Line with ""line"" type must have an account!","Ред от вид ""line"" трябва да има сметка!",0
error,account.invoice.line,0,"Line without ""line"" type must have an invoice!","Ред без ""ред"" трябва да има фактура!",0
error,account.invoice.line,0,"You can not add a line to an invoice that is open, paid or canceled!",Не може да добавяте ред към фактура която е отворена/платена/отказана!,0
error,account.invoice.line,0,"You can not create invoice line
with account with a different invoice company!","Не може да създавате ред от фактура
със сметка от различна фактурираща фирма!",0
error,account.invoice.line,0,"You can not modify line from an invoice that is opened, paid!",Не може да променяте ред от фактура която е отворена и/или платена!,0
error,account.invoice.line,0,"You can not use the same account
as on the invoice!","Не може да използвате същата сметка
като тази на фактурата!",0
error,account.invoice.pay_invoice,0,You can not create a partial payment with an amount greater then the amount to pay!,Не може да създавате частично плащане за сума по-голяма от сумата за плащане!,0
error,account.invoice.payment_term,0,Invalid payment term line!,Невалиден ред от условие за плащане!,0
error,account.invoice.payment_term,0,Payment term missing a remainder line!,В условието за плащане липсва ред от напомняне!,0
error,account.invoice.payment_term.line.delay,0,The code must be unique!,Кода трябва да е уникален!,0
error,account.invoice.payment_term.line.type,0,The code must be unique!,Кода трябва да е уникален!,0
error,account.invoice.tax,0,"You can not add a line to an invoice that is open, paid or canceled!",Не може да добавяте ред към фактура която е отворена/платена/отказана!,0
error,account.invoice.tax,0,"You can not modify tax from an invoice that is opened, paid!",Не може да променяте данък от фактура която е отворена и/или платена!,0
error,account.period,0,You can not change the invoice sequence if there is already an invoice opened in the period,Не може а променяте последователност на фактура ако има вече отворена фактура за финансовата година,0
error,account.period,0,You must have different invoice sequences per fiscal year and in the same company!,За финансова година и една и съща фирма трябва да имате различни последователности за фактура !,0
field,"account.fiscalyear,in_credit_note_sequence",0,Supplier Credit Note Sequence,Последователност за кредитно известие на доставчик,0
field,"account.fiscalyear,in_invoice_sequence",0,Supplier Invoice Sequence,Последователност на фактура за доставчик,0
field,"account.fiscalyear,out_credit_note_sequence",0,Customer Credit Note Sequence,Последователност за кредитно известие на клиент,0
field,"account.fiscalyear,out_invoice_sequence",0,Customer Invoice Sequence,Последователност за фактура на клиент,0
field,"account.invoice,account",0,Account,Сметка,0
field,"account.invoice,accounting_date",0,Accounting Date,Дата на осчетоводяване,0
field,"account.invoice,amount_to_pay",0,Amount to Pay,Сума за плащане,0
field,"account.invoice,amount_to_pay_today",0,Amount to Pay Today,Сума за плащане днес,0
field,"account.invoice,comment",0,Comment,Коментар,0
field,"account.invoice,company",0,Company,Фирма,0
field,"account.invoice,currency",0,Currency,Валута,0
field,"account.invoice,currency_date",0,Currency Date,Текуща дата,0
field,"account.invoice,currency_digits",0,Currency Digits,Цифри за валута,0
field,"account.invoice,description",0,Description,Описание,0
field,"account.invoice,invoice_address",0,Invoice Address,Адрес за фактура,0
field,"account.invoice,invoice_date",0,Invoice Date,Дата на фактура,0
field,"account.invoice,invoice_report",0,Invoice Report,Справка за фактура,0
field,"account.invoice,invoice_report_format",0,Invoice Report Format,Формат на спавка за фактура,0
field,"account.invoice,journal",0,Journal,Дневник,0
field,"account.invoice,lines",0,Lines,Редове,0
field,"account.invoice,lines_to_pay",0,Lines to Pay,Редове за плащане,0
field,"account.invoice,move",0,Move,Движение,0
field,"account.invoice,number",0,Number,Номер,0
field,"account.invoice,party",0,Party,Партньор,0
field,"account.invoice,party_lang",0,Party Language,Език на партньор,0
field,"account.invoice,payment_lines",0,Payment Lines,Редове от плащане,0
field,"account.invoice,payment_term",0,Payment Term,Условие за плащане,0
field,"account.invoice,rec_name",0,Name,Име,0
field,"account.invoice,reconciled",0,Reconciled,Съгласуван,0
field,"account.invoice,reference",0,Reference,Отпратка,0
field,"account.invoice,state",0,State,Състояние,0
field,"account.invoice,tax_amount",0,Tax,Данък,0
field,"account.invoice,taxes",0,Tax Lines,Ред на данъци,0
field,"account.invoice,total_amount",0,Total,Общо,0
