type,name,res_id,src,value,fuzzy
error,account.fiscalyear,0,You can not change the invoice sequence if there is already an invoice opened in the fiscalyear,"Sie können den Rechnungsnummernkreis nicht ändern, wenn bereits eine Rechnung im laufenden Buchungsjahr fakturiert wurde.",0
error,account.fiscalyear,0,You must have different invoice sequences per fiscal year!,Für unterschiedliche Geschäftsjahre müssen jeweils eigene Rechnungsnummernkreise erstellt werden!,0
error,account.invoice,0,"Base taxes different from invoice lines!
Re-compute the invoice.",Steuern stimmen nicht mit den Rechnungspositionen überein!,0
error,account.invoice,0,"Taxes defined but not on invoice lines!
Re-compute the invoice.","Es sind Steuern definiert, allerdings nicht in den Rechnungspositionen!
Bitte lassen Sie die Rechnung erneut berechnen.",0
error,account.invoice,0,"Taxes defined on invoice lines but not on invoice!
Re-compute the invoice.","Steuern sind für die Rechnungspositionen definiert, allerdings nicht für die Rechnung selbst!
Bitte lassen Sie die Rechnung erneut berechnen.",0
error,account.invoice,0,The credit account on journal is missing!,Haben-Konto im Journal fehlt!,0
error,account.invoice,0,The credit account on journal is the same than the invoice account!,Das Habenkonto des Journals ist das selbe wie das Rechnungskonto!,0
error,account.invoice,0,The debit account on journal is missing!,Soll-Konto im Journal fehlt,0
error,account.invoice,0,The debit account on journal is the same than the invoice account!,Das Sollkonto des Journals ist das selbe wie das Rechnungskonto!,0
error,account.invoice,0,There is no invoice sequence on the period/fiscal year!,Rechnungsnummernkreis für diese Periode oder dieses Buchungsjahr fehlt!,0
error,account.invoice,0,"You can not create an invoice
with account from a different invoice company!",Es können keine Rechnungen mit einem Konto von einer anderen rechnungsstellenden Firma angelegt werden,0
error,account.invoice,0,"You can not modify an invoice that is opened, paid!",Fakturierte oder bezahlte Rechnungen können nicht geändert werden!,0
error,account.invoice,0,You can not reset to draft an invoice that has move!,"Eine Rechnung, die Buchungen enthält, kann nicht auf Entwurf zurückgesetzt werden!",0
error,account.invoice,0,"You can not use the same account
as on invoice line!",Es kann nicht das selbe Konto wie für die Rechnungszeile verwendet werden!,0
error,account.invoice.credit_invoice,0,You can not credit with refund an invoice that is not opened!,Nur Rechnungen im Status 'Fakturiert' können verrechnet werden!,0
