type,name,res_id,src,value,fuzzy
error,account.fiscalyear,0,You can not change the invoice sequence if there is already an invoice opened in the fiscalyear,No puede cambiar la secuencia de una factura si hay una factura abierta en el año fiscal,0
error,account.fiscalyear,0,You must have different invoice sequences per fiscal year!,¡Debe tener una secuencia diferente de facturación por año fiscal!,0
error,account.invoice,0,"Base taxes different from invoice lines!
Re-compute the invoice.",Los Impuestos Base difieren de las líneas de factura!,0
error,account.invoice,0,"Taxes defined but not on invoice lines!
Re-compute the invoice.","Impuestos definidos pero no en líneas de factura!
Recalcule la factura.",0
error,account.invoice,0,"Taxes defined on invoice lines but not on invoice!
Re-compute the invoice.",Impuestos definidos en factura pero no usados en las líneas!,0
error,account.invoice,0,The credit account on journal is missing!,Falta la cuenta crédito del diario!,0
error,account.invoice,0,The credit account on journal is the same than the invoice account!,¡La cuenta crédito en el diario es la misma que la cuenta facturada!,0
error,account.invoice,0,The debit account on journal is missing!,Falta la cuenta débito del diario!,0
error,account.invoice,0,The debit account on journal is the same than the invoice account!,¡La cuenta débito en el diario es la misma que la cuenta facturada!,0
error,account.invoice,0,There is no invoice sequence on the period/fiscal year!,No hay una secuencia de facturaas para el período/año fiscal!,0
error,account.invoice,0,"You can not create an invoice
with account from a different invoice company!",No puede crear una factura,0
error,account.invoice,0,"You can not modify an invoice that is opened, paid!","¡No puede modificar una factura que está abierta, pagada!",0
error,account.invoice,0,You can not reset to draft an invoice that has move!,¡No puede poner en borrador una factura que ha sido movida!,0
error,account.invoice,0,"You can not use the same account
as on invoice line!","¡No puede usar la misma cuenta
como línea en la factura!",0
error,account.invoice.credit_invoice,0,You can not credit with refund an invoice that is not opened!,¡No puede acreditar con reembolsos una factura que no está abierta!,0
error,account.invoice.credit_invoice,0,You can not credit with refund an invoice with payments!,¡No puede acreditar una devolución de una factura con pagos!,0
error,account.invoice.line,0,"Line with ""line"" type must have an account!","¡Una línea con tipo de ""línea"" debe tener una cuenta!",0
error,account.invoice.line,0,"Line without ""line"" type must have an invoice!","¡Una línea sin tipo de ""línea"" debe tener una factura!",0
error,account.invoice.line,0,"You can not add a line to an invoice that is open, paid or canceled!","No puede adicionar una línea a una factura que está abierta, pagada o cancelada!",0
error,account.invoice.line,0,"You can not create invoice line
with account with a different invoice company!","¡No puede crear una línea de factura
con cuenta a partir de una factura de una compañía distinta!",0
error,account.invoice.line,0,"You can not modify line from an invoice that is opened, paid!","¡No puede modificar la línea de una factura que está abierta, pagada!",0
error,account.invoice.line,0,"You can not use the same account
as on the invoice!","No puede usar la misma cuenta
que en la factura!",0
error,account.invoice.pay_invoice,0,You can not create a partial payment with an amount greater then the amount to pay!,¡No puede crear un pago parcial con un monto mayor que el valor a pagar!,0
error,account.invoice.payment_term,0,Invalid payment term line!,Línea de opción de pago inválida!,0
error,account.invoice.payment_term,0,Payment term missing a remainder line!,Hace falta una línea final al término de pago!,0
error,account.invoice.payment_term.line.delay,0,The code must be unique!,¡El código debe ser único!,0
error,account.invoice.payment_term.line.type,0,The code must be unique!,¡El código debe ser único!,0
error,account.invoice.tax,0,"You can not add a line to an invoice that is open, paid or canceled!","No puede adicionar una línea a una factura que está abierta, pagada o cancelada!",0
error,account.invoice.tax,0,"You can not modify tax from an invoice that is opened, paid!",,0
error,account.period,0,You can not change the invoice sequence if there is already an invoice opened in the period,No puede cambiar la secuencia de una factura si hay una factura abierta en el período,0
error,account.period,0,You must have different invoice sequences per fiscal year and in the same company!,¡Debe tener secuencias diferentes de facturas por año fiscal en la misma compañía!,0
field,"account.fiscalyear,in_credit_note_sequence",0,Supplier Credit Note Sequence,Secuencia de la Nota Crédito del Proveedor,0
field,"account.fiscalyear,in_invoice_sequence",0,Supplier Invoice Sequence,Secuencia de Factura de Proveedor,0
field,"account.fiscalyear,out_credit_note_sequence",0,Customer Credit Note Sequence,Secuencia de Nota Crédito de Cliente,0
field,"account.fiscalyear,out_invoice_sequence",0,Customer Invoice Sequence,Secuencia de Facturas de Cliente,0
