type,name,res_id,src,value,fuzzy
error,account.fiscalyear,0,You can not change the invoice sequence if there is already an invoice opened in the fiscalyear,No puede cambiar la secuencia de una factura si ya hay una abierta en el ejercicio fiscal,0
error,account.fiscalyear,0,You must have different invoice sequences per fiscal year!,Debe tener una secuencia diferente de facturación por ejercicio fiscal,0
error,account.invoice,0,"Base taxes different from invoice lines!
Re-compute the invoice.","Los impuestos base son distintos de las líneas de la factura.
Recalcule la factura.",0
error,account.invoice,0,"Taxes defined but not on invoice lines!
Re-compute the invoice.","Tiene impuestos definidos pero ninguno en las líneas de la factura
Recalcule la factura.",0
error,account.invoice,0,"Taxes defined on invoice lines but not on invoice!
Re-compute the invoice.","Los impuestos están definidos en las lineas de la factura pero no en la factura.
Recalcule la factura.",0
error,account.invoice,0,The credit account on journal is missing!,Falta la cuenta crédito del diario,0
error,account.invoice,0,The credit account on journal is the same than the invoice account!,La cuenta de crédito en el diario es la misma que la cuenta facturada,0
error,account.invoice,0,The debit account on journal is missing!,Falta la cuenta débito del diario,0
error,account.invoice,0,The debit account on journal is the same than the invoice account!,La cuenta de débito en el diario es la misma que la cuenta facturada,0
error,account.invoice,0,There is no invoice sequence on the period/fiscal year!,No hay una secuencia de factura para el período/ejercicio fiscal,0
error,account.invoice,0,"You can not create an invoice
with account from a different invoice company!","No puede crear una factura
con una cuenta de una compañía distinta a la que factura",0
error,account.invoice,0,"You can not modify an invoice that is opened, paid!",No puede modificar una factura que está abierta o pagada,0
error,account.invoice,0,You can not reset to draft an invoice that has move!,No puede poner en borrador una factura que tiene asientos,0
error,account.invoice,0,"You can not use the same account
as on invoice line!","No puede usar la misma cuenta
que la línea de la factura",0
error,account.invoice.credit_invoice,0,You can not credit with refund an invoice that is not opened!,No puede pagar con una devolución una factura que no está abierta,0
error,account.invoice.credit_invoice,0,You can not credit with refund an invoice with payments!,No puede pagar con una devolución una factura que tiene pagos,0
error,account.invoice.line,0,"Line with ""line"" type must have an account!",Una línea de tipo «línea» debe tener una cuenta,0
error,account.invoice.line,0,"Line without ""line"" type must have an invoice!",Una línea sin tipo «línea» debe tener una factura,0
error,account.invoice.line,0,"You can not add a line to an invoice that is open, paid or canceled!","No puede añadir una línea a una factura que está abierta, pagada o cancelada",0
error,account.invoice.line,0,"You can not create invoice line
with account with a different invoice company!","No puede crear una línea de factura
con una cuenta de una empresa distinta a la que factura",0
error,account.invoice.line,0,"You can not modify line from an invoice that is opened, paid!",No puede modificar una línea de una factura que está abierta o pagada,0
