type,name,res_id,src,value,fuzzy
error,account.fiscalyear,0,You can not change the invoice sequence if there is already an invoice opened in the fiscalyear,U kunt de factuurreeks niet meer aanpassen als er in dit boekjaar al een factuur is geboekt.,0
error,account.fiscalyear,0,You must have different invoice sequences per fiscal year!,U moet per boekjaar verschillende factuurreeksen hebben!,0
error,account.invoice,0,"Base taxes different from invoice lines!
Re-compute the invoice.","Standaard belasting wijkt af van factuurregels!
Herbereken de factuur.",0
error,account.invoice,0,"Taxes defined but not on invoice lines!
Re-compute the invoice.","Belasting gedefinieerd maar niet op deze factuurregels!
Herbereken de factuur.",0
error,account.invoice,0,"Taxes defined on invoice lines but not on invoice!
Re-compute the invoice.","Belasting gedefinieerd op factuurregels, maar niet op de factuur!
Herbereken de factuur.",0
error,account.invoice,0,The credit account on journal is missing!,De credit boeking ontbreekt!,0
error,account.invoice,0,The credit account on journal is the same than the invoice account!,De credit rekening in het dagboek is dezelfde als de factuur rekening.,0
error,account.invoice,0,The debit account on journal is missing!,De debit boeking ontbreekt!,0
error,account.invoice,0,The debit account on journal is the same than the invoice account!,De debit rekening in het dagboek is dezelfde als de factuur rekening.,0
error,account.invoice,0,There is no invoice sequence on the period/fiscal year!,Er is geen factuurreeks voor deze periode / dit boekjaar!,0
error,account.invoice,0,"You can not create an invoice
with account from a different invoice company!","U kunt geen factuur aanmaken
op een rekening van een ander bedrijf!",0
error,account.invoice,0,"You can not modify an invoice that is opened, paid!",U kunt een openstaande of betaalde factuur niet wijzigen!,0
error,account.invoice,0,You can not reset to draft an invoice that has move!,Een geboekte factuur kunt u niet terugzetten naar concept!,0
error,account.invoice,0,"You can not use the same account
as on invoice line!","U kunt niet dezelfde rekening gebruiken
als op de factuurregel!",0
error,account.invoice.credit_invoice,0,You can not credit with refund an invoice that is not opened!,Alleen een openstaande factuur kunt u crediteren met terugbetaling!,0
error,account.invoice.credit_invoice,0,You can not credit with refund an invoice with payments!,Een (gedeeltelijk) betaalde factuur kunt u niet crediteren met terugbetaling!,0
error,account.invoice.line,0,"Line with ""line"" type must have an account!","Regel met ""regel"" type moet een rekening hebben!",0
error,account.invoice.line,0,"Line without ""line"" type must have an invoice!","Een regel zonder ""regel"" moet een factuur hebben!",0
error,account.invoice.line,0,"You can not add a line to an invoice that is open, paid or canceled!","U kunt geen regels toevoegen aan een openstaande, betaalde of geannuleerde factuur!",0
error,account.invoice.line,0,"You can not create invoice line
with account with a different invoice company!","U kunt geen factuurregel aanmaken
op een rekening van een ander bedrijf!",0
error,account.invoice.line,0,"You can not modify line from an invoice that is opened, paid!",U kunt geen regel aanpassen van een openstraande of betaalde factuur!,0
error,account.invoice.line,0,"You can not use the same account
as on the invoice!","U kunt niet dezelfde rekening 
gebruiken als op de factuur!",0
error,account.invoice.pay_invoice,0,You can not create a partial payment with an amount greater then the amount to pay!,U kunt geen gedeeltelijke betaling boeken die groter is dan het te betalen bedrag!,0
error,account.invoice.payment_term,0,Invalid payment term line!,Ongeldige betalingstermijn!,0
error,account.invoice.payment_term,0,Payment term missing a remainder line!,De betalingstermijn mist een restantregel!,0
error,account.invoice.payment_term.line.delay,0,The code must be unique!,De code moet uniek zijn!,0
error,account.invoice.payment_term.line.type,0,The code must be unique!,De code moet uniek zijn!,0
error,account.invoice.tax,0,"You can not add a line to an invoice that is open, paid or canceled!","U kunt geen regels toevoegen aan een openstaande, betaalde of geannuleerde factuur!",0
error,account.invoice.tax,0,"You can not modify tax from an invoice that is opened, paid!",U kunt de belasting niet aanpassen van een openstaande of betaalde factuur!,0
error,account.period,0,You can not change the invoice sequence if there is already an invoice opened in the period,U kunt niet de factuurreeks aanpassen als er al een factuur in deze periode is geboekt,0
error,account.period,0,You must have different invoice sequences per fiscal year and in the same company!,U moet per boekjaar verschillende factuurreeksen hebben binnen hetzelfde bedrijf!,0
field,"account.fiscalyear,in_credit_note_sequence",0,Supplier Credit Note Sequence,Credit inkoopnota reeks,0
field,"account.fiscalyear,in_invoice_sequence",0,Supplier Invoice Sequence,Inkoopfactuurreeks,0
field,"account.fiscalyear,out_credit_note_sequence",0,Customer Credit Note Sequence,Credit verkoopnota reeks,0
field,"account.fiscalyear,out_invoice_sequence",0,Customer Invoice Sequence,Verkoopfactuur reeks,0
field,"account.invoice,account",0,Account,Rekening,0
field,"account.invoice,accounting_date",0,Accounting Date,Boekingsdatum,0
field,"account.invoice,amount_to_pay",0,Amount to Pay,Te betalen bedrag,0
field,"account.invoice,amount_to_pay_today",0,Amount to Pay Today,Vandaag te betalen bedrag,0
field,"account.invoice,comment",0,Comment,Opmerking,0
field,"account.invoice,company",0,Company,Bedrijf,0
field,"account.invoice,currency",0,Currency,Valuta,0
field,"account.invoice,currency_digits",0,Currency Digits,Valuta decimalen,0
field,"account.invoice,description",0,Description,Omschrijving,0
field,"account.invoice,invoice_address",0,Invoice Address,Factuuradres,0
field,"account.invoice,invoice_date",0,Invoice Date,Factuurdatum,0
field,"account.invoice,invoice_report",0,Invoice Report,Factuuroverzicht,0
field,"account.invoice,invoice_report_format",0,Invoice Report Format,Opmaak factuuroverzicht,0
field,"account.invoice,journal",0,Journal,Dagboek,0
field,"account.invoice,lines",0,Lines,Regels,0
field,"account.invoice,lines_to_pay",0,Lines to Pay,Te betalen boekingen,0
field,"account.invoice,move",0,Move,Boeking,0
field,"account.invoice,number",0,Number,Nummer,0
field,"account.invoice,party",0,Party,Relatie,0
field,"account.invoice,party_lang",0,Party Language,Taal relatie,0
field,"account.invoice,payment_lines",0,Payment Lines,Betalingen,0
field,"account.invoice,payment_term",0,Payment Term,Betalingstermijn,0
field,"account.invoice,rec_name",0,Name,Naam,0
field,"account.invoice,reconciled",0,Reconciled,Afgeletterd,0
field,"account.invoice,reference",0,Reference,Referentie,0
field,"account.invoice,state",0,State,Status,0
field,"account.invoice,tax_amount",0,Tax,Belasting,0
field,"account.invoice,taxes",0,Tax Lines,Belastingregels,0
field,"account.invoice,total_amount",0,Total,Totaal,0
field,"account.invoice,type",0,Type,Type,0
field,"account.invoice,type_name",0,Type,Type,0
