type,name,res_id,src,value,fuzzy
error,product.template,0,There is no account expense/revenue defined on the product %s (%d),Il n'y a pas de compte charges/produits définit sur le produit %s (%d),0
field,"product.category,account_expense",0,Account Expense,Compte de charges,0
field,"product.category,account_revenue",0,Account Revenue,Compte de produits,0
field,"product.category,customer_taxes",0,Customer Taxes,Taxes client,0
field,"product.category,supplier_taxes",0,Supplier Taxes,Taxes fournisseur,0
field,"product.category-customer-account.tax,category",0,Category,Catégorie,0
field,"product.category-customer-account.tax,rec_name",0,Name,Nom,0
field,"product.category-customer-account.tax,tax",0,Tax,Taxe,0
field,"product.category-supplier-account.tax,category",0,Category,Catégorie,0
field,"product.category-supplier-account.tax,rec_name",0,Name,Nom,0
field,"product.category-supplier-account.tax,tax",0,Tax,Taxe,0
field,"product.template,account_category",0,Use Category's accounts,Utiliser les comptes de la catégorie,0
field,"product.template,account_expense",0,Account Expense,Compte de charge,0
field,"product.template,account_expense_used",0,Account Expense Used,Compte de charges utilisé,0
field,"product.template,account_revenue",0,Account Revenue,Compte de produits,0
field,"product.template,account_revenue_used",0,Account Revenue Used,Compte de produits utilisé,0
field,"product.template,customer_taxes",0,Customer Taxes,Taxes Client,0
field,"product.template,customer_taxes_used",0,Customer Taxes Used,Taxes utilisées,0
field,"product.template,supplier_taxes",0,Supplier Taxes,Taxes Fournisseur,0
field,"product.template,supplier_taxes_used",0,Customer Taxes Used,Taxes client utilisées,0
field,"product.template,taxes_category",0,Use Category's Taxes,Utiliser les taxes de la catégorie,0
field,"product.template-customer-account.tax,product",0,Product Template,Modèle produit,0
field,"product.template-customer-account.tax,rec_name",0,Name,Nom,0
field,"product.template-customer-account.tax,tax",0,Tax,Taxe,0
field,"product.template-supplier-account.tax,product",0,Product Template,Modèle produit,0
field,"product.template-supplier-account.tax,rec_name",0,Name,Nom,0
field,"product.template-supplier-account.tax,tax",0,Tax,Taxe,0
help,"product.template,account_category",0,Use the accounts defined on the category,Utiliser les comptes définis sur la catégorie,0
help,"product.template,account_expense",0,This account will be used instead of the one defined on the category.,Ce compte sera utilisé au lieu de celui défini sur la catégorie.,0
help,"product.template,account_revenue",0,This account will be used instead of the one defined on the category.,Ce compte sera utilisé au lieu de celui défini sur la catégorie.,0
help,"product.template,taxes_category",0,Use the taxes defined on the category,Utiliser les taxes de la catégorie,0
model,"product.category-customer-account.tax,name",0,Category - Customer Tax,Catégorie - Taxe client,0
model,"product.category-supplier-account.tax,name",0,Category - Supplier Tax,Catégorie - Taxe fournisseur,0
model,"product.template-customer-account.tax,name",0,Product Template - Customer Tax,Modèle du produit - Taxe client,0
model,"product.template-supplier-account.tax,name",0,Product Template - Supplier Tax,Modèle du produit - Taxe fournisseur,0
view,product.category,0,Accounting,Comptabilité,0
view,product.product,0,Accounting,Comptabilité,0
view,product.template,0,Accounting,Comptabilité,0
view,product.template,0,Accounts,Comptes,0
view,product.template,0,Taxes,Taxes,0
