type,name,res_id,src,value,fuzzy
error,account.statement,0,End Balance must be %s!,Крайния баланс трябва да е %s!,0
error,account.statement.line,0,Amount (%s) greater than the amount to pay of invoice!,Сумата (%s) е по-голяма от сумата за плащане по фактурата!,0
error,account.statement.line,0,Credit or debit account on journal is the same than the statement line account!,Кредитната/дебитната сметка на дневника е същата сметката като на ред от отчета!,0
error,account.statement.line,0,Please provide debit and credit account on statement journal.,Моля укажете дебитна и кредитна сметка за дневника за отчети.,0
field,"account.statement,company",0,Company,Фирма,0
field,"account.statement,currency_digits",0,Currency Digits,Цифри за валута,0
field,"account.statement,date",0,Date,Дата,0
field,"account.statement,end_balance",0,End Balance,Краен баланс,0
field,"account.statement,journal",0,Journal,Дневник,0
field,"account.statement,lines",0,Transactions,Транзакции,0
field,"account.statement,move_lines",0,Move Lines,Редове на движение,0
field,"account.statement,rec_name",0,Name,Име,0
field,"account.statement,start_balance",0,Start Balance,Начален баланс,0
field,"account.statement,state",0,State,Състояние,0
field,"account.statement.journal,company",0,Company,Фирма,0
field,"account.statement.journal,currency",0,Currency,Валута,0
field,"account.statement.journal,journal",0,Journal,Дневник,0
field,"account.statement.journal,name",0,Name,Име,0
field,"account.statement.journal,rec_name",0,Name,Име,0
field,"account.statement.line,account",0,Account,Сметка,0
field,"account.statement.line,amount",0,Amount,Сума,0
field,"account.statement.line,date",0,Date,Дата,0
field,"account.statement.line,description",0,Description,Описание,0
field,"account.statement.line,invoice",0,Invoice,Фактура,0
field,"account.statement.line,move",0,Account Move,Движение по сметка,0
field,"account.statement.line,party",0,Party,Партньор,0
field,"account.statement.line,rec_name",0,Name,Име,0
field,"account.statement.line,statement",0,Statement,Отчет,0
model,"account.journal.type,name",journal_type_statement,Statement,Отчет,0
model,"account.statement,name",0,Account Statement,Отчет за сметка,0
model,"account.statement.journal,name",0,Statement Journal,Дневник за отчети,0
model,"account.statement.line,name",0,Account Statement Line,Ред от отчет за сметка,0
model,"ir.action,name",act_draft_statement_form,Draft Statements,Проект на отчет,0
model,"ir.action,name",act_new_statement_form,New Statement,Нов отчет,0
model,"ir.action,name",act_posted_statement_form,Posted Statements,Публикувани отчети,0
model,"ir.action,name",act_statement_form,All Statement,Всички отчети,0
model,"ir.action,name",act_statement_journal_form,Statement Journals,Дневник за отчети,0
model,"ir.action,name",act_validated_statement_form,Validated Statement,Проверен отчет,0
model,"ir.ui.menu,name",menu_draft_statement_form,Draft Statements,Проект на отчет,0
model,"ir.ui.menu,name",menu_new_statement_form,New Statement,Нов отчет,0
model,"ir.ui.menu,name",menu_posted_statement_form,Posted Statements,Публикувани отчети,0
model,"ir.ui.menu,name",menu_statement_configuration,Statements,Отчети,0
model,"ir.ui.menu,name",menu_statement_form,All Statement,Всички отчети,0
model,"ir.ui.menu,name",menu_statement_journal_form,Statement Journals,Дневник за отчети,0
model,"ir.ui.menu,name",menu_statements,Statements,Отчети,0
model,"ir.ui.menu,name",menu_validated_statement_form,Validated Statement,Проверен отчет,0
model,"res.group,name",group_statement,Statement,Отчет,0
model,"workflow,name",wkf_statement,Statement,Отчет,0
model,"workflow.activity,name",statement_act_cancel,Canceled,Отказан,0
model,"workflow.activity,name",statement_act_draft,Draft,Проект,0
model,"workflow.activity,name",statement_act_posted,Posted,Публикуван,0
model,"workflow.activity,name",statement_act_validated,Validated,Проверен,0
selection,"account.statement,state",0,Canceled,Отказан,0
selection,"account.statement,state",0,Draft,Проект,0
selection,"account.statement,state",0,Posted,Публикуван,0
selection,"account.statement,state",0,Validated,Проверен,0
view,account.statement,0,Cancel,Отказ,0
view,account.statement,0,Move Lines,Редове от движение,0
view,account.statement,0,Other Info,Друга информация,0
view,account.statement,0,Post,Публикуван,0
view,account.statement,0,Reset to Draft,Изпращане в проект,0
view,account.statement,0,Statement,Отчет,0
view,account.statement,0,Statement Lines,Редове от отчет,0
view,account.statement,0,Statements,Отчети,0
view,account.statement,0,Validate,Проверка,0
view,account.statement.journal,0,Statement Journal,Дневник за отчети,0
view,account.statement.journal,0,Statement Journals,Дневник за отчети,0
view,account.statement.line,0,Statement Line,Ред от отчет,0
view,account.statement.line,0,Statement Lines,Редове от отчет,0
