type,name,res_id,src,value,fuzzy
error,analytic_account.account,0,You can not create recursive accounts!,Не може да създавате взаимно вложени сметки!,0
error,analytic_account.account.selection,0,Can not have many accounts with the same root or a missing mandatory root account!,Не може да имате много сметки с един и същи родител или да липсва родителска сметка!,0
error,analytic_account.line,0,Wrong credit/debit values!,Грешни стойности за кредит/дебит!,0
error,analytic_account.line,0,"You can not create move line
on view/inactive account!","Не може да създавате ред от движение
за изглед/неактивна сметка!",0
field,"account.invoice.line,analytic_accounts",0,Analytic Accounts,Аналитични сметки,0
field,"account.move.line,analytic_lines",0,Analytic Lines,Редове от аналитична сметка,0
field,"analytic_account.account,active",0,Active,Активен,0
field,"analytic_account.account,balance",0,Balance,Баланс,0
field,"analytic_account.account,childs",0,Children,Деца,0
field,"analytic_account.account,code",0,Code,Код,0
field,"analytic_account.account,company",0,Company,Фирма,0
field,"analytic_account.account,credit",0,Credit,Кредит,0
field,"analytic_account.account,currency",0,Currency,Валута,0
field,"analytic_account.account,currency_digits",0,Currency Digits,Цифри за валута,0
field,"analytic_account.account,debit",0,Debit,Дебит,0
field,"analytic_account.account,display_balance",0,Display Balance,Показване на баланс,0
field,"analytic_account.account,mandatory",0,Mandatory,Задължителен,0
field,"analytic_account.account,name",0,Name,Име,0
field,"analytic_account.account,note",0,Note,Бележка,0
field,"analytic_account.account,parent",0,Parent,Родител,0
field,"analytic_account.account,rec_name",0,Name,Име,0
field,"analytic_account.account,root",0,Root,Начало,0
field,"analytic_account.account,state",0,State,Щат,0
field,"analytic_account.account,type",0,Type,Вид,0
field,"analytic_account.account-analytic_account.account.selection,account",0,Account,Фактури,0
field,"analytic_account.account-analytic_account.account.selection,rec_name",0,Name,Име,0
field,"analytic_account.account-analytic_account.account.selection,selection",0,Selection,Избор,0
field,"analytic_account.account.open_chart_account.init,end_date",0,End Date,Крайна дата,0
field,"analytic_account.account.open_chart_account.init,start_date",0,Start Date,Начална дата,0
field,"analytic_account.account.selection,accounts",0,Accounts,Сметки,0
field,"analytic_account.account.selection,rec_name",0,Name,Име,0
field,"analytic_account.line,account",0,Account,Фактури,0
field,"analytic_account.line,active",0,Active,Активен,0
field,"analytic_account.line,credit",0,Credit,Кредит,0
field,"analytic_account.line,currency",0,Currency,Валута,0
field,"analytic_account.line,currency_digits",0,Currency Digits,Цифри за валута,0
field,"analytic_account.line,date",0,Date,Дата,0
field,"analytic_account.line,debit",0,Debit,Дебит,0
field,"analytic_account.line,journal",0,Journal,Дневник,0
field,"analytic_account.line,move_line",0,Account Move Line,Ред от движение по сметка,0
field,"analytic_account.line,name",0,Name,Име,0
field,"analytic_account.line,party",0,Party,Партньор,0
field,"analytic_account.line,rec_name",0,Name,Име,0
field,"analytic_account.line,reference",0,Reference,Отпратка,0
model,"analytic_account.account,name",0,Analytic Account,Аналитична сметка,0
model,"analytic_account.account-analytic_account.account.selection,name",0,Analytic Account - Analytic Account Selection,Аналитична сметка - Избор на аналитична сметка ,0
model,"analytic_account.account.open_chart_account.init,name",0,Open Chart Account Init,Начално създаване на сметкоплан,0
model,"analytic_account.account.selection,name",0,Analytic Account Selection,Избор на аналитична сметка,0
model,"analytic_account.line,name",0,Analytic Line,Ред от аналитична сметка,0
model,"ir.action,name",,Analytic Accounts,Аналитични сметки,0
model,"ir.action,name",act_account_form,Analytic Accounts,Аналитични сметки,0
model,"ir.action,name",act_account_tree,Analytic Accounts,Аналитични сметки,0
model,"ir.action,name",act_account_tree2,Analytic Accounts,Аналитични сметки,0
model,"ir.action,name",act_line_form,Analytic Lines,Редове от аналитична сметка,0
model,"ir.action,name",act_open_account,Open Account,Отваряне на сметка,0
model,"ir.action,name",act_open_chart_account,Open Chart of Analytic Accounts,Отваряне на аналитичен сметкоплан,0
model,"ir.ui.menu,name",,Analytic Accounts,Аналитични сметки,0
model,"ir.ui.menu,name",menu_account_form_new,New Analytic Account,Нова аналитична сметка,0
model,"ir.ui.menu,name",menu_account_tree,Analytic Accounts,Аналитични сметки,0
model,"ir.ui.menu,name",menu_analytic_account_configuration,Analytic Account,Аналитична сметка,0
model,"ir.ui.menu,name",menu_open_chart_account,Open Chart of Analytic Accounts,Отваряне на аналитичен сметкоплан,0
model,"res.group,name",group_analytic_admin,Analytic Administration,Администрация на аналитична сметка,0
selection,"analytic_account.account,display_balance",0,Credit - Debit,Кредит - дебит,0
selection,"analytic_account.account,display_balance",0,Debit - Credit,Дебит - кредит,0
selection,"analytic_account.account,state",0,Closed,Приключен,0
selection,"analytic_account.account,state",0,Draft,Проект,0
selection,"analytic_account.account,state",0,Opened,Отворен,0
selection,"analytic_account.account,type",0,Normal,Нормален,0
selection,"analytic_account.account,type",0,Root,Начало,0
selection,"analytic_account.account,type",0,View,Изглед,0
view,account.move,0,Analytic,Задължителен,0
view,account.move.line,0,Analytic,Задължителен,0
view,analytic_account.account,0,Analytic Account,Аналитична сметка,0
view,analytic_account.account,0,Analytic Accounts,Аналитични сметки,0
view,analytic_account.account,0,General Information,Обща информация,0
view,analytic_account.account,0,Notes,Бележки,0
view,analytic_account.account.open_chart_account.init,0,Open Chart of Analytic Accounts,Отваряне на аналитичен сметкоплан,0
view,analytic_account.line,0,Analytic Line,Ред от аналитична сметка,0
view,analytic_account.line,0,Analytic Lines,Редове от аналитична сметка,0
view,analytic_account.line,0,General Information,Обща информация,0
wizard_button,"analytic_account.account.open_chart_account,init,end",0,Cancel,Отказ,0
wizard_button,"analytic_account.account.open_chart_account,init,open",0,Open,Отваряне,0
