type,name,res_id,src,value,fuzzy
error,account.statement,0,End Balance must be %s!,Endsaldo muss %s sein!,0
error,account.statement.line,0,Amount (%s) greater than the amount to pay of invoice!,Der eingegebene Betrag (%s) ist größer als der Rechnungsbetrag!,0
error,account.statement.line,0,Credit or debit account on journal is the same than the statement line account!,Haben- oder Sollkonto im Journal ist das selbe Konto wie das des Zahlungspostens!,0
error,account.statement.line,0,Please provide debit and credit account on statement journal.,Bitte Soll- und Habenkonto im Journal Zahlungsverkehr angeben.,0
error,analytic_account.account,0,You can not create recursive accounts!,Konten können nicht rekursiv angelegt werden!,0
error,analytic_account.account.selection,0,Can not have many accounts with the same root or a missing mandatory root account!,Mehrere Konten zum selben Wurzelkonto nicht möglich oder erforderliches Wurzelkonto fehlt!,0
error,analytic_account.line,0,Wrong credit/debit values!,Falsche Haben/Soll-Werte!,0
error,analytic_account.line,0,"You can not create move line
on view/inactive account!",Keine Berechtigung für die Erstellung von Buchungszeilen!,0
field,"account.move.line,analytic_lines",0,Analytic Lines,Kostenstelle Zeilen,0
field,"account.statement,currency_digits",0,Currency Digits,Stellen Währung,0
field,"account.statement,date",0,Date,Datum,0
field,"account.statement,end_balance",0,End Balance,Endsaldo,0
field,"account.statement,journal",0,Journal,Journal,0
field,"account.statement,lines",0,Transactions,Transaktionen,0
field,"account.statement,move_lines",0,Move Lines,Buchungsposten,0
field,"account.statement,rec_name",0,Name,Name,0
field,"account.statement,start_balance",0,Start Balance,Anfangssaldo,0
field,"account.statement,state",0,State,Status,0
field,"account.statement.journal,company",0,Company,Unternehmen,0
field,"account.statement.journal,currency",0,Currency,Währung,0
field,"account.statement.journal,journal",0,Journal,Journal,0
field,"account.statement.journal,name",0,Name,Name,0
field,"account.statement.journal,rec_name",0,Name,Name,0
field,"account.statement.line,account",0,Account,Konto,0
field,"account.statement.line,amount",0,Amount,Betrag,0
field,"account.statement.line,date",0,Date,Datum,0
field,"account.statement.line,description",0,Description,Beschreibung,0
field,"account.statement.line,invoice",0,Invoice,Rechnung,0
field,"account.statement.line,move",0,Account Move,Buchungssatz,0
field,"account.statement.line,party",0,Party,Partei,0
field,"account.statement.line,rec_name",0,Name,Name,0
field,"account.statement.line,statement",0,Statement,Zahlung,0
field,"analytic_account.account,active",0,Active,Aktiv,0
field,"analytic_account.account,balance",0,Balance,Saldo,0
field,"analytic_account.account,childs",0,Children,Untergeordnet (Kostenstellen),0
field,"analytic_account.account,code",0,Code,Code,0
field,"analytic_account.account,company",0,Company,Unternehmen,0
field,"analytic_account.account,credit",0,Credit,Haben,0
field,"analytic_account.account,currency",0,Currency,Währung,0
field,"analytic_account.account,currency_digits",0,Currency Digits,Währung (signifikante Stellen),0
field,"analytic_account.account,debit",0,Debit,Soll,0
field,"analytic_account.account,display_balance",0,Display Balance,Ansicht Bilanz,0
field,"analytic_account.account,mandatory",0,Mandatory,Erforderlich,0
field,"analytic_account.account,name",0,Name,Name,0
field,"analytic_account.account,note",0,Note,Notiz,0
field,"analytic_account.account,parent",0,Parent,Übergeordnet (Kostenstelle),0
field,"analytic_account.account,rec_name",0,Name,Name,0
field,"analytic_account.account,root",0,Root,Wurzel,0
field,"analytic_account.account,state",0,State,Status,0
field,"analytic_account.account,type",0,Type,Typ,0
field,"analytic_account.account-analytic_account.account.selection,account",0,Account,Konto,0
field,"analytic_account.account-analytic_account.account.selection,rec_name",0,Name,Name,0
field,"analytic_account.account-analytic_account.account.selection,selection",0,Selection,Auswahl,0
field,"analytic_account.account.open_chart_account.init,end_date",0,End Date,Enddatum,0
field,"analytic_account.account.open_chart_account.init,start_date",0,Start Date,Anfangsdatum,0
field,"analytic_account.account.selection,accounts",0,Accounts,Konten,0
field,"analytic_account.account.selection,rec_name",0,Name,Name,0
field,"analytic_account.line,account",0,Account,Konto,0
field,"analytic_account.line,active",0,Active,Aktiv,0
field,"analytic_account.line,credit",0,Credit,Haben,0
field,"analytic_account.line,currency",0,Currency,Währung,0
field,"analytic_account.line,currency_digits",0,Currency Digits,Währung (signifikante Stellen),0
field,"analytic_account.line,date",0,Date,Datum,0
field,"analytic_account.line,debit",0,Debit,Soll,0
field,"analytic_account.line,journal",0,Journal,Journal,0
field,"analytic_account.line,move_line",0,Account Move Line,Buchungszeile,0
field,"analytic_account.line,name",0,Name,Name,0
field,"analytic_account.line,party",0,Party,Partei,0
field,"analytic_account.line,rec_name",0,Name,Name,0
field,"analytic_account.line,reference",0,Reference,Interner Beleg,0
model,"account.statement,name",0,Account Statement,Zahlungsverkehr,0
model,"account.statement.journal,name",0,Statement Journal,Journal Zahlungsverkehr,0
model,"account.statement.line,name",0,Account Statement Line,Zahlungsverkehr Position,0
model,"analytic_account.account,name",0,Analytic Account,Kostenstelle,0
model,"analytic_account.account-analytic_account.account.selection,name",0,Analytic Account - Analytic Account Selection,Kostenstelle - Kostenstelle Auswahl,0
model,"analytic_account.account.open_chart_account.init,name",0,Open Chart Account Init,Kontenplan Öffnen Init,0
model,"analytic_account.account.selection,name",0,Analytic Account Selection,Kostenstelle Auswahl,0
model,"analytic_account.line,name",0,Analytic Line,Kostenstelle Zeile,0
model,"ir.action,name",act_account_form,Analytic Accounts,Kostenstellen,0
model,"ir.action,name",act_account_form2,Analytic Accounts,Kostenstellen,0
model,"ir.action,name",act_account_tree,Analytic Accounts,Kostenstellen,0
model,"ir.action,name",act_account_tree2,Analytic Accounts,Kostenstellen,0
model,"ir.action,name",act_line_form,Analytic Lines,Kostenstelle Zeilen,0
model,"ir.action,name",act_open_account,Open Account,Konto öffnen,0
model,"ir.action,name",act_open_chart_account,Open Chart of Analytic Accounts,Kostenstellenplan Öffnen,0
model,"ir.ui.menu,name",menu_account_form,Analytic Accounts,Kostenstellen,0
model,"ir.ui.menu,name",menu_account_form_new,New Analytic Account,Neue Kostenstelle,0
model,"ir.ui.menu,name",menu_account_tree,Analytic Accounts,Kostenstellen,0
model,"ir.ui.menu,name",menu_analytic_account_configuration,Analytic Account,Kostenstellen,0
model,"ir.ui.menu,name",menu_open_chart_account,Open Chart of Analytic Accounts,Kostenstellenplan öffnen,0
model,"res.group,name",group_analytic_admin,Analytic Administration,Kostenstellen Administration,0
selection,"account.statement,state",0,Canceled,Annulliert,0
selection,"account.statement,state",0,Draft,Entwurf,0
selection,"account.statement,state",0,Posted,Festgeschrieben,0
selection,"account.statement,state",0,Validated,Geprüft,0
selection,"analytic_account.account,display_balance",0,Credit - Debit,Haben - Soll,0
selection,"analytic_account.account,display_balance",0,Debit - Credit,Soll - Haben,0
selection,"analytic_account.account,state",0,Closed,Geschlossen,0
selection,"analytic_account.account,state",0,Draft,Entwurf,0
selection,"analytic_account.account,state",0,Opened,Geöffnet,0
selection,"analytic_account.account,type",0,Normal,Normal,0
selection,"analytic_account.account,type",0,Root,Wurzel,0
selection,"analytic_account.account,type",0,View,Sicht,0
view,account.move.line,0,Analytic,Kostenstelle,0
view,account.statement,0,Bank Statement,Bankauszug,0
view,account.statement,0,Bank Statement Lines,Posten Bankauszüge,0
view,account.statement,0,Bank Statements,Bankauszüge,0
view,account.statement,0,Cancel,Annullieren,0
view,account.statement,0,Move Lines,Buchungsposten,0
view,account.statement,0,Post,Festschreiben,0
view,account.statement,0,Reset to Draft,Auf Entwurf zurücksetzen,0
view,account.statement,0,Statement,Zahlung,0
view,account.statement,0,Statement Lines,Zahlungsposten,0
view,account.statement,0,Statements,Zahlungsverkehr,0
view,account.statement,0,Validate,Prüfen,0
view,account.statement.journal,0,Statement Journal,Journal Zahlungsverkehr,0
view,account.statement.journal,0,Statement Journals,Journale Zahlungsverkehr,0
