type,name,res_id,src,value,fuzzy
error,analytic_account.account,0,You can not create recursive accounts!,No puede crear cuentas recursivas,0
error,analytic_account.account.selection,0,Can not have many accounts with the same root or a missing mandatory root account!,No puede tener varias cuentas con la misma cuenta raiz o falta una cuenta raiz obligatoria,0
error,analytic_account.line,0,Wrong credit/debit values!,Los valores debe/haber son incorrectos,0
error,analytic_account.line,0,"You can not create move line
on view/inactive account!","No puede crear una linea de asiento
en una cuenta vista/inactiva",0
field,"account.move.line,analytic_lines",0,Analytic Lines,Líneas analíticas,0
field,"analytic_account.account,active",0,Active,Activa,0
field,"analytic_account.account-analytic_account.account.selection,account",0,Account,Cuenta,0
field,"analytic_account.account-analytic_account.account.selection,rec_name",0,Name,Nombre,0
field,"analytic_account.account-analytic_account.account.selection,selection",0,Selection,Selección,0
field,"analytic_account.account,balance",0,Balance,Balance,0
field,"analytic_account.account,childs",0,Children,Hijos,0
field,"analytic_account.account,code",0,Code,Código,0
field,"analytic_account.account,company",0,Company,Empresa,0
field,"analytic_account.account,credit",0,Credit,Haber,0
field,"analytic_account.account,currency",0,Currency,Divisa,0
field,"analytic_account.account,currency_digits",0,Currency Digits,Decimales de la divisa,0
field,"analytic_account.account,debit",0,Debit,Debe,0
field,"analytic_account.account,display_balance",0,Display Balance,Mostrar balance,0
field,"analytic_account.account,mandatory",0,Mandatory,Obligatorio,0
field,"analytic_account.account,name",0,Name,Nombre,0
field,"analytic_account.account,note",0,Note,Nota,0
field,"analytic_account.account.open_chart_account.init,end_date",0,End Date,Fecha fin,0
field,"analytic_account.account.open_chart_account.init,start_date",0,Start Date,Fecha inicio,0
field,"analytic_account.account,parent",0,Parent,Padre,0
field,"analytic_account.account,rec_name",0,Name,Nombre,0
field,"analytic_account.account,root",0,Root,Raíz,0
field,"analytic_account.account.selection,accounts",0,Accounts,Cuentas,0
field,"analytic_account.account.selection,rec_name",0,Name,Nombre,0
field,"analytic_account.account,state",0,State,Estado,0
field,"analytic_account.account,type",0,Type,Tipo,0
field,"analytic_account.line,account",0,Account,Cuenta,0
field,"analytic_account.line,active",0,Active,Activa,0
field,"analytic_account.line,credit",0,Credit,Haber,0
field,"analytic_account.line,currency",0,Currency,Divisa,0
field,"analytic_account.line,currency_digits",0,Currency Digits,Decimales de la divisa,0
field,"analytic_account.line,date",0,Date,Fecha,0
field,"analytic_account.line,debit",0,Debit,Debe,0
field,"analytic_account.line,journal",0,Journal,Diario,0
field,"analytic_account.line,move_line",0,Account Move Line,Linea de asiento contable,0
field,"analytic_account.line,name",0,Name,Nombre,0
field,"analytic_account.line,party",0,Party,Tercero,0
field,"analytic_account.line,rec_name",0,Name,Nombre,0
field,"analytic_account.line,reference",0,Reference,Referencia,0
model,"analytic_account.account-analytic_account.account.selection,name",0,Analytic Account - Analytic Account Selection,Cuenta analítica - Selección de cuenta analítica,0
model,"analytic_account.account,name",0,Analytic Account,Cuenta analítica,0
model,"analytic_account.account.open_chart_account.init,name",0,Open Chart Account Init,Inicializa la apertura del plan de cuentas,0
model,"analytic_account.account.selection,name",0,Analytic Account Selection,Selección de cuenta analítica,0
model,"analytic_account.line,name",0,Analytic Line,Línea analítica,0
model,"ir.action,name",act_account_form,Analytic Accounts,Cuentas analíticas,0
model,"ir.action,name",act_account_tree,Analytic Accounts,Cuentas analíticas,0
model,"ir.action,name",act_account_tree2,Analytic Accounts,Cuentas analíticas,0
model,"ir.action,name",act_line_form,Analytic Lines,Líneas analíticas,0
model,"ir.action,name",act_open_account,Open Account,Abrir cuenta,0
model,"ir.action,name",act_open_chart_account,Open Chart of Analytic Accounts,Abrir plan contable analítico,0
model,"ir.ui.menu,name",menu_analytic_account_configuration,Analytic Account,Cuenta analítica,0
model,"ir.ui.menu,name",menu_account_form,Analytic Accounts,Cuentas analíticas,0
model,"ir.ui.menu,name",menu_account_tree,Analytic Accounts,Cuentas analíticas,0
model,"ir.ui.menu,name",menu_open_chart_account,Open Chart of Analytic Accounts,Abrir plan contable analítico,0
model,"res.group,name",group_analytic_admin,Analytic Administration,Administración analítica,0
selection,"analytic_account.account,display_balance",0,Credit - Debit,Haber - Debe,0
selection,"analytic_account.account,display_balance",0,Debit - Credit,Debe - Haber,0
selection,"analytic_account.account,state",0,Closed,Cerrada,0
selection,"analytic_account.account,state",0,Draft,Borrador,0
selection,"analytic_account.account,state",0,Opened,Abierta,0
selection,"analytic_account.account,type",0,Normal,Normal,0
selection,"analytic_account.account,type",0,Root,Raíz,0
selection,"analytic_account.account,type",0,View,Vista,0
view,account.move.line,0,Analytic,Analítica,0
view,analytic_account.account,0,Analytic Account,Cuenta analítica,0
view,analytic_account.account,0,Analytic Accounts,Cuentas analíticas,0
view,analytic_account.account,0,General Information,Información general,0
view,analytic_account.account,0,Notes,Notas,0
view,analytic_account.account.open_chart_account.init,0,Open Chart of Analytic Accounts,Abrir plan de cuentas analítico,0
view,analytic_account.line,0,Analytic Line,Línea analítica,0
view,analytic_account.line,0,Analytic Lines,Líneas analíticas,0
view,analytic_account.line,0,General Information,Información general,0
wizard_button,"analytic_account.account.open_chart_account,init,end",0,Cancel,Cancelar,0
wizard_button,"analytic_account.account.open_chart_account,init,open",0,Open,Abrir,0
