type,name,res_id,src,value,fuzzy
error,company.company,0,You can not create recursive companies!,Не може да създавате взаимно вложени фирми!,0
error,res.user,0,You can not set a company that is not a child of your main company!,Не може да изберете фирма която не е подчинена на основната фирма!,0
field,"company.company,childs",0,Children,Деца,0
field,"company.company,currency",0,Currency,Валута,0
field,"company.company,employees",0,Employees,Служители,0
field,"company.company,footer",0,Footer,Долен колонтитул,0
field,"company.company,header",0,Header,Горен колонтитул,0
field,"company.company,parent",0,Parent,Родител,0
field,"company.company,party",0,Party,Партньор,0
field,"company.company,rec_name",0,Name,Име,0
field,"company.employee,company",0,Company,Фирма,0
field,"company.employee,party",0,Party,Партньор,0
field,"company.employee,rec_name",0,Name,Име,0
field,"ir.cron,companies",0,Companies,Фирми,0
field,"ir.cron-company.company,company",0,Company,Фирма,0
field,"ir.cron-company.company,cron",0,Cron,Планировщик,0
field,"ir.cron-company.company,rec_name",0,Name,Име,0
field,"ir.property,company",0,Company,Фирма,0
field,"ir.sequence,company",0,Company,Фирма,0
field,"ir.sequence.strict,company",0,Company,Фирма,0
field,"res.user,companies",0,Current Companies,Текущи фирми,0
field,"res.user,company",0,Current Company,Текуща фирма,0
field,"res.user,employee",0,Employee,Служител,0
field,"res.user,main_company",0,Main Company,Основна фирма,0
help,"ir.cron,companies",0,Companies registered for this cron,Фирми регистрирани за този планировщик,0
model,"company.company,name",0,Company,Фирма,0
model,"company.company.config.init,name",0,Company Config Init,Начално инициализиране на фирма,0
model,"company.employee,name",0,Employee,Служител,0
model,"ir.action,name",,Companies,Фирми,0
model,"ir.action,name",act_company_form,Companies,Фирми,0
model,"ir.action,name",act_company_tree,Companies,Фирми,0
model,"ir.action,name",act_employee_form,Employees,Служители,0
model,"ir.action,name",report_letter,Letter,Писмо,0
model,"ir.cron-company.company,name",0,ir.cron-company.company,,0
model,"ir.ui.menu,name",,New Company,Нова фирма,0
model,"ir.ui.menu,name",menu_company_form,New Company,Нова фирма,0
model,"ir.ui.menu,name",menu_company_tree,Companies,Фирми,0
model,"ir.ui.menu,name",menu_employee_form,Employees,Служители,0
odt,party.letter,0,"Best Regards,","С уважение,",0
odt,party.letter,0,Date:,Дата:,0
odt,party.letter,0,"Dear Madams and Sirs,","Уважаеми дами и годпода,",0
odt,party.letter,0,E-Mail:,E-Mail:,0
odt,party.letter,0,Phone:,Телефон:,0
odt,party.letter,0,Subject:,Относно:,0
view,company.company,0,Companies,Фирми,0
view,company.company,0,Company,Фирма,0
view,company.company,0,Employees,Служители,0
view,company.company,0,Reports,Справки,0
view,company.company.config.init,0,Create Company,Създаване на фирма,0
view,company.company.config.init,0,You can now add your company into the system.,Сега може да добавите фирмата си към системата,0
view,company.employee,0,Employee,Служител,0
view,company.employee,0,Employees,Служители,0
wizard_button,"company.company.config,company,add",0,Add,Добавяне,0
wizard_button,"company.company.config,company,end",0,Cancel,Отказ,0
wizard_button,"company.company.config,init,company",0,Ok,Добре,0
wizard_button,"company.company.config,init,end",0,Cancel,Отказ,0
