type,name,res_id,src,value,fuzzy
error,company.company,0,You can not create recursive companies!,Вы не можете создать взаимоподчинённые организации,0
error,res.user,0,You can not set a company that is not a child of your main company!,"вы не можете установить учетную организацию, отсутвуют подразделения вашей компании",0
field,"company.company,childs",0,Children,Подчиненый,0
field,"company.company,currency",0,Currency,Валюта,0
field,"company.company,employees",0,Employees,Сотрудники,0
field,"company.company,footer",0,Footer,Нижний колонтитул,0
field,"company.company,header",0,Header,Верхний колонтитул,0
field,"company.company,parent",0,Parent,Основной,0
field,"company.company,party",0,Party,Контрагент,0
field,"company.company,rec_name",0,Name,Наименование,0
field,"company.employee,company",0,Company,Учет.орг.,0
field,"company.employee,party",0,Party,Контрагент,0
field,"company.employee,rec_name",0,Name,Наименование,0
field,"ir.cron,companies",0,Companies,Организация,0
field,"ir.cron-company.company,company",0,Company,Учет.орг.,0
field,"ir.cron-company.company,cron",0,Cron,Планировщик,0
field,"ir.cron-company.company,rec_name",0,Name,Наименование,0
field,"ir.property,company",0,Company,Учет.орг.,0
field,"ir.sequence,company",0,Company,Учет.орг.,0
field,"ir.sequence.strict,company",0,Company,Учет.орг.,0
field,"res.user,companies",0,Current Companies,Текущие организации,0
field,"res.user,company",0,Current Company,Текущая организация,0
field,"res.user,employee",0,Employee,Сотрудник,0
field,"res.user,main_company",0,Main Company,Основная организация,0
help,"ir.cron,companies",0,Companies registered for this cron,Организации зарегистрированные для этого планировщика,0
model,"company.company,name",0,Company,Учет.орг.,0
model,"company.company.config.init,name",0,Company Config Init,Конфигурация модуля предприятия,0
model,"company.employee,name",0,Employee,Сотрудник,0
model,"ir.action,name",act_company_form,Companies,Организация,0
model,"ir.action,name",act_company_form2,Companies,Организация,0
model,"ir.action,name",act_company_tree,Companies,Организация,0
model,"ir.action,name",act_employee_form,Employees,Сотрудники,0
model,"ir.action,name",report_letter,Letter,Письмо,0
model,"ir.cron-company.company,name",0,ir.cron-company.company,Планировщик,0
model,"ir.ui.menu,name",menu_company_form,Edit Companies,Редактирование организации,0
model,"ir.ui.menu,name",menu_company_form2,New Company,Новая организация,0
model,"ir.ui.menu,name",menu_company_tree,Companies,Организация,0
model,"ir.ui.menu,name",menu_employee_form,Employees,Сотрудники,0
odt,party.letter,0,"Best Regards,","С уважением,",0
odt,party.letter,0,Date:,Дата:,0
odt,party.letter,0,"Dear Madams and Sirs,","Уважаемые дамы и годпода,",0
odt,party.letter,0,E-Mail:,E-Mail:,0
odt,party.letter,0,Phone:,Телефон:,0
odt,party.letter,0,Subject:,Тема:,0
view,company.company,0,Companies,Организация,0
view,company.company,0,Company,Учет.орг.,0
view,company.company,0,Employees,Сотрудники,0
view,company.company,0,Reports,Отчеты,0
view,company.company.config.init,0,Create Company,Создать организацию,0
view,company.company.config.init,0,You can now add your company into the system.,Теперь вы можете добавить организацию в систему,0
view,company.employee,0,Employee,Сотрудник,0
view,company.employee,0,Employess,Сотрудники,0
wizard_button,"company.company.config,company,add",0,Add,Добавить,0
wizard_button,"company.company.config,company,end",0,Cancel,Отменить,0
wizard_button,"company.company.config,init,company",0,Ok,Да,0
wizard_button,"company.company.config,init,end",0,Cancel,Отменить,0
