type,name,res_id,src,value,fuzzy
error,currency.currency,0,Invalid Grouping!,,0
error,currency.currency,0,No rate found for the currency: %s at the date: %s,,0
error,currency.currency.rate,0,A currency can only have one rate by date!,,0
field,"currency.currency,active",0,Active,,0
field,"currency.currency,code",0,Code,,0
field,"currency.currency,digits",0,Display Digits,,0
field,"currency.currency,mon_decimal_point",0,Decimal Separator,,0
field,"currency.currency,mon_grouping",0,Grouping,,0
field,"currency.currency,mon_thousands_sep",0,Thousands Separator,,0
field,"currency.currency,n_cs_precedes",0,Negative Currency Symbol Precedes,,0
field,"currency.currency,n_sep_by_space",0,Negative Separate by Space,,0
field,"currency.currency,n_sign_posn",0,Negative Sign Position,,0
field,"currency.currency,name",0,Name,,0
field,"currency.currency,negative_sign",0,Negative Sign,,0
field,"currency.currency,numeric_code",0,Numeric Code,,0
field,"currency.currency,p_cs_precedes",0,Positive Currency Symbol Precedes,,0
field,"currency.currency,p_sep_by_space",0,Positive Separate by Space,,0
field,"currency.currency,p_sign_posn",0,Positive Sign Position,,0
field,"currency.currency,positive_sign",0,Positive Sign,,0
field,"currency.currency,rate",0,Current rate,,0
field,"currency.currency,rates",0,Rates,,0
field,"currency.currency,rec_name",0,Name,,0
field,"currency.currency,rounding",0,Rounding factor,,0
field,"currency.currency,symbol",0,Symbol,,0
field,"currency.currency.rate,currency",0,Currency,,0
field,"currency.currency.rate,date",0,Date,,0
field,"currency.currency.rate,rate",0,Rate,,0
field,"currency.currency.rate,rec_name",0,Name,,0
model,"currency.currency,name",0,Currency,,0
model,"currency.currency,name",aed,UAE Dirham,Spojené Arabské Emiráty - dirham,0
model,"currency.currency,name",afn,Afghani,Afghani,0
model,"currency.currency,name",all,Lek,Lek,0
model,"currency.currency,name",amd,Armenian Dram,Arménský dram,0
model,"currency.currency,name",ang,Netherlands Antillian Guilder,Nizozemskoantilský gulden,0
model,"currency.currency,name",aoa,Kwanza,Kwanza,0
model,"currency.currency,name",ars,Argentine Peso,Argentinské peso,0
model,"currency.currency,name",aud,Australian Dollar,Australský dolar,0
model,"currency.currency,name",awg,Aruban Guilder,Arubský gulden,0
model,"currency.currency,name",azn,Azerbaijanian Manat,Ázerbajdžánský manat,0
model,"currency.currency,name",bam,Convertible Marks,Konvertibilní marka,0
model,"currency.currency,name",bbd,Barbados Dollar,Barbadoský dolar,0
model,"currency.currency,name",bdt,Taka,Taka,0
model,"currency.currency,name",bgn,Bulgarian Lev,Bulharská leva,0
model,"currency.currency,name",bhd,Bahraini Dinar,Bahrajnský dinár,0
model,"currency.currency,name",bif,Burundi Franc,Burundský frank,0
model,"currency.currency,name",bmd,Bermudian Dollar,Bermudský dolar,0
model,"currency.currency,name",bnd,Brunei Dollar,Brunejský dolar,0
model,"currency.currency,name",bob,Boliviano,Boliviano,0
model,"currency.currency,name",bov,Mvdol,Mvdol,0
model,"currency.currency,name",brl,Brazilian Real,Brazilský real,0
model,"currency.currency,name",bsd,Bahamian Dollar,Bahamský dolar,0
model,"currency.currency,name",btn,Ngultrum,Ngultrum,0
model,"currency.currency,name",bwp,Pula,Pula,0
model,"currency.currency,name",byr,Belarussian Ruble,Běloruský rubl,0
model,"currency.currency,name",bzd,Belize Dollar,Belizský dolar,0
model,"currency.currency,name",cad,Canadian Dollar,Kanadský dolar,0
model,"currency.currency,name",cdf,Congolese Franc,Konžský frank,0
model,"currency.currency,name",che,WIR Euro,WIR euro,0
model,"currency.currency,name",chf,Swiss Franc,Švýcarský frank,0
model,"currency.currency,name",chw,WIR Franc,WIR frank,0
model,"currency.currency,name",clf,Unidades de fomento,Unidades de fomento,0
model,"currency.currency,name",clp,Chilean Peso,Chilské peso,0
model,"currency.currency,name",cny,Yuan Renminbi,Čínský renminbi,0
model,"currency.currency,name",cop,Colombian Peso,Kolumbijské peso,0
model,"currency.currency,name",cou,Unidad de Valor Real,Unidad de Valor Real,0
model,"currency.currency,name",crc,Costa Rican Colon,Kostarický colon,0
model,"currency.currency,name",cup,Cuban Peso,Kubánské peso,0
model,"currency.currency,name",cve,Cape Verde Escudo,Kapverdské escudo,0
model,"currency.currency,name",cyp,Cyprus Pound,Kyperská libra,0
model,"currency.currency,name",czk,Czech Koruna,Česká koruna,0
model,"currency.currency,name",djf,Djibouti Franc,Džibutský frank,0
model,"currency.currency,name",dkk,Danish Krone,Dánská koruna,0
model,"currency.currency,name",dop,Dominican Peso,Dominikánské peso,0
model,"currency.currency,name",dzd,Algerian Dinar,Alžírský dinár,0
model,"currency.currency,name",eek,Kroon,Koruna,0
model,"currency.currency,name",egp,Egyptian Pound,Egyptská libra,0
model,"currency.currency,name",ern,Nakfa,Nakfa,0
model,"currency.currency,name",etb,Ethiopian Birr,Etiopský birr,0
model,"currency.currency,name",eur,Euro,Euro,0
model,"currency.currency,name",fjd,Fiji Dollar,Fidžijský dolar,0
model,"currency.currency,name",fkp,Falkland Islands Pound,Falklandská libra,0
model,"currency.currency,name",gbp,Pound Sterling,Britská libra,0
model,"currency.currency,name",gel,Lari,Lari,0
model,"currency.currency,name",ghs,Ghana Cedi,Ghanský cedi,0
model,"currency.currency,name",gip,Gibraltar Pound,Gibraltarská libra,0
model,"currency.currency,name",gmd,Dalasi,Dalasi,0
model,"currency.currency,name",gnf,Guinea Franc,Guinejský frank,0
model,"currency.currency,name",gtq,Quetzal,Quetzal,0
model,"currency.currency,name",gyd,Guyana Dollar,Guyanský dolar,0
model,"currency.currency,name",hkd,Hong Kong Dollar,Hongkongský dolar,0
model,"currency.currency,name",hnl,Lempira,Lempira,0
model,"currency.currency,name",hrk,Croatian Kuna,Chorvatská kuna,0
model,"currency.currency,name",htg,Gourde,Gourde,0
model,"currency.currency,name",huf,Forint,Forint,0
model,"currency.currency,name",idr,Rupiah,Rupie,0
model,"currency.currency,name",ils,New Israeli Sheqel,Izraelský nový šekel,0
model,"currency.currency,name",inr,Indian Rupee,Indická rupie,0
model,"currency.currency,name",iqd,Iraqi Dinar,Irácký dinár,0
