type,name,res_id,src,value,fuzzy
error,currency.currency,0,Invalid Grouping!,Ungültige Gruppierung,0
error,currency.currency,0,No rate found for the currency: %s at the date: %s,Kein Kurs gefunden für Währung %s am %s,0
error,currency.currency.rate,0,A currency can only have one rate by date!,Einer Währung kann nur ein Kurs pro Datum zugewiesen werden!,0
field,"currency.currency,active",0,Active,Aktiv,0
field,"currency.currency,code",0,Code,Code,0
field,"currency.currency,create_date",0,Creation date,Erstellungsdatum,0
field,"currency.currency,create_uid",0,Creation user,Ersteller,0
field,"currency.currency,digits",0,Display Digits,Angezeigte Stellen,0
field,"currency.currency,id",0,ID,ID,0
field,"currency.currency,mon_decimal_point",0,Decimal Separator,Dezimalpunkt Währung,0
field,"currency.currency,mon_grouping",0,Grouping,Gruppierung Währung,0
field,"currency.currency,mon_thousands_sep",0,Thousands Separator,Tausendertrennzeichen Währung,0
field,"currency.currency,name",0,Name,Name,0
field,"currency.currency,n_cs_precedes",0,Negative Currency Symbol Precedes,Negativer Wert: Symbol führend,0
field,"currency.currency,negative_sign",0,Negative Sign,Negatives Vorzeichen,0
field,"currency.currency,n_sep_by_space",0,Negative Separate by Space,Negativer Wert: durch Leerzeichen getrennt,0
field,"currency.currency,n_sign_posn",0,Negative Sign Position,Position negatives Vorzeichen,0
field,"currency.currency,numeric_code",0,Numeric Code,Numerischer Code,0
field,"currency.currency,p_cs_precedes",0,Positive Currency Symbol Precedes,Positiver Wert: Symbol führend,0
field,"currency.currency,positive_sign",0,Positive Sign,Positives Vorzeichen,0
field,"currency.currency,p_sep_by_space",0,Positive Separate by Space,Positiver Wert: durch Leerzeichen getrennt,0
field,"currency.currency,p_sign_posn",0,Positive Sign Position,Position positives Vorzeichen,0
field,"currency.currency,rate",0,Current rate,Aktueller Kurs,0
field,"currency.currency.rate,create_date",0,Creation date,Erstellungsdatum,0
field,"currency.currency.rate,create_uid",0,Creation user,Ersteller,0
field,"currency.currency.rate,currency",0,Currency,Währung,0
field,"currency.currency.rate,date",0,Date,Datum,0
field,"currency.currency.rate,id",0,ID,ID,0
field,"currency.currency.rate,rate",0,Rate,Kurs,0
field,"currency.currency.rate,rec_name",0,Name,Name,0
field,"currency.currency,rates",0,Rates,Kurse,0
field,"currency.currency.rate,write_date",0,Last modification date,Zuletzt geändert am,0
field,"currency.currency.rate,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"currency.currency,rec_name",0,Name,Name,0
field,"currency.currency,rounding",0,Rounding factor,Rundung,0
field,"currency.currency,symbol",0,Symbol,Symbol,0
field,"currency.currency,write_date",0,Last modification date,Zuletzt geändert am,0
field,"currency.currency,write_uid",0,Last modification by,Zuletzt geändert von,0
model,"currency.currency,name",afn,Afghani,Afghani,0
model,"currency.currency,name",dzd,Algerian Dinar,Algerischer Dinar,0
model,"currency.currency,name",ars,Argentine Peso,Argentinischer Peso,0
model,"currency.currency,name",amd,Armenian Dram,Armenischer Dram,0
model,"currency.currency,name",awg,Aruban Guilder,Arubanischer Gulden,0
model,"currency.currency,name",aud,Australian Dollar,Australischer Dollar,0
model,"currency.currency,name",azn,Azerbaijanian Manat,Aserbeidschan Manat,0
model,"currency.currency,name",bsd,Bahamian Dollar,Bahama-Dollar,0
model,"currency.currency,name",bhd,Bahraini Dinar,Bahrain-Dinar,0
model,"currency.currency,name",thb,Baht,Baht,0
model,"currency.currency,name",pab,Balboa,Balboa,0
model,"currency.currency,name",bbd,Barbados Dollar,Barbados-Dollar,0
model,"currency.currency,name",byr,Belarussian Ruble,Weißrussischer Rubel,0
model,"currency.currency,name",bzd,Belize Dollar,Belize-Dollar,0
model,"currency.currency,name",bmd,Bermudian Dollar,Bermuda-Dollar,0
model,"currency.currency,name",vef,Bolivar Fuerte,Bolívar Fuerte,0
model,"currency.currency,name",bob,Boliviano,Bolivischer Boliviano,0
model,"currency.currency,name",brl,Brazilian Real,Brasilianischer Real,0
model,"currency.currency,name",bnd,Brunei Dollar,Brunei-Dollar,0
model,"currency.currency,name",bgn,Bulgarian Lev,Bulgarischer Lev,0
model,"currency.currency,name",bif,Burundi Franc,Burundi-Franc,0
model,"currency.currency,name",cad,Canadian Dollar,Kanadischer Dollar,0
model,"currency.currency,name",cve,Cape Verde Escudo,Kap-Verde-Escudo,0
model,"currency.currency,name",kyd,Cayman Islands Dollar,Kaiman-Dollar,0
model,"currency.currency,name",xof,CFA Franc BCEAO,CFA Franc (West),0
model,"currency.currency,name",xaf,CFA Franc BEAC,CFA Franc (Äquatorial),0
model,"currency.currency,name",xpf,CFP Franc,CFP Franc,0
model,"currency.currency,name",clp,Chilean Peso,Chilenischer Peso,0
model,"currency.currency,name",xts,Code for testing purposes,Testcode,0
model,"currency.currency,name",cop,Colombian Peso,Kolumbischer Peso,0
model,"currency.currency,name",kmf,Comoro Franc,Komoren-Franc,0
model,"currency.currency,name",bam,Convertible Marks,Konvertible Mark,0
model,"currency.currency,name",nio,Cordoba Oro,Cordoba Oro,0
model,"currency.currency,name",crc,Costa Rican Colon,Costa Rica Colon,0
model,"currency.currency,name",hrk,Croatian Kuna,Kuna,0
model,"currency.currency,name",cup,Cuban Peso,Kubanischer Peso,0
model,"currency.currency,name",0,Currency,Währung,0
model,"currency.currency,name",cyp,Cyprus Pound,Zypriotisches Pfund,0
model,"currency.currency,name",czk,Czech Koruna,Tschechische Krone,0
model,"currency.currency,name",gmd,Dalasi,Dalasi,0
model,"currency.currency,name",dkk,Danish Krone,Dänische Krone,0
model,"currency.currency,name",mkd,Denar,Denar,0
model,"currency.currency,name",djf,Djibouti Franc,Djibouti-Franc,0
model,"currency.currency,name",std,Dobra,Dobra,0
model,"currency.currency,name",dop,Dominican Peso,Dominikanischer Peso,0
model,"currency.currency,name",vnd,Dong,Dong,0
model,"currency.currency,name",xcd,East Caribbean Dollar,Ostkaribischer Dollar,0
model,"currency.currency,name",egp,Egyptian Pound,Ägyptisches Pfund,0
model,"currency.currency,name",svc,El Salvador Colon,El Salvador Colon,0
model,"currency.currency,name",etb,Ethiopian Birr,Äthiopischer Birr,0
model,"currency.currency,name",eur,Euro,Euro,0
model,"currency.currency,name",xba,European Composite Unit (EURCO),European Composite Unit (EURCO),0
model,"currency.currency,name",xbb,European Monetary Unit (E.M.U.-6),Europäische Währungseinheit (E.M.U.-6),0
model,"currency.currency,name",xbd,European Unit of Account 17 (E.U.A.-17),Europäische Rechnungseinheit 17 (E.U.A.-17),0
model,"currency.currency,name",xbc,European Unit of Account 9 (E.U.A.-9),Europäische Rechnungseinheit 9 (E.U.A.-9),0
model,"currency.currency,name",fkp,Falkland Islands Pound,Falkland Pfund,0
