type,name,res_id,src,value,fuzzy
error,currency.currency,0,Invalid Grouping!,Agrupamiento Inválido!,0
error,currency.currency,0,No rate found for the currency: %s at the date: %s,No se ha encontrado una conversión para la moneda: %s a la fecha: %s,0
error,currency.currency.rate,0,A currency can only have one rate by date!,Una moneda solamente puede tener un valor por fecha!,0
field,"currency.currency,active",0,Active,Activo,0
field,"currency.currency,code",0,Code,Código,0
field,"currency.currency,digits",0,Diplay Digits,Mostrar Dígitos,0
field,"currency.currency,mon_decimal_point",0,Decimal Separator,Separador Decimal,0
field,"currency.currency,mon_grouping",0,Grouping,Agrupación,0
field,"currency.currency,mon_thousands_sep",0,Thousands Separator,Separador de Miles,0
field,"currency.currency,name",0,Name,Nombre,0
field,"currency.currency,n_cs_precedes",0,Negative Currency Symbol Precedes,El Signo Negativo Precede,0
field,"currency.currency,negative_sign",0,Negative Sign,Signo Negativo,0
field,"currency.currency,n_sep_by_space",0,Negative Separate by Space,Signo Negativo Separado por Espacio,0
field,"currency.currency,n_sign_posn",0,Negative Sign Position,Posición de Signo Negativo,0
field,"currency.currency,p_cs_precedes",0,Positive Currency Symbol Precedes,El signo Positivo Precede,0
field,"currency.currency,positive_sign",0,Positive Sign,Signo Positivo,0
field,"currency.currency,p_sep_by_space",0,Positive Separate by Space,Signo Positivo Separado por Espacio,0
field,"currency.currency,p_sign_posn",0,Positive Sign Position,Posición del Signo Positivo,0
field,"currency.currency,rate",0,Current rate,Moneda Actual,0
field,"currency.currency.rate,currency",0,Currency,Moneda,0
field,"currency.currency.rate,date",0,Date,Fecha,0
field,"currency.currency.rate,rate",0,Rate,Tasa de Cambio,0
field,"currency.currency.rate,rec_name",0,Name,Nombre,0
field,"currency.currency,rates",0,Rates,Tasas de Cambio,0
field,"currency.currency,rec_name",0,Name,Nombre,0
field,"currency.currency,rounding",0,Rounding factor,Factor de Redondeo,0
field,"currency.currency,symbol",0,Symbol,Símbolo,0
model,"currency.currency,name",afn,Afghani,Afghani,0
model,"currency.currency,name",ars,Argentine Peso,Peso Argentino,0
model,"currency.currency,name",awg,Aruban Guilder,Aruban Guilder,0
model,"currency.currency,name",azn,Azerbaijanian Manat,Manat Azerbaijano,0
model,"currency.currency,name",bsd,Bahamian Dollar,Dólar de Bahamas,0
model,"currency.currency,name",thb,Baht,Baht,0
model,"currency.currency,name",pab,Balboa,Balboa,0
model,"currency.currency,name",bbd,Barbados Dollar,Dólar de Barbados,0
model,"currency.currency,name",byr,Belarussian Ruble,Rublo de Bielorusia,0
model,"currency.currency,name",bzd,Belize Dollar,Dólar de Bélize,0
