type,name,res_id,src,value,fuzzy
error,currency.currency,0,Invalid Grouping!,Agrupamiento no válido,0
error,currency.currency,0,No rate found for the currency: %s at the date: %s,No se ha encontrado una conversión para la divisa «%s» con fecha: %s,0
error,currency.currency.rate,0,A currency can only have one rate by date!,Una divisa solo puede tener un valor por fecha,0
field,"currency.currency,active",0,Active,Activa,0
field,"currency.currency,code",0,Code,Código,0
field,"currency.currency,digits",0,Display Digits,Dígitos a mostrar,0
field,"currency.currency,mon_decimal_point",0,Decimal Separator,Separador decimal,0
field,"currency.currency,mon_grouping",0,Grouping,Agrupación,0
field,"currency.currency,mon_thousands_sep",0,Thousands Separator,Separador de miles,0
field,"currency.currency,n_cs_precedes",0,Negative Currency Symbol Precedes,El signo negativo va delante,0
field,"currency.currency,n_sep_by_space",0,Negative Separate by Space,Signo negativo separado por espacio,0
field,"currency.currency,n_sign_posn",0,Negative Sign Position,Posición del signo negativo,0
field,"currency.currency,name",0,Name,Nombre,0
field,"currency.currency,negative_sign",0,Negative Sign,Signo negativo,0
field,"currency.currency,p_cs_precedes",0,Positive Currency Symbol Precedes,El signo positivo va delante,0
field,"currency.currency,p_sep_by_space",0,Positive Separate by Space,Signo positivo separado por espacio,0
field,"currency.currency,p_sign_posn",0,Positive Sign Position,Posición del signo positivo,0
field,"currency.currency,positive_sign",0,Positive Sign,Signo positivo,0
field,"currency.currency,rate",0,Current rate,Tasa de cambio actual,0
field,"currency.currency,rates",0,Rates,Tasas de cambio,0
field,"currency.currency,rec_name",0,Name,Nombre,0
field,"currency.currency,rounding",0,Rounding factor,Factor de redondeo,0
field,"currency.currency,symbol",0,Symbol,Símbolo,0
field,"currency.currency.rate,currency",0,Currency,Divisa,0
field,"currency.currency.rate,date",0,Date,Fecha,0
field,"currency.currency.rate,rate",0,Rate,Tasa de cambio,0
field,"currency.currency.rate,rec_name",0,Name,Nombre,0
model,"currency.currency,name",0,Currency,Divisa,0
model,"currency.currency,name",afn,Afghani,Afganí,0
model,"currency.currency,name",all,Lek,Lek,0
model,"currency.currency,name",ang,Netherlands Antillian Guilder,Florín de las Antillas Neerlandesas,0
model,"currency.currency,name",ars,Argentine Peso,Peso argentino,0
model,"currency.currency,name",awg,Aruban Guilder,Florín de Aruba,0
model,"currency.currency,name",azn,Azerbaijanian Manat,Manat de Azerbayán,0
model,"currency.currency,name",bam,Convertible Marks,Marcos convertibles,0
model,"currency.currency,name",bbd,Barbados Dollar,Dólar de Barbados,0
model,"currency.currency,name",bgn,Bulgarian Lev,Lev búlgaro,0
model,"currency.currency,name",bmd,Bermudian Dollar (customarily known as Bermuda Dollar),Dólar de Bermudas,0
model,"currency.currency,name",bob,Boliviano,Boliviano,0
model,"currency.currency,name",brl,Brazilian Real,Real brasileño,0
model,"currency.currency,name",bsd,Bahamian Dollar,Dólar de las Bahamas,0
model,"currency.currency,name",bwp,Pula,Pula,0
model,"currency.currency,name",byr,Belarussian Ruble,Rubla bielorrusa,0
model,"currency.currency,name",bzd,Belize Dollar,Dólar de Belize,0
model,"currency.currency,name",cad,Canadian Dollar,Dólar canadiense,0
model,"currency.currency,name",chf,Swiss Franc,Franco suizo,0
model,"currency.currency,name",clp,Chilean Peso,Peso chileno,0
model,"currency.currency,name",cny,Yuan Renminbi,Yuan renminbi,0
model,"currency.currency,name",cop,Colombian Peso,Peso colombiano,0
model,"currency.currency,name",crc,Costa Rican Colon,Colón costarricense,0
model,"currency.currency,name",cup,Cuban Peso,Peso cubano,0
model,"currency.currency,name",czk,Czech Koruna,Corona checa,0
model,"currency.currency,name",dkk,Danish Krone,Corona danesa,0
model,"currency.currency,name",dop,Dominican Peso,Peso dominicano,0
model,"currency.currency,name",eek,Kroon,Corona estonia,0
model,"currency.currency,name",egp,Egyptian Pound,Libra egipcia,0
model,"currency.currency,name",eur,Euro,Euro,0
model,"currency.currency,name",fjd,Fiji Dollar,Dólar de las Islas Fiji,0
model,"currency.currency,name",gbp,UK Pound,Libra esterlina,0
model,"currency.currency,name",gip,Gibraltar Pound,Libra de Gibraltar,0
model,"currency.currency,name",gtq,Quetzal,Quetzal,0
model,"currency.currency,name",gyd,Guyana Dollar,Dólar guayanés,0
model,"currency.currency,name",hkd,Hong Kong Dollar,Dólar de Hong Kong,0
model,"currency.currency,name",hnl,Lempira,Lempira hondureño,0
model,"currency.currency,name",hrk,Croatian Kuna,Kuna croata,0
model,"currency.currency,name",huf,Forint,Forint húngaro,0
model,"currency.currency,name",idr,Rupiah,Rupia indonesia,0
model,"currency.currency,name",ils,New Israeli Sheqel,Nuevo sheqel israelí,0
model,"currency.currency,name",inr,Indian Rupee,Rupia india,0
model,"currency.currency,name",irr,Iranian Rial,Rial iraní,0
model,"currency.currency,name",isk,Iceland Krona,Corona islandesa,0
model,"currency.currency,name",jmd,Jamaican Dollar,Dólar jamaiqueño,0
model,"currency.currency,name",jpy,Yen,Yen,0
model,"currency.currency,name",kgs,Som,Som,0
model,"currency.currency,name",khr,Riel,Riel camboyano,0
model,"currency.currency,name",kpw,North Korean Won,Won norcoreano,0
model,"currency.currency,name",kyd,Cayman Islands Dollar,Dólar de las Islas Caimán,0
model,"currency.currency,name",kzt,Tenge,Tenge,0
model,"currency.currency,name",lak,Kip,Kip laosiano,0
model,"currency.currency,name",lbp,Lebanese Pound,Libra libanesa,0
model,"currency.currency,name",lkr,Sri Lanka Rupee,Rupia de Sri Lanka,0
model,"currency.currency,name",lrd,Liberian Dollar,Dóla liberiano,0
model,"currency.currency,name",ltl,Lithuanian Litas,Litas lituano,0
model,"currency.currency,name",mkd,Denar,Denar,0
model,"currency.currency,name",mnt,Tugrik,Tugrik,0
model,"currency.currency,name",mur,Mauritius Rupee,Rupia mauricia,0
model,"currency.currency,name",myr,Malaysian Ringgit,Ringgit malasio,0
model,"currency.currency,name",mzn,Metical,Metical mozambiqueño,0
model,"currency.currency,name",nad,Namibia Dollar,Dóla namibio,0
model,"currency.currency,name",ngn,Naira,Naira,0
model,"currency.currency,name",nio,Cordoba Oro,Córdoba,0
model,"currency.currency,name",nok,Norwegian Krone,Corona noruega,0
model,"currency.currency,name",npr,Nepalese Rupee,Rupia nepalesa,0
model,"currency.currency,name",nzd,New Zealand Dollar,Dólar neozelandés,0
model,"currency.currency,name",omr,Rial Omani,Rial omaní,0
model,"currency.currency,name",pab,Balboa,Balboa,0
model,"currency.currency,name",pen,Nuevo Sol,Nuevo Sol,0
model,"currency.currency,name",php,Philippine Peso,Peso filipino,0
model,"currency.currency,name",pkr,Pakistan Rupee,Rupia pakistaní,0
model,"currency.currency,name",pln,Zloty,Zloty,0
model,"currency.currency,name",pyg,Guarani,Guaraní,0
model,"currency.currency,name",qar,Qatari Rial,Rial de Qatar,0
model,"currency.currency,name",ron,New Leu,Leu,0
model,"currency.currency,name",rsd,Serbian Dinar,Dinar serbio,0
model,"currency.currency,name",rub,Russian Ruble,Rublo ruso,0
model,"currency.currency,name",sar,Saudi Riyal,Rial saudí,0
model,"currency.currency,name",sbd,Solomon Islands Dollar,Dólar de las Islas Solomón,0
model,"currency.currency,name",scr,Seychelles Rupee,Rupia de Seychelles,0
model,"currency.currency,name",sek,Swedish Krona,Corona sueca,0
model,"currency.currency,name",sgd,Singapore Dollar,Dólar de Singapur,0
model,"currency.currency,name",shp,Saint Helena Pound,Libra de Santa Helena,0
model,"currency.currency,name",sos,Somali Shilling,Chelín somalí,0
model,"currency.currency,name",srd,Surinam Dollar,Dólar surinamés,0
model,"currency.currency,name",thb,Baht,Baht,0
model,"currency.currency,name",try,New Turkish Lira,Nueva lira turca,0
model,"currency.currency,name",ttd,Trinidad and Tobago Dollar,Dólar de Trinidad y Tobago,0
model,"currency.currency,name",twd,New Taiwan Dollar,nuevo Dólar taiwanés,0
model,"currency.currency,name",uah,Hryvnia,Grivnia,0
model,"currency.currency,name",usd,US Dollar,Dólar estadounidense,0
model,"currency.currency,name",uyu,Peso Uruguayo,Peso uruguayo,0
model,"currency.currency,name",uzs,Uzbekistan Sum,Som uzbeco,0
model,"currency.currency,name",vef,Bolivar Fuerte,Bolivar Fuerte,0
model,"currency.currency,name",vnd,Dong,Dong,0
model,"currency.currency,name",xcd,East Caribbean Dollar,Dólar del Caribe oriental,0
model,"currency.currency,name",yer,Yemeni Rial,Rial yemení,0
model,"currency.currency,name",zar,Rand,Rand,0
model,"currency.currency,name",zwd,Zimbabwe Dollar,Dólar zimbabuense,0
model,"currency.currency.rate,name",0,Rate,Tasa de cambio,0
model,"ir.action,name",act_currency_form,Currencies,Divisas,0
model,"ir.ui.menu,name",menu_currency,Currency Management,Gestión de divisas,0
model,"ir.ui.menu,name",menu_currency_form,Currencies,Divisas,0
model,"res.group,name",group_currency_admin,Currency Administration,Administración de divisas,0
view,currency.currency,0,Currencies,Divisas,0
view,currency.currency,0,Currency,Divisa,0
view,currency.currency,0,Formatting,Formato,0
view,currency.currency,0,Rate,Tasa de cambio,0
view,currency.currency,0,Rates,Tasas de cambio,0
