type,name,res_id,src,value,fuzzy
error,currency.currency,0,No rate found for the currency: %s at the date: %s,Pas de taux trouvé pour la devise: %s à la date: %s,0
field,"currency.currency,active",0,Active,Actif,0
field,"currency.currency,code",0,Code,Code,0
field,"currency.currency,digits",0,Diplay Digits,Décimale Affichée,0
field,"currency.currency,name",0,Name,Nom,0
field,"currency.currency,rate",0,Current rate,Taux Actuel,0
field,"currency.currency.rate,currency",0,Currency,Devise,0
field,"currency.currency.rate,date",0,Date,Date,0
field,"currency.currency.rate,rate",0,Rate,Taux,0
field,"currency.currency,rates",0,Rates,Taux,0
field,"currency.currency,rounding",0,Rounding factor,Facteur d'Arrondi,0
field,"currency.currency,symbol",0,Symbol,Symbole,0
model,"ir.ui.menu,name",menu_currency_form,Currencies,Devises,0
model,"ir.ui.menu,name",menu_currency,Currency Management,Gestion des Devises,0
view,currency.currency,0,Currencies,Devises,0
view,currency.currency,0,Currency,Devise,0
view,currency.currency,0,Rate,Taux,0
view,currency.currency,0,Rates,Taux,0
