type,name,res_id,src,value,fuzzy
error,currency.currency,0,Invalid Grouping!,Неверное Группировка!,0
error,currency.currency,0,No rate found for the currency: %s at the date: %s,Не найден курс валюты: %s на день: %s,0
error,currency.currency.rate,0,A currency can only have one rate by date!,Валюта может иметь только одну курсовую разницу в день!,0
field,"currency.currency,active",0,Active,Активный,0
field,"currency.currency,code",0,Code,Код,0
field,"currency.currency,digits",0,Display Digits,Кол-во знаков после запятой,0
field,"currency.currency,mon_decimal_point",0,Decimal Separator,Разделитель цифр,0
field,"currency.currency,mon_grouping",0,Grouping,Группировка цифр,0
field,"currency.currency,mon_thousands_sep",0,Thousands Separator,Разделитель тысяч,0
field,"currency.currency,n_cs_precedes",0,Negative Currency Symbol Precedes,Добавлять символ отрицательного числа,0
field,"currency.currency,n_sep_by_space",0,Negative Separate by Space,Символ отделять пробелом,0
field,"currency.currency,n_sign_posn",0,Negative Sign Position,Позиция отрицательного символа,0
field,"currency.currency,name",0,Name,Наименование,0
field,"currency.currency,negative_sign",0,Negative Sign,Символ отрицательного числа,0
field,"currency.currency,numeric_code",0,Numeric Code,Код валюты,0
field,"currency.currency,p_cs_precedes",0,Positive Currency Symbol Precedes,Добавлять положит. символ в число,0
field,"currency.currency,p_sep_by_space",0,Positive Separate by Space,Символ отделять пробелом,0
field,"currency.currency,p_sign_posn",0,Positive Sign Position,Позиция положит. символа в числе,0
field,"currency.currency,positive_sign",0,Positive Sign,Символ положительного числа,0
field,"currency.currency,rate",0,Current rate,Текущий курс,0
field,"currency.currency,rates",0,Rates,Курсы,0
field,"currency.currency,rec_name",0,Name,Валюта,0
field,"currency.currency,rounding",0,Rounding factor,Округление,0
field,"currency.currency,symbol",0,Symbol,Символ,0
field,"currency.currency.rate,rate_currency",0,Currency,Валюта,0
field,"currency.currency.rate,date",0,Date,Дата,0
field,"currency.currency.rate,rate",0,Rate,Курс,0
field,"currency.currency.rate,rec_name",0,Name,Наименование,0
model,"currency.currency,name",0,Currency,,0
model,"currency.currency,name",aed,UAE Dirham,Дирхам (ОАЭ),0
model,"currency.currency,name",afn,Afghani,Афгани,0
model,"currency.currency,name",all,Lek,Лек,0
model,"currency.currency,name",amd,Armenian Dram,Армянский драм,0
model,"currency.currency,name",ang,Netherlands Antillian Guilder,Нидерландский антильский гульден,0
model,"currency.currency,name",aoa,Kwanza,Кванза,0
model,"currency.currency,name",ars,Argentine Peso,Аргентинское песо,0
model,"currency.currency,name",aud,Australian Dollar,Австралийский доллар,0
model,"currency.currency,name",awg,Aruban Guilder,Арубанский гульден,0
model,"currency.currency,name",azn,Azerbaijanian Manat,Азербайджанский манат,0
model,"currency.currency,name",bam,Convertible Marks,Конвертируемая марка,0
model,"currency.currency,name",bbd,Barbados Dollar,Барбадосский доллар,0
model,"currency.currency,name",bdt,Taka,Така,0
model,"currency.currency,name",bgn,Bulgarian Lev,Лев,0
model,"currency.currency,name",bhd,Bahraini Dinar,Бахрейнский динар,0
model,"currency.currency,name",bif,Burundi Franc,Бурундийский франк,0
model,"currency.currency,name",bmd,Bermudian Dollar,Бермудский доллар,0
model,"currency.currency,name",bnd,Brunei Dollar,Брунейский доллар,0
model,"currency.currency,name",bob,Boliviano,Боливиано,0
model,"currency.currency,name",bov,Mvdol,Mvdol,0
model,"currency.currency,name",brl,Brazilian Real,Бразильский реал,0
model,"currency.currency,name",bsd,Bahamian Dollar,Багамский доллар,0
model,"currency.currency,name",btn,Ngultrum,Нгултрум,0
model,"currency.currency,name",bwp,Pula,Пула,0
model,"currency.currency,name",byr,Belarussian Ruble,Белорусский рубль,0
model,"currency.currency,name",bzd,Belize Dollar,Белизский доллар,0
model,"currency.currency,name",cad,Canadian Dollar,Канадский доллар,0
model,"currency.currency,name",cdf,Congolese Franc,Конголезский франк,0
model,"currency.currency,name",che,WIR Euro,Евро (WIR),0
model,"currency.currency,name",chf,Swiss Franc,Швейцарский франк,0
model,"currency.currency,name",chw,WIR Franc,Франк (WIR),0
model,"currency.currency,name",clf,Unidades de fomento,Unidades de fomento,0
model,"currency.currency,name",clp,Chilean Peso,Чилийское песо,0
model,"currency.currency,name",cny,Yuan Renminbi,Юань жэньминьби,0
model,"currency.currency,name",cop,Colombian Peso,Колумбийское песо,0
model,"currency.currency,name",cou,Unidad de Valor Real,Unidad de Valor Real,0
model,"currency.currency,name",crc,Costa Rican Colon,Костариканский колон,0
model,"currency.currency,name",cup,Cuban Peso,Кубинское песо,0
model,"currency.currency,name",cve,Cape Verde Escudo,Эскудо Кабо-Верде,0
model,"currency.currency,name",cyp,Cyprus Pound,Кипрский фунт,0
model,"currency.currency,name",czk,Czech Koruna,Чешская крона,0
model,"currency.currency,name",djf,Djibouti Franc,Франк Джибути,0
model,"currency.currency,name",dkk,Danish Krone,Датская крона,0
model,"currency.currency,name",dop,Dominican Peso,Доминиканское песо,0
model,"currency.currency,name",dzd,Algerian Dinar,Алжирский динар,0
model,"currency.currency,name",eek,Kroon,Эстонская крона,0
model,"currency.currency,name",egp,Egyptian Pound,Египетский фунт,0
model,"currency.currency,name",ern,Nakfa,Накфа,0
model,"currency.currency,name",etb,Ethiopian Birr,Эфиопский быр,0
model,"currency.currency,name",eur,Euro,Евро,0
model,"currency.currency,name",fjd,Fiji Dollar,Доллар Фиджи,0
model,"currency.currency,name",fkp,Falkland Islands Pound,Фунт Фолклендских островов,0
model,"currency.currency,name",gbp,Pound Sterling,Фунт стерлингов,0
model,"currency.currency,name",gel,Lari,Лари,0
model,"currency.currency,name",ghs,Ghana Cedi,Седи,0
model,"currency.currency,name",gip,Gibraltar Pound,Гибралтарский фунт,0
model,"currency.currency,name",gmd,Dalasi,Даласи,0
model,"currency.currency,name",gnf,Guinea Franc,Гвинейский франк,0
model,"currency.currency,name",gtq,Quetzal,Кетсаль,0
model,"currency.currency,name",gyd,Guyana Dollar,Гайанский доллар,0
model,"currency.currency,name",hkd,Hong Kong Dollar,Гонконгский доллар,0
model,"currency.currency,name",hnl,Lempira,Лемпира,0
model,"currency.currency,name",hrk,Croatian Kuna,Куна,0
model,"currency.currency,name",htg,Gourde,Гурд,0
model,"currency.currency,name",huf,Forint,Форинт,0
model,"currency.currency,name",idr,Rupiah,Рупия,0
model,"currency.currency,name",ils,New Israeli Sheqel,Новый израильский шекель,0
model,"currency.currency,name",inr,Indian Rupee,Индийская рупия,0
model,"currency.currency,name",iqd,Iraqi Dinar,Иракский динар,0
model,"currency.currency,name",irr,Iranian Rial,Иракский динар,0
model,"currency.currency,name",isk,Iceland Krona,Исландская крона,0
model,"currency.currency,name",jmd,Jamaican Dollar,Ямайский доллар,0
model,"currency.currency,name",jod,Jordanian Dinar,Иорданский динар,0
model,"currency.currency,name",jpy,Yen,Иена,0
model,"currency.currency,name",kes,Kenyan Shilling,Кенийский шиллинг,0
model,"currency.currency,name",kgs,Som,Сом,0
model,"currency.currency,name",khr,Riel,Риель,0
model,"currency.currency,name",kmf,Comoro Franc,Франк Комор,0
model,"currency.currency,name",kpw,North Korean Won,Северо-корейская вона,0
model,"currency.currency,name",krw,Won,Вона,0
model,"currency.currency,name",kwd,Kuwaiti Dinar,Кувейтский динар,0
model,"currency.currency,name",kyd,Cayman Islands Dollar,Доллар Каймановых островов,0
model,"currency.currency,name",kzt,Tenge,Тенге,0
model,"currency.currency,name",lak,Kip,Кип,0
model,"currency.currency,name",lbp,Lebanese Pound,Ливанский фунт,0
model,"currency.currency,name",lkr,Sri Lanka Rupee,Шри-Ланкийская рупия,0
model,"currency.currency,name",lrd,Liberian Dollar,Либерийский доллар,0
model,"currency.currency,name",lsl,Loti,Лоти,0
model,"currency.currency,name",ltl,Lithuanian Litas,Литовский лит,0
model,"currency.currency,name",lvl,Latvian Lats,Латвийский лат,0
model,"currency.currency,name",lyd,Libyan Dinar,Ливийский динар,0
model,"currency.currency,name",mad,Moroccan Dirham,Марокканский дирхам,0
model,"currency.currency,name",mdl,Moldovan Leu,Молдавский лей,0
model,"currency.currency,name",mga,Malagasy Ariary,Малагасийский ариари,0
model,"currency.currency,name",mkd,Denar,Динар,0
model,"currency.currency,name",mmk,Kyat,Кьят,0
model,"currency.currency,name",mnt,Tugrik,Тугрик,0
model,"currency.currency,name",mop,Pataca,Патака,0
model,"currency.currency,name",mro,Ouguiya,Угия,0
model,"currency.currency,name",mtl,Maltese Lira,Мальтийская лира,0
model,"currency.currency,name",mur,Mauritius Rupee,Маврикийская рупия,0
model,"currency.currency,name",mvr,Rufiyaa,Руфия,0
