type,name,res_id,src,value,fuzzy
field,"dashboard.action,act_window",0,Action,Action,0
field,"dashboard.action,rec_name",0,Name,Nom,0
field,"dashboard.action,sequence",0,Sequence,Séquence,0
field,"dashboard.action,user",0,User,Utilisateur,0
field,"res.user,dashboard_actions",0,Dashboard Actions,Actions tableau de bord,0
field,"res.user,dashboard_layout",0,Dashboard Layout,Mise en page de tableau de bord,0
model,"dashboard.action,name",0,dashboard.action,Action tableau de bord,0
model,"ir.action,name",act_dashboard,Dashboard,Tableau de bord,0
model,"ir.ui.menu,name",menu_dashboard,Dashboard,Tableau de bord,0
selection,"res.user,dashboard_layout",0,Square,Carré,0
selection,"res.user,dashboard_layout",0,Stack Bottom,Pile bas,0
selection,"res.user,dashboard_layout",0,Stack Left,Pile gauche,0
selection,"res.user,dashboard_layout",0,Stack Right,Pile droite,0
selection,"res.user,dashboard_layout",0,Stack Top,Pile haut,0
view,dashboard.action,0,Dashboard,Tableau de bord,0
view,dashboard.action,0,Dashboard Action,Action tableau de bord,0
view,dashboard.action,0,Dashboard Actions,Actions tableau de bord,0
view,res.user,0,Dashboard,Tableau de bord,0
view,res.user,0,Dashboard Action,Action tableau de bord,0
view,res.user,0,Dashboard Actions,Actions tableau de bord,0
