type,name,res_id,src,value,fuzzy
error,party.address,0,You can not modify the party of an address!,No puede modificar el tercero de una dirección,0
error,party.category,0,You can not create recursive categories!,No puede crear categorías recursivas,0
error,party.check_vies,0,"The VIES service is unavailable, try again later.","El servicio VIES no está disponible, inténtelo de nuevo más tarde",0
error,party.contact_mechanism,0,You can not modify the party of a contact mechanism!,No puede modificar el tercero de un médio de contacto,0
error,party.party,0,Invalid VAT number!,El NIF no es válido,0
error,party.party,0,The code of the party must be unique!,El código del tercero debe ser único,0
field,"party.address,active",0,Active,Activo,0
field,"party.address,city",0,City,Ciudad,0
field,"party.address,country",0,Country,País,0
field,"party.address,full_address",0,,,0
field,"party.address,name",0,Name,Contacto,0
field,"party.address,party",0,Party,Tercero,0
field,"party.address,rec_name",0,Name,Contacto,0
field,"party.address,sequence",0,Sequence,Secuencia,0
field,"party.address,street",0,Street,Calle,0
field,"party.address,streetbis",0,Street (bis),Calle (bis),0
field,"party.address,subdivision",0,Subdivision,Subdivisión,0
field,"party.address,zip",0,Zip,Código postal,0
field,"party.category,active",0,Active,Activo,0
field,"party.category,childs",0,Children,Hijos,0
field,"party.category,name",0,Name,Nombre,0
field,"party.category,parent",0,Parent,Padre,0
field,"party.category,rec_name",0,Name,Nombre,0
field,"party.check_vies.check,parties_failed",0,Parties Failed,Terceros rechazados,0
field,"party.check_vies.check,parties_succeed",0,Parties Succeed,Terceros aceptados,0
field,"party.contact_mechanism,active",0,Active,Activo,0
field,"party.contact_mechanism,comment",0,Comment,Comentario,0
field,"party.contact_mechanism,email",0,E-Mail,Correo electrónico,0
field,"party.contact_mechanism,other_value",0,Value,Valor,0
field,"party.contact_mechanism,party",0,Party,Tercero,0
field,"party.contact_mechanism,rec_name",0,Name,Nombre,0
field,"party.contact_mechanism,sequence",0,Sequence,Secuencia,0
field,"party.contact_mechanism,sip",0,SIP,SIP,0
field,"party.contact_mechanism,skype",0,Skype,Skype,0
field,"party.contact_mechanism,type",0,Type,Tipo,0
field,"party.contact_mechanism,value",0,Value,Valor,0
field,"party.contact_mechanism,website",0,Website,Sitio Web,0
field,"party.party,active",0,Active,Activo,0
field,"party.party,addresses",0,Addresses,Direcciones,0
field,"party.party,categories",0,Categories,Categorías,0
field,"party.party,code",0,Code,Código,0
field,"party.party,code_length",0,Code Length,Dígitos del código,0
field,"party.party,contact_mechanisms",0,Contact Mechanisms,Médios de contacto,0
field,"party.party,email",0,E-Mail,Correo electrónico,0
field,"party.party,fax",0,Fax,Fax,0
field,"party.party,full_name",0,,,0
field,"party.party,lang",0,Language,Idioma,0
field,"party.party,mobile",0,Mobile,Móvil,0
field,"party.party,name",0,Name,Nombre,0
field,"party.party-party.category,category",0,Category,Categoría,0
field,"party.party-party.category,party",0,Party,Tercero,0
field,"party.party-party.category,rec_name",0,Name,Nombre,0
field,"party.party,phone",0,Phone,Teléfono,0
field,"party.party,rec_name",0,Name,Nombre,0
field,"party.party,vat_code",0,VAT Code,NIF,0
field,"party.party,vat_country",0,VAT Country,País del NIF,0
field,"party.party,vat_number",0,VAT Number,NIF,0
field,"party.party,website",0,Website,Sitio Web,0
help,"party.party,vat_country",0,Setting VAT country will enable validation of the VAT number.,Al especificar el país del NIF se habilitará la verificación de dicho número.,0
help,"party.party,vat_number",0,Value Added Tax number,Número de identificación fiscal,0
model,"ir.action,name",act_address_form,Addresses,Direcciones,0
model,"ir.action,name",act_address_form2,Addresses,Direcciones,0
model,"ir.action,name",act_category_tree,Categories,Categorías,0
model,"ir.action,name",act_category_form,Categories,Categorías,0
model,"ir.action,name",act_category_form2,Categories,Categorías,0
model,"ir.action,name",wizard_check_vies,Check VIES,Comprobar VIES,0
model,"ir.action,name",report_label,Labels,Etiquetas,0
model,"ir.action,name",act_party_form,Parties,Terceros,0
model,"ir.action,name",act_party_form2,Parties,Terceros,0
model,"ir.action,name",act_party_by_category,Parties by Category,Terceros por categoría,0
model,"ir.sequence,name",sequence_party,Party,Tercero,0
model,"ir.sequence.type,name",sequence_type_party,Party,Tercero,0
model,"ir.ui.menu,name",menu_address_form,Addresses,Direcciones,0
model,"ir.ui.menu,name",menu_category_tree,Categories,Categorías,0
model,"ir.ui.menu,name",menu_category_form,Categories,Categorías,0
model,"ir.ui.menu,name",menu_configuration,Configuration,Configuración,0
model,"ir.ui.menu,name",menu_address_form2,New Address,Nueva dirección,0
model,"ir.ui.menu,name",menu_category_form2,New category,Nueva categoría,0
model,"ir.ui.menu,name",menu_party_form2,New Party,Nuevo tercero,0
model,"ir.ui.menu,name",menu_party_form,Parties,Terceros,0
model,"ir.ui.menu,name",menu_party,Party Management,Gestión de terceros,0
model,"party.address,name",0,Address,Dirección,0
model,"party.category,name",0,Category,Categoría,0
model,"party.check_vies.check,name",0,Check VIES - Check,Comprobación VIES - Comprobar,0
model,"party.check_vies.no_check,name",0,Check VIES - No Check,Comprobación VIES - No comprobar,0
model,"party.contact_mechanism,name",0,Contact Mechanism,Médio de contacto,0
model,"party.party,name",0,Party,Tercero,0
model,"party.party-party.category,name",0,Party - Category,Tercero - Categoría,0
model,"res.group,name",group_party_admin,Party Administration,Administración de terceros,0
selection,"party.contact_mechanism,type",0,E-Mail,Correo electrónico,0
selection,"party.contact_mechanism,type",0,Fax,Fax,0
selection,"party.contact_mechanism,type",0,IRC,IRC,0
selection,"party.contact_mechanism,type",0,Jabber,Jabber,0
selection,"party.contact_mechanism,type",0,Mobile,Móvil,0
selection,"party.contact_mechanism,type",0,Other,Otro,0
selection,"party.contact_mechanism,type",0,Phone,Teléfono,0
selection,"party.contact_mechanism,type",0,SIP,SIP,0
selection,"party.contact_mechanism,type",0,Skype,Skype,0
selection,"party.contact_mechanism,type",0,Website,Sitio Web,0
selection,"party.party,vat_country",0,AL,AL,0
selection,"party.party,vat_country",0,AT,AT,0
selection,"party.party,vat_country",0,BE,BE,0
selection,"party.party,vat_country",0,BG,BG,0
selection,"party.party,vat_country",0,CY,CY,0
selection,"party.party,vat_country",0,CZ,CZ,0
selection,"party.party,vat_country",0,DE,DE,0
selection,"party.party,vat_country",0,DK,DK,0
selection,"party.party,vat_country",0,EE,EE,0
selection,"party.party,vat_country",0,EL,EL,0
selection,"party.party,vat_country",0,ES,ES,0
selection,"party.party,vat_country",0,FI,FI,0
selection,"party.party,vat_country",0,FR,FR,0
selection,"party.party,vat_country",0,GB,GB,0
selection,"party.party,vat_country",0,GR,GR,0
selection,"party.party,vat_country",0,HU,HU,0
selection,"party.party,vat_country",0,IE,IE,0
selection,"party.party,vat_country",0,IT,IT,0
selection,"party.party,vat_country",0,LT,LT,0
selection,"party.party,vat_country",0,LU,LU,0
