type,name,res_id,src,value,fuzzy
error,party.address,0,You can not modify the party of an address!,,0
error,party.category,0,You can not create recursive categories!,Вы не можете создавать рекурсивные категории!,0
error,party.check_vies,0,"The VIES service is unavailable, try again later.",,0
error,party.contact_mechanism,0,You can not modify the party of a contact mechanism!,,0
error,party.party,0,Invalid VAT number!,Ошибка в номере ИНН,0
error,party.party,0,The INN of the party must be unique!,ИНН должно быть уникальным,0
error,party.party,0,The Name of the party must be unique!,,0
error,party.party,0,The code of the party must be unique!,Код контрагента должен быть уникальным,0
field,"party.address,active",0,Active,Активный,0
field,"party.address,area_residence",0,Area of residence,Район проживания,0
field,"party.address,city",0,City,Город,0
field,"party.address,country",0,Country,Страна,0
field,"party.address,date_end",0,Date End,Дата окончания,0
field,"party.address,full_address",0,Full address,Полный адрес,0
field,"party.address,name",0,Name,Наименование,0
field,"party.address,party",0,Party,Контрагент,0
field,"party.address,rec_name",0,Name,Наименование,0
field,"party.address,sequence",0,Sequence,Последовательность,0
field,"party.address,street",0,Street,улица,0
field,"party.address,streetbis",0,Street (bis),улица (доп.),0
field,"party.address,subdivision",0,Subdivision,Подраздел,0
field,"party.address,zip",0,Zip,Индекс,0
field,"party.category,active",0,Active,Активный,0
field,"party.category,childs",0,Children,Подчиненый,0
field,"party.category,name",0,Name,Наименование,0
field,"party.category,parent",0,Parent,Основной,0
field,"party.category,rec_name",0,Name,Наименование,0
field,"party.check_vies.check,parties_failed",0,Parties Failed,,0
field,"party.check_vies.check,parties_succeed",0,Parties Succeed,,0
field,"party.configuration,party_sequence",0,Party Sequence,,0
field,"party.configuration,rec_name",0,Name,Наименование,0
field,"party.contact_mechanism,active",0,Active,Активный,0
field,"party.contact_mechanism,comment",0,Comment,Комментарии,0
field,"party.contact_mechanism,email",0,E-Mail,Эл.почта,0
field,"party.contact_mechanism,other_value",0,Value,Значение,0
field,"party.contact_mechanism,party",0,Party,Контрагент,0
field,"party.contact_mechanism,rec_name",0,Name,Наименование,0
field,"party.contact_mechanism,sequence",0,Sequence,Последовательность,0
field,"party.contact_mechanism,sip",0,Sip phone,,0
field,"party.contact_mechanism,skype",0,Skype,,0
field,"party.contact_mechanism,type",0,Type,Тип,0
field,"party.contact_mechanism,value",0,Value,Значение,0
field,"party.contact_mechanism,website",0,Website,Сайт,0
field,"party.party,active",0,Active,Активный,0
field,"party.party,addresses",0,Addresses,Адреса,0
field,"party.party,banks",0,Accounts in Banks,Счета в Банках,0
field,"party.party,birthday",0,Birthday,День рождения,0
field,"party.party,categories",0,Categories,Категория,0
field,"party.party,code",0,Code,Код,0
field,"party.party,code_length",0,Code Length,Длина Кода,0
field,"party.party,contact_mechanisms",0,Contact Mechanisms,Контактный способы,0
field,"party.party,contacts",0,Contact,Контактое лицо,0
field,"party.party,customer",0,Customer,Заказчик,0
field,"party.party,document",0,Legal Documents,Рег.документ,0
field,"party.party,email",0,E-Mail,Эл.почта,0
field,"party.party,fax",0,Fax,Факс,0
field,"party.party,full_name",0,Full Name,Полное наименование,0
field,"party.party,id_1c",0,ID import from 1C,,0
field,"party.party,individual",0,Individual,Физ.лицо,0
field,"party.party,kpp_number",0,Reason code setting,КПП,0
field,"party.party,lang",0,Language,Язык,0
field,"party.party,legal_form",0,Legal Form,,0
field,"party.party,mobile",0,Mobile,сот.телефон,0
field,"party.party,name",0,Full Name,Наименование,0
field,"party.party,note",0,Notes,Комментарии,0
field,"party.party,ogrn_number",0,OGRN registration number,ОГРН,0
field,"party.party,okpo_number",0,OKPO registration number,ОКПО,0
field,"party.party,okved_number",0,OKVED registration number,ОКВЭД,0
field,"party.party,phone",0,Phone,Телефон,0
field,"party.party,photo",0,Person Photo or Logo,Фотография или Логотип,0
field,"party.party,photo_file",0,Person Photo or Logo,Фотография или Логотип,0
field,"party.party,rec_name",0,Name,Наименование,0
field,"party.party,shortcut",0,ShortCut,Кратко,0
field,"party.party,shortname",0,Short Name,Кратко,0
field,"party.party,supplier",0,Supplier,Поставщик,0
field,"party.party,vat_code",0,VAT Code,Код ИНН,0
field,"party.party,vat_country",0,VAT Country,Страна ИНН ,0
field,"party.party,vat_number",0,VAT Number,ИНН,0
field,"party.party,website",0,Website,Сайт,0
field,"party.party-party.category,category",0,Category,Категории,0
field,"party.party-party.category,party",0,Party,Контрагент,0
field,"party.party-party.category,rec_name",0,Name,Наименование,0
field,"party.person,birthday",0,Birthday,День рождения,0
field,"party.person,party",0,Party,Контрагент,0
field,"party.person,rec_name",0,Name,Наименование,0
help,"party.party,customer",0,Check this box if the party is a Cusmomer.,"Отметьте, если это заказчик",0
help,"party.party,individual",0,Check this box if the party is a Individual.,"Отметьте, если это физические лицо",0
help,"party.party,supplier",0,Check this box if the party is a Supplier.,"Отметьте, если это поставщик",0
help,"party.party,vat_country",0,Setting VAT country will enable validation of the VAT number.,Установите страну регистрации организации для проверки,0
help,"party.party,vat_number",0,Value Added Tax number,ИНН,0
model,"ir.action,name",act_address_form,Addresses,Адреса,0
model,"ir.action,name",act_address_form2,Addresses,Адреса,0
model,"ir.action,name",act_category_form,Categories,Категория,0
model,"ir.action,name",act_category_form2,Categories,Категория,0
model,"ir.action,name",act_category_tree,Categories,Категория,0
model,"ir.action,name",act_party_by_category,Parties by Category,Контрагенты по категориям,0
model,"ir.action,name",act_party_configuration_form,Party Configuration,Настройка контрагентов,0
model,"ir.action,name",act_party_contact_form,Contact,Контактое лицо,0
model,"ir.action,name",act_party_form,Parties,Контрагенты,0
model,"ir.action,name",act_party_form2,Parties,Контрагенты,0
model,"ir.action,name",report_label,Labels,,0
model,"ir.action,name",wizard_check_vies,Check VIES,Проверить VIES,0
model,"ir.lang,name",lang_ru,Russian,Русский,0
model,"ir.sequence,name",sequence_party,Party,Контрагент,0
model,"ir.sequence.type,name",sequence_type_party,Party,Контрагент,0
model,"ir.ui.menu,name",menu_address_form,Addresses,Адреса,0
