type,name,res_id,src,value,fuzzy
error,product.category,0,You can not create recursive categories!,Kategorien können nicht rekursiv angelegt werden!,0
error,product.template,0,You cannot change the default uom for a product which is associated to stock moves.,"Die Standardmaßeinheit kann nicht für einen Artikel geändert werden, der Lagerbewegungen zugeordnet ist.",0
error,product.uom,0,"If the UOM is still not used, you can delete it otherwise you can deactivate it and create a new one.","Wenn die Maßeinheit noch nicht verwendet wurde, kann sie gelöscht werden.
Andernfalls kann sie nur deaktiviert und eine andere neue erstellt werden.",0
error,product.uom,0,Invalid Factor and Rate values!,Ungültige Werte für Faktor und Kehrwert!,0
error,product.uom,0,Rate and factor can not be both equal to zero.,Faktor und Kehrwert Faktor können beide nicht 0 sein,0
error,product.uom,0,"You cannot change Rate, Factor or Category on a Unit of Measure. ","Faktor, Faktorkehrwert oder Kategorie einer Maßeinheit können nicht geändert werden.",0
field,"product.category,childs",0,Children,Untergeordnet (Kategorien),0
field,"product.category,create_date",0,Creation date,Erstellungsdatum,0
field,"product.category,create_uid",0,Creation user,Ersteller,0
field,"product.category,id",0,ID,ID,0
field,"product.category,name",0,Name,Name,0
field,"product.category,parent",0,Parent,Übergeordnet (Kategorie),0
field,"product.category,rec_name",0,Name,Name,0
field,"product.category,write_date",0,Last modification date,Zuletzt geändert am,0
field,"product.category,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"product.product,code",0,Code,Artikelnummer,0
field,"product.product,create_date",0,Creation date,Erstellungsdatum,0
field,"product.product,create_uid",0,Creation user,Ersteller,0
field,"product.product,description",0,Description,Beschreibung,0
field,"product.product,id",0,ID,ID,0
field,"product.product,rec_name",0,Name,Name,0
field,"product.product,template",0,Product Template,Artikelvorlage,0
field,"product.product,write_date",0,Last modification date,Zuletzt geändert am,0
field,"product.product,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"product.template,active",0,Active,Aktiv,0
field,"product.template,category",0,Category,Artikelkategorie,0
field,"product.template,cost_price",0,Cost Price,Einkaufspreis,0
field,"product.template,cost_price_method",0,Cost Method,Kostenermittlung,0
field,"product.template,cost_price_uom",0,Cost Price,Einkaufspreis,0
field,"product.template,create_date",0,Creation date,Erstellungsdatum,0
field,"product.template,create_uid",0,Creation user,Ersteller,0
field,"product.template,default_uom",0,Default UOM,Standardeinheit,0
field,"product.template,id",0,ID,ID,0
field,"product.template,list_price",0,List Price,Listenpreis,0
field,"product.template,list_price_uom",0,List Price,Listenpreis,0
field,"product.template,name",0,Name,Name,0
field,"product.template,products",0,Products,Artikel,0
field,"product.template,rec_name",0,Name,Name,0
field,"product.template,type",0,Type,Typ,0
field,"product.template,write_date",0,Last modification date,Zuletzt geändert am,0
field,"product.template,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"product.uom,active",0,Active,Aktiv,0
field,"product.uom,category",0,UOM Category,Kategorie Maßeinheit,0
field,"product.uom,create_date",0,Creation date,Erstellungsdatum,0
field,"product.uom,create_uid",0,Creation user,Ersteller,0
field,"product.uom,digits",0,Display Digits,Angezeigte Stellen,0
field,"product.uom,factor",0,Factor,Faktor,0
field,"product.uom,id",0,ID,ID,0
field,"product.uom,name",0,Name,Name,0
field,"product.uom,rate",0,Rate,Kehrwert Faktor,0
field,"product.uom,rec_name",0,Name,Name,0
field,"product.uom,rounding",0,Rounding Precision,Rundungsgenauigkeit,0
field,"product.uom,symbol",0,Symbol,Symbol,0
field,"product.uom,write_date",0,Last modification date,Zuletzt geändert am,0
field,"product.uom,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"product.uom.category,create_date",0,Creation date,Erstellungsdatum,0
field,"product.uom.category,create_uid",0,Creation user,Ersteller,0
field,"product.uom.category,id",0,ID,ID,0
field,"product.uom.category,name",0,Name,Name,0
field,"product.uom.category,rec_name",0,Name,Name,0
field,"product.uom.category,uoms",0,Unit of Measures,Maßeinheiten,0
field,"product.uom.category,write_date",0,Last modification date,Zuletzt geändert am,0
field,"product.uom.category,write_uid",0,Last modification by,Zuletzt geändert von,0
help,"product.uom,factor",0,"The coefficient for the formula:
coef (base unit) = 1 (this unit)","Der Faktor der Basiseinheit für eine Maßeinheit ist immer 1.
Formel: diese Einheit = Faktor * Basiseinheit
Das Feld Kehrwert Faktor wird automatisch aus dem hier eingetragenen Wert ermittelt.",0
help,"product.uom,rate",0,"The coefficient for the formula:
1 (base unit) = coef (this unit)","Der Kehrwert des Faktors der Basiseinheit für eine Maßeinheit ist immer 1.
Formel: Basiseinheit = Kehrwert * diese Einheit
Das Feld Faktor wird automatisch aus dem hier eingetragenen Wert ermittelt.",0
model,"ir.action,name",act_category_form,Product Categories,Artikelkategorien,0
model,"ir.action,name",act_category_list,Categories,Kategorien,0
model,"ir.action,name",act_category_tree,Categories,Artikelkategorien,0
model,"ir.action,name",act_product_by_category,Product by Category,Artikel nach Kategorie,0
model,"ir.action,name",act_product_form,Products,Artikel,0
model,"ir.action,name",act_product_form2,Products,Artikel,0
model,"ir.action,name",act_uom_category_form,Categories of Unit of Measure,Kategorien Maßeinheiten,0
model,"ir.action,name",act_uom_category_form2,Categories of Unit of Measure,Kategorien Maßeinheiten,0
