type,name,res_id,src,value,fuzzy
error,product.category,0,You can not create recursive categories!,Vous ne pouvez pas créer des catégories récursives !,1
error,product.template,0,You cannot change the default uom for a product which is associated to stock moves.,Vous ne pouvez pas changer l'UDM par défaut pour un produit qui a déjà fait l'objet de mouvements de stock,0
error,product.uom,0,"If the UOM is still not used, you can delete it otherwise you can deactivate it and create a new one.","Si l'UDM n'est pas utilisée, vous pouvez la supprimer, sinon vous pouvez la désactiver et en créer une nouvelle.",0
error,product.uom,0,Invalid Factor and Rate values!,valeurs de facteur et de taux invalides !,0
error,product.uom,0,Rate and factor can not be both equal to zero.,Le taux et le facteur ne peuvent pas être égaux à zéro.,0
error,product.uom,0,"You cannot change Rate, Factor or Category on a Unit of Measure. ","Vous ne pouvez pas changer le taux, le facteur ou la catégorie d'une unité de mesure.",0
field,"product.category,childs",0,Children,Enfants,0
field,"product.category,name",0,Name,Nom,0
field,"product.category,parent",0,Parent,Parent,0
field,"product.category,rec_name",0,Name,Nom,0
field,"product.product,code",0,Code,Code,0
field,"product.product,description",0,Description,Description,0
field,"product.product,rec_name",0,Name,Nom,0
field,"product.product,template",0,Product Template,Modèle produit,0
field,"product.template,active",0,Active,Actif,0
field,"product.template,category",0,Category,Catégorie,0
field,"product.template,cost_price",0,Cost Price,Prix de revient,0
field,"product.template,cost_price_method",0,Cost Method,Méthode de coût,0
field,"product.template,cost_price_uom",0,Cost Price,Prix de revient,0
field,"product.template,default_uom",0,Default UOM,UDM par défaut,0
field,"product.template,list_price",0,List Price,Prix listé,0
field,"product.template,list_price_uom",0,List Price,Prix listé,0
field,"product.template,name",0,Name,Nom,0
field,"product.template,products",0,Products,Produits,0
field,"product.template,rec_name",0,Name,Nom,0
field,"product.template,type",0,Type,Type,0
field,"product.uom,active",0,Active,Actif,0
field,"product.uom,category",0,UOM Category,Catégorie d'UDM,0
field,"product.uom,digits",0,Display Digits,Décimales affichées,0
field,"product.uom,factor",0,Factor,Facteur,0
field,"product.uom,name",0,Name,Nom,0
field,"product.uom,rate",0,Rate,Taux,0
field,"product.uom,rec_name",0,Name,Nom,0
field,"product.uom,rounding",0,Rounding Precision,Précision d'arrondi,0
field,"product.uom,symbol",0,Symbol,Symbole,0
field,"product.uom.category,name",0,Name,Nom,0
field,"product.uom.category,rec_name",0,Name,Nom,0
field,"product.uom.category,uoms",0,Unit of Measures,Unité de mesure,0
help,"product.uom,factor",0,"The coefficient for the formula:
coef (base unit) = 1 (this unit)","Le coefficient pour la formule:
coef (unité de base) = 1 (cette unité)",0
help,"product.uom,rate",0,"The coefficient for the formula:
1 (base unit) = coef (this unit)","Le coefficient pour la formule:
1 (unité de base) = coef (cette unité)",0
model,"ir.action,name",act_category_form,Product Categories,Catégories de produit,0
model,"ir.action,name",act_category_list,Categories,Catégories,1
model,"ir.action,name",act_category_tree,Categories,Catégories,0
model,"ir.action,name",act_product_by_category,Product by Category,Produits par catégories,0
model,"ir.action,name",act_product_form,Products,Produits,0
model,"ir.action,name",act_product_form2,Products,Produits,0
model,"ir.action,name",act_uom_category_form,Categories of Unit of Measure,Catégories d'unité de mesure,0
model,"ir.action,name",act_uom_category_form2,Categories of Unit of Measure,Catégories d'Unité de mesure,0
model,"ir.action,name",act_uom_form,Units of Measure,Unités de mesure,0
model,"ir.action,name",act_uom_form2,Units of Measure,Unités de mesure,0
model,"ir.ui.menu,name",menu_category_form_new,New Category,Nouvelle catégorie,0
model,"ir.ui.menu,name",menu_category_list,Categories,Catégories,1
model,"ir.ui.menu,name",menu_category_tree,Categories,Catégories,0
model,"ir.ui.menu,name",menu_main_product,Product,Produit,0
model,"ir.ui.menu,name",menu_product_product,Products,Produits,0
model,"ir.ui.menu,name",menu_product_product_new,New Product,Nouveau produit,0
model,"ir.ui.menu,name",menu_uom_category_form,Categories,Catégories,0
model,"ir.ui.menu,name",menu_uom_category_form_new,New Category,Nouvelle catégorie,0
model,"ir.ui.menu,name",menu_uom_form,Units of Measure,Unités de mesure,0
