type,name,res_id,src,value,fuzzy
error,product.template,0,There is no account expense/revenue defined on the product %s (%d),Er is geen kosten-/opbrengstenrekening gedefinieerd voor product %s (%d),0
error,product.uom,0,"If the UOM is still not used, you can delete it otherwise you can deactivate it and create a new one.","Als de maateenheid nog niet is gebruikt kan je hem verwijderen, anders kan je hem deactiveren en een nieuwe aanmaken.",0
error,product.uom,0,Invalid Factor and Rate values!,Ongeldige factor en verhouding waarden,0
error,product.uom,0,Rate and factor can not be both equal to zero.,Verhouding en factor kunnen niet beiden nul zijn! ,0
error,product.uom,0,"You cannot change Rate, Factor or Category on a Unit of Measure. ","U kunt Verhouding, Factor of Categorie van een maateenheid niet wijzigen.",0
field,"product.category,account_expense",0,Account Expense,Kostenrekening,0
field,"product.category,account_revenue",0,Account Revenue,Opbrengstrekening,0
field,"product.category,childs",0,Children,Onderliggende niveaus,0
field,"product.category,customer_taxes",0,Customer Taxes,Belasting klanten,0
field,"product.category,name",0,Name,Naam,0
field,"product.category,parent",0,Parent,Bovenliggend niveau,0
field,"product.category,rec_name",0,Name,Naam,0
field,"product.category,supplier_taxes",0,Supplier Taxes,Belastingen inkoop,0
field,"product.category-customer-account.tax,category",0,Category,Categorie,0
field,"product.category-customer-account.tax,rec_name",0,Name,Naam,0
field,"product.category-customer-account.tax,tax",0,Tax,Belasting,0
field,"product.category-supplier-account.tax,category",0,Category,Categorie,0
field,"product.category-supplier-account.tax,rec_name",0,Name,Naam,0
field,"product.category-supplier-account.tax,tax",0,Tax,Belasting,0
field,"product.product,code",0,Code,Code,0
field,"product.product,description",0,Description,Omschrijving,0
field,"product.product,rec_name",0,Name,Naam,0
field,"product.product,template",0,Product Template,Productsjabloon,0
field,"product.template,account_category",0,Use Category's accounts,Gebruik de rekeningen van de categorie,0
field,"product.template,account_expense",0,Account Expense,Kostenrekening,0
field,"product.template,account_expense_used",0,Account Expense Used,Gebruikte kostenrekening,0
field,"product.template,account_revenue",0,Account Revenue,Opbrengstrekening,0
field,"product.template,account_revenue_used",0,Account Revenue Used,Opbrengstrekening gebruikt,0
field,"product.template,active",0,Active,Actief,0
field,"product.template,category",0,Category,Categorie,0
field,"product.template,cost_price",0,Cost Price,Kostprijs,0
field,"product.template,cost_price_method",0,Cost Method,Kostprijsmethode,0
field,"product.template,cost_price_uom",0,Cost Price,Kostprijs,0
field,"product.template,customer_taxes",0,Customer Taxes,Belasting klanten,0
field,"product.template,customer_taxes_used",0,Customer Taxes Used,Belasting klanten gebruikt,0
field,"product.template,default_uom",0,Default UOM,Standaard ME,0
field,"product.template,list_price",0,List Price,Catalogusprijs,0
field,"product.template,list_price_uom",0,List Price,Catalogusprijs,0
field,"product.template,name",0,Name,Naam,0
field,"product.template,products",0,Products,Producten,0
field,"product.template,rec_name",0,Name,Naam,0
field,"product.template,supplier_taxes",0,Supplier Taxes,Belastingen inkoop,0
field,"product.template,supplier_taxes_used",0,Customer Taxes Used,Belasting klanten gebruikt,0
field,"product.template,taxes_category",0,Use Category's Taxes,Gebruik de belastingen van de categorie,0
field,"product.template,type",0,Type,Type,0
field,"product.template-customer-account.tax,product",0,Product Template,Productsjabloon,0
field,"product.template-customer-account.tax,rec_name",0,Name,Naam,0
field,"product.template-customer-account.tax,tax",0,Tax,Belasting,0
field,"product.template-supplier-account.tax,product",0,Product Template,Productsjabloon,0
field,"product.template-supplier-account.tax,rec_name",0,Name,Naam,0
field,"product.template-supplier-account.tax,tax",0,Tax,Belasting,0
field,"product.uom,active",0,Active,Actief,0
field,"product.uom,category",0,UOM Category,ME categorie,0
field,"product.uom,digits",0,Display Digits,Zichtbare decimalen,0
field,"product.uom,factor",0,Factor,Faktor,0
field,"product.uom,name",0,Name,Naam,0
field,"product.uom,rate",0,Rate,Verhouding,0
field,"product.uom,rec_name",0,Name,Naam,0
field,"product.uom,rounding",0,Rounding Precision,Afronding,0
field,"product.uom,symbol",0,Symbol,Symbool,0
field,"product.uom.category,name",0,Name,Naam,0
field,"product.uom.category,rec_name",0,Name,Naam,0
field,"product.uom.category,uoms",0,Unit of Measures,Meeteenheid,0
help,"product.template,account_category",0,Use the accounts defined on the category,Gebruik de rekeningen van de categorie,0
help,"product.template,account_expense",0,This account will be used instead of the one defined on the category.,Deze rekening zal gebruikt worden in de plaats van die van de categorie.,0
help,"product.template,account_revenue",0,This account will be used instead of the one defined on the category.,Deze rekening zal gebruikt worden in de plaats van die van de categorie.,0
help,"product.template,taxes_category",0,Use the taxes defined on the category,Gebruik de belastingen van de categorie,0
help,"product.uom,factor",0,"The coefficient for the formula:
coef (base unit) = 1 (this unit)","De coëfficiënt voor deze formule:
coëf (basiseenheid) = 1 (deze eenheid)",0
help,"product.uom,rate",0,"The coefficient for the formula:
1 (base unit) = coef (this unit)","De coëfficiënt voor deze formule:
1(basiseenheid) = coëf (deze eenheid)",0
model,"ir.action,name",act_category_form,Product Categories,Product categorieën,0
model,"ir.action,name",act_category_form2,Product Categories,Product categorieën,0
model,"ir.action,name",act_category_tree,Categories,Categorieën,0
model,"ir.action,name",act_product_by_category,Product by Category,Product per categorie,0
model,"ir.action,name",act_product_form,Products,Producten,0
model,"ir.action,name",act_product_form2,Products,Producten,0
model,"ir.action,name",act_uom_category_form,Categories of Unit of Measure,Categorieën van meeteenheden,0
model,"ir.action,name",act_uom_category_form2,Categories of Unit of Measure,Categorieën van meeteenheden,0
model,"ir.action,name",act_uom_form,Units of Measure,Meeteenheden,0
model,"ir.action,name",act_uom_form2,Units of Measure,Meeteenheden,0
model,"ir.ui.menu,name",menu_category_form,Categories,Categorieën,0
model,"ir.ui.menu,name",menu_category_form_new,New Category,Nieuwe categorie,0
model,"ir.ui.menu,name",menu_category_tree,Categories,Categorieën,0
model,"ir.ui.menu,name",menu_main_product,Product,Productbeheer,0
model,"ir.ui.menu,name",menu_product_product,Products,Producten,0
model,"ir.ui.menu,name",menu_product_product_new,New Product,Nieuw product,0
model,"ir.ui.menu,name",menu_uom_category_form,Categories,Categorieën,0
model,"ir.ui.menu,name",menu_uom_category_form_new,New Category,Nieuwe categorie,0
model,"ir.ui.menu,name",menu_uom_form,Units of Measure,Meeteenheden,0
model,"ir.ui.menu,name",menu_uom_form2,New Unit of Measure,Nieuwe maateenheid,0
model,"product.category,name",0,Product Category,Product categorie,0
model,"product.category-customer-account.tax,name",0,Category - Customer Tax,Categorie - belasting klant,0
