type,name,res_id,src,value,fuzzy
error,product.price_list.line,0,Invalid formula!,Невалидна формула!,0
field,"product.price_list,company",0,Company,Фирма,0
field,"product.price_list,lines",0,Lines,Редове,0
field,"product.price_list,name",0,Name,Име,0
field,"product.price_list,rec_name",0,Name,Име,0
field,"product.price_list.line,formula",0,Formula,Формула,0
field,"product.price_list.line,price_list",0,Price List,Ценова листа,0
field,"product.price_list.line,product",0,Product,Продукт,0
field,"product.price_list.line,quantity",0,Quantity,Количество,0
field,"product.price_list.line,rec_name",0,Name,Име,0
field,"product.price_list.line,sequence",0,Sequence,Последователност,0
field,"product.price_list.line,unit_digits",0,Unit Digits,Десетични единици,0
help,"product.price_list.line,formula",0,"Python expression that will be evaluated with:
- unit_price: the original unit_price","Израз на python който ще се изпълни с:
- unit_price: оригиналната единична цена",0
model,"ir.action,name",act_price_list_form,Price Lists,Ценови листи,0
model,"ir.action,name",act_price_list_form2,Price Lists,Ценови листи,0
model,"ir.ui.menu,name",menu_price_list,Price Lists,Ценови листи,0
model,"ir.ui.menu,name",menu_price_list_new,New Price List,Нова ценова листа,0
model,"product.price_list,name",0,Price List,Ценова листа,0
model,"product.price_list.line,name",0,Price List Line,Ред от ценова листа,0
view,party.party,0,Price List,Ценова листа,0
view,product.price_list,0,Price List,Ценова листа,0
view,product.price_list,0,Price List Lines,Редове от ценова листа,0
view,product.price_list,0,Price Lists,Ценови листи,0
view,product.price_list.line,0,Price List Line,Ред от ценова листа,0
view,product.price_list.line,0,Price List Lines,Редове от ценова листа,0
