type,name,res_id,src,value,fuzzy
error,project.work,0,You can not create recursive dependencies!,Abhängigkeiten können nicht rekursiv angelegt werden!,0
field,"project.allocation,employee",0,Employee,Mitarbeiter,0
field,"project.allocation,percentage",0,Percentage,Prozentsatz,0
field,"project.allocation,rec_name",0,Name,Name,0
field,"project.allocation,work",0,Work,Arbeit,0
field,"project.predecessor_successor,predecessor",0,Predecessor,Vorgänger,0
field,"project.predecessor_successor,rec_name",0,Name,Name,0
field,"project.predecessor_successor,successor",0,Successor,Nachfolger,0
field,"project.work,actual_finish_date",0,Actual Finish,Tatsächliches Enddatum,0
field,"project.work,actual_finish_time",0,Actual Finish Time,Tatsächliche Endzeit,0
field,"project.work,actual_start_date",0,Actual Start,Tatsächliches Startdatum,0
field,"project.work,actual_start_time",0,Actual Start Time,Tatsächliche Startzeit,0
field,"project.work,allocations",0,Allocations,Zuordnungen,0
field,"project.work,back_leveling_delay",0,Leveling Delay,Verzögerung Abgleich,0
field,"project.work,constraint_finish_date",0,Constraint Finish,Fixes Enddatum,0
field,"project.work,constraint_finish_time",0,Constraint  Finish Time,Fixe Endzeit,0
field,"project.work,constraint_start_date",0,Constraint Start,Fixes Startdatum,0
field,"project.work,constraint_start_time",0,Constraint Start Time,Fixe Startzeit,0
field,"project.work,duration",0,Duration,Dauer,0
field,"project.work,early_finish_date",0,Early Finish,Frühestes Enddatum,0
field,"project.work,early_finish_time",0,Early Finish Time,Früheste Endzeit,0
field,"project.work,early_start_date",0,Early Start,Frühestes Startdatum,0
field,"project.work,early_start_time",0,Early Start Time,Früheste Startzeit,0
field,"project.work,late_finish_date",0,Late Finish,Spätestes Enddatum,0
field,"project.work,late_finish_time",0,Late Finish Time,Späteste Endzeit,0
field,"project.work,late_start_date",0,Late Start,Spätestes Startdatum,0
field,"project.work,late_start_time",0,Late Start Time,Späteste Startzeit,0
field,"project.work,leveling_delay",0,Leveling Delay,Verzögerung Abgleich,0
field,"project.work,predecessors",0,Predecessors,Vorgänger,0
field,"project.work,requests",0,Requests,Anfragen,0
field,"project.work,successors",0,Successors,Nachfolger,0
model,"ir.action,name",wizard_leveling,Tasks Leveling,Aufgaben abgleichen,0
model,"project.allocation,name",0,Allocation,Zuordnung,0
model,"project.predecessor_successor,name",0,Predecessor - Successor,Vorgänger - Nachfolger,0
model,"res.request.link,name",request_link_work,Work,Arbeit,0
view,project.allocation,0,Allocation,Zuordnung,0
view,project.allocation,0,Allocations,Zuordnungen,0
view,project.work,0,Allocations,Zuordnungen,0
view,project.work,0,Plan,Plan,0
view,project.work,0,Requests,Anfragen,0
