type,name,res_id,src,value,fuzzy
error,project.work,0,You can not create recursive dependencies!,No puede crear dependencias recursivas,0
field,"project.allocation,employee",0,Employee,Empleado,0
field,"project.allocation,percentage",0,Percentage,Porcentaje,0
field,"project.allocation,rec_name",0,Name,Nombre,0
field,"project.allocation,work",0,Work,Actividad,0
field,"project.predecessor_successor,predecessor",0,Predecessor,Predecesor,0
field,"project.predecessor_successor,rec_name",0,Name,Nombre,0
field,"project.predecessor_successor,successor",0,Successor,Sucesor,0
field,"project.work,actual_finish_date",0,Actual Finish,Finalización real,0
field,"project.work,actual_finish_time",0,Actual Finish Time,Hora de finalización real,0
field,"project.work,actual_start_date",0,Actual Start,Inicio real,0
field,"project.work,actual_start_time",0,Actual Start Time,Hora de inicio real,0
field,"project.work,allocations",0,Allocations,Asignaciones,0
field,"project.work,back_leveling_delay",0,Leveling Delay,Retraso de la nivelación,0
field,"project.work,constraint_finish_date",0,Constraint Finish,Restricción de finalización,0
field,"project.work,constraint_finish_time",0,Constraint  Finish Time,Restricción de hora de finalización,0
field,"project.work,constraint_start_date",0,Constraint Start,Restricción de inicio,0
field,"project.work,constraint_start_time",0,Constraint Start Time,Restricción de tiempo de inicio,0
field,"project.work,duration",0,Duration,Duración,0
field,"project.work,early_finish_date",0,Early Finish,Finalización prematura,0
field,"project.work,early_finish_time",0,Early Finish Time,Hora de finalización prematura,0
field,"project.work,early_start_date",0,Early Start,Inicio prematuro,0
field,"project.work,early_start_time",0,Early Start Time,Tiempo de inicio prematuro,0
field,"project.work,late_finish_date",0,Late Finish,,0
field,"project.work,late_finish_time",0,Late Finish Time,Hora de finalización tardía,0
field,"project.work,late_start_date",0,Late Start,Inicio tardío,0
field,"project.work,late_start_time",0,Late Start Time,Hora de inicio tardía,0
field,"project.work,leveling_delay",0,Leveling Delay,Retraso de nivelación,0
field,"project.work,predecessors",0,Predecessors,Predecesores,0
field,"project.work,requests",0,Requests,Solicitudes,0
field,"project.work,successors",0,Successors,Sucesores,0
model,"ir.action,name",wizard_leveling,Tasks Leveling,Nivelación de tareas,0
model,"project.allocation,name",0,Allocation,Asignación,0
model,"project.predecessor_successor,name",0,Predecessor - Successor,Predecesor - Sucesor,0
model,"res.request.link,name",request_link_work,Work,Actividad,0
view,project.allocation,0,Allocation,Asignación,0
view,project.allocation,0,Allocations,Asignaciones,0
view,project.work,0,Allocations,Asignaciones,0
view,project.work,0,Plan,Plan,0
view,project.work,0,Requests,Solicitudes,0
