type,name,res_id,src,value,fuzzy
error,company.employee_cost_price,0,A employee can only have one cost price by date!,Einem Mitarbeiter kann nur ein Kostenpreis pro Datum zugeordnet werden!,0
field,"company.employee,cost_price",0,Cost Price,Kostenpreis,0
field,"company.employee,cost_prices",0,Cost Prices,Kostenpreise,0
field,"company.employee,currency_digits",0,Currency Digits,Währung (signifikante Stellen),0
field,"company.employee_cost_price,cost_price",0,Cost Price,Einkaufspreis,0
field,"company.employee_cost_price,currency_digits",0,Currency Digits,Währung (signifikante Stellen),0
field,"company.employee_cost_price,date",0,Date,Datum,0
field,"company.employee_cost_price,employee",0,Employee,Mitarbeiter,0
field,"company.employee_cost_price,rec_name",0,Name,Name,0
field,"project.work,cost",0,Cost,Kosten,0
field,"project.work,currency_digits",0,Currency Digits,Währung (signifikante Stellen),0
field,"project.work,list_price",0,List Price,Listenpreis,0
field,"project.work,product",0,Product,Artikel,0
field,"project.work,revenue",0,Revenue,Ertrag,0
help,"company.employee,cost_price",0,Hourly cost price for this Employee,Kostenpreis pro Stunde für diesen Mitarbeiter,0
help,"company.employee,cost_prices",0,List of hourly cost price over time,Liste der Kostenpreise pro Stunde über die Zeit,0
help,"company.employee_cost_price,cost_price",0,Hourly cost price,Kostenpreis pro Stunde,0
model,"company.employee_cost_price,name",0,Employee Cost Price,Mitarbeiter Kostenpreis,0
view,company.employee,0,Cost,Kosten,0
view,company.employee,0,Services,Leistungen,0
view,company.employee_cost_price,0,Cost Prices,Kostenpreise,0
view,project.work,0,Cost,Kosten,0
view,project.work,0,Revenue,Ertrag,0
