type,name,res_id,src,value,fuzzy
error,company.employee_cost_price,0,A employee can only have one cost price by date!,Un empleado solo puede tener un precio de coste por fecha,0
field,"company.employee,cost_price",0,Cost Price,Precio de coste,0
field,"company.employee_cost_price,cost_price",0,Cost Price,Precio de coste,0
field,"company.employee_cost_price,currency_digits",0,Currency Digits,Decimales de la divisa,0
field,"company.employee_cost_price,date",0,Date,Fecha,0
field,"company.employee_cost_price,employee",0,Employee,Empleado,0
field,"company.employee_cost_price,rec_name",0,Name,Nombre,0
field,"company.employee,cost_prices",0,Cost Prices,Precios de coste,0
field,"company.employee,currency_digits",0,Currency Digits,Decimales de la divisa,0
field,"project.work,cost",0,Cost,Coste,0
field,"project.work,currency_digits",0,Currency Digits,Decimales de la divisa,0
field,"project.work,list_price",0,List Price,Precio de lista,0
field,"project.work,product",0,Product,Producto,0
field,"project.work,revenue",0,Revenue,Beneficio,0
help,"company.employee,cost_price",0,Hourly cost price for this Employee,Precio de coste por hora para este empleado,0
help,"company.employee_cost_price,cost_price",0,Hourly cost price,Precio de coste por hora,0
help,"company.employee,cost_prices",0,List of hourly cost price over time,Lista de precio de coste por hora a través del tiempo,0
model,"company.employee_cost_price,name",0,Employee Cost Price,Precio de coste del empleado,0
view,company.employee,0,Cost,Coste,0
view,company.employee,0,Services,Servicios,0
view,company.employee_cost_price,0,Cost Prices,Precios de coste,0
view,project.work,0,Cost,Coste,0
view,project.work,0,Revenue,Beneficio,0
