type,name,res_id,src,value,fuzzy
error,company.employee_cost_price,0,A employee can only have one cost price by date!,Un employé ne peut avoir qu'un seul prix de revient par date !,0
field,"company.employee,cost_price",0,Cost Price,Prix de Revient,0
field,"company.employee,cost_prices",0,Cost Prices,Prix de revient,0
field,"company.employee,currency_digits",0,Currency Digits,Décimales de la devise,0
field,"company.employee_cost_price,cost_price",0,Cost Price,Prix de Revient,0
field,"company.employee_cost_price,currency_digits",0,Currency Digits,Décimales de la devise,0
field,"company.employee_cost_price,date",0,Date,Date,0
field,"company.employee_cost_price,employee",0,Employee,Employé,0
field,"company.employee_cost_price,rec_name",0,Name,Nom,0
field,"project.work,cost",0,Cost,Coût,0
field,"project.work,currency_digits",0,Currency Digits,Décimales de la devise,0
field,"project.work,list_price",0,List Price,Prix Listé,0
field,"project.work,product",0,Product,Produit,0
field,"project.work,revenue",0,Revenue,Revenu,0
help,"company.employee,cost_price",0,Hourly cost price for this Employee,Prix de revient horaire de cet employé,0
help,"company.employee,cost_prices",0,List of hourly cost price over time,Liste du prix de revient horaire au cours du temps,0
help,"company.employee_cost_price,cost_price",0,Hourly cost price,Prix de revient horaire,0
model,"company.employee_cost_price,name",0,Employee Cost Price,Prix de revient de l'employé,0
view,company.employee,0,Cost,Coût,0
view,company.employee,0,Services,Services,0
view,company.employee_cost_price,0,Cost Prices,Prix de revient,0
view,project.work,0,Cost,Coût,0
view,project.work,0,Revenue,Revenu,0
