type,name,res_id,src,value,fuzzy
error,account.invoice,0,You can not delete invoices that come from a sale!,Не може да изтриете фактура която идва от продажба!,0
error,account.invoice,0,You cannot reset to draft an invoice generated by a sale.,Не може да прехвърляте в проект фактура генерирана при продажба.,0
error,sale.line,0,"It misses an ""Account Revenue"" on product ""%s""!","Не е зададена ""Сметка за приходи"" за продукт ""%s""!",0
error,sale.line,0,"It misses an ""account Revenue"" default property!","Няма е зададено свойство по подразбиране ""Сметка за приходи""!",0
error,sale.line,0,The customer location is required!,Местонахождението на клиента е задължително!,0
error,sale.sale,0,Invoice and Shipment addresses must be defined for the quotation.,Адрес за фактура и за доставка трябва да са зададени при запитване,0
error,sale.sale,0,"It misses an ""Account Receivable"" on the party ""%s""!","Липсва ""Приходна сметка"" за партньор ""%s""!",0
error,sale.sale,0,Wrong combination of method!,Грешна комбинация от методи!,0
error,stock.shipment.out,0,You cannot reset to draft a move generated by a sale.,Не може да прехвърляте в проект движение генерирано при продажба.,0
field,"account.invoice,sale_exception_state",0,Exception State,Състояние на грешка,0
field,"account.invoice,sales",0,Sales,Продажби,0
field,"account.invoice.line,sale_lines",0,Sale Lines,Редове от продажба,0
field,"product.template,salable",0,Salable,Продажен,0
field,"product.template,sale_uom",0,Sale UOM,Мер. ед. на продажба,0
field,"sale.configuration,rec_name",0,Name,Име,0
field,"sale.configuration,sale_invoice_method",0,Sale Invoice Method,Начин на фактурине на продажба,0
field,"sale.configuration,sale_sequence",0,Sale Reference Sequence,Последователност за отпратка на продажба,0
field,"sale.configuration,sale_shipment_method",0,Sale Shipment Method,Начин на фактуриране на продажба,0
field,"sale.handle.invoice.exception.ask,domain_invoices",0,Domain Invoices,Фактури на домейн,0
field,"sale.handle.invoice.exception.ask,recreate_invoices",0,Recreate Invoices,Наново създаване на фактури,0
field,"sale.handle.shipment.exception.ask,domain_moves",0,Domain Moves,Движение на домейн,0
field,"sale.handle.shipment.exception.ask,recreate_moves",0,Recreate Moves,Наново създаване на движения,0
field,"sale.line,amount",0,Amount,Сума,0
field,"sale.line,description",0,Description,Описание,0
field,"sale.line,invoice_lines",0,Invoice Lines,Редове от фактура,0
field,"sale.line,move_done",0,Moves Done,Направени движения,0
field,"sale.line,move_exception",0,Moves Exception,Грешка при движение,0
field,"sale.line,moves",0,Moves,Движения,0
field,"sale.line,moves_ignored",0,Ignored Moves,Игнорирани движения,0
field,"sale.line,moves_recreated",0,Recreated Moves,Наново създаване на движения,0
field,"sale.line,note",0,Note,Бележка,0
field,"sale.line,product",0,Product,Продукт,0
field,"sale.line,quantity",0,Quantity,Количество,0
field,"sale.line,rec_name",0,Name,Име,0
field,"sale.line,sale",0,Sale,Продажба,0
field,"sale.line,sequence",0,Sequence,Последователност,0
field,"sale.line,taxes",0,Taxes,Данъци,0
field,"sale.line,type",0,Type,Вид,0
field,"sale.line,unit",0,Unit,Единица,0
field,"sale.line,unit_digits",0,Unit Digits,Десетични единици,0
field,"sale.line,unit_price",0,Unit Price,Единична цена,0
field,"sale.line-account.invoice.line,invoice_line",0,Invoice Line,Ред от фактура,0
field,"sale.line-account.invoice.line,rec_name",0,Name,Име,0
field,"sale.line-account.invoice.line,sale_line",0,Sale Line,Ред от продажба,0
field,"sale.line-account.tax,line",0,Sale Line,Ред от продажба,0
field,"sale.line-account.tax,rec_name",0,Name,Име,0
field,"sale.line-account.tax,tax",0,Tax,Данък,0
field,"sale.line-ignored-stock.move,move",0,Move,Движение,0
field,"sale.line-ignored-stock.move,rec_name",0,Name,Име,0
field,"sale.line-ignored-stock.move,sale_line",0,Sale Line,Ред от продажба,0
field,"sale.line-recreated-stock.move,move",0,Move,Движение,0
field,"sale.line-recreated-stock.move,rec_name",0,Name,Име,0
