type,name,res_id,src,value,fuzzy
error,sale.opportunity,0,Probability must be between 0 and 100!,La probabilité doit être entre 0 et 100 !,0
field,"sale.open_opportunity_employee.init,end_date",0,End Date,Date de fin,0
field,"sale.open_opportunity_employee.init,start_date",0,Start Date,Date de début,0
field,"sale.opportunity,address",0,Address,Adresse,0
field,"sale.opportunity,amount",0,Amount,Montant,0
field,"sale.opportunity,comment",0,Comment,Commentaire,0
field,"sale.opportunity,company",0,Company,Société,0
field,"sale.opportunity,currency",0,Currency,Devise,0
field,"sale.opportunity,currency_digits",0,Currency Digits,Décimales de la devise,0
field,"sale.opportunity,description",0,Description,Description,0
field,"sale.opportunity,employee",0,Employee,Employé,0
field,"sale.opportunity_employee,amount",0,Amount,Montant,0
field,"sale.opportunity_employee,company",0,Company,Société,0
field,"sale.opportunity_employee,conversion_amount_rate",0,Conversion Amount Rate,Taux de conversion des montants,0
field,"sale.opportunity_employee,conversion_rate",0,Conversion Rate,Taux de conversion,0
field,"sale.opportunity_employee,converted",0,Converted,Convertie,0
field,"sale.opportunity_employee,converted_amount",0,Converted Amount,Montant convertit,0
field,"sale.opportunity_employee,currency",0,Currency,Devise,0
field,"sale.opportunity_employee,currency_digits",0,Currency Digits,Décimales de la devise,0
field,"sale.opportunity_employee,employee",0,Employee,Employé,0
field,"sale.opportunity_employee,lost",0,Lost,Perdue,0
field,"sale.opportunity_employee_monthly,amount",0,Amount,Montant,0
field,"sale.opportunity_employee_monthly,company",0,Company,Société,0
field,"sale.opportunity_employee_monthly,conversion_amount_rate",0,Conversion Amount Rate,Taux de conversion des montants,0
field,"sale.opportunity_employee_monthly,conversion_rate",0,Conversion Rate,Taux de conversion,0
field,"sale.opportunity_employee_monthly,converted",0,Converted,Convertie,0
field,"sale.opportunity_employee_monthly,converted_amount",0,Converted Amount,Montant converti,0
field,"sale.opportunity_employee_monthly,currency",0,Currency,Devise,0
field,"sale.opportunity_employee_monthly,currency_digits",0,Currency Digits,Décimales de la devise,0
field,"sale.opportunity_employee_monthly,employee",0,Employee,Employé,0
field,"sale.opportunity_employee_monthly,lost",0,Lost,Perdue,0
field,"sale.opportunity_employee_monthly,month",0,Month,Mois,0
field,"sale.opportunity_employee_monthly,number",0,Number,Nombre,0
field,"sale.opportunity_employee_monthly,rec_name",0,Name,Nom,0
field,"sale.opportunity_employee_monthly,year",0,Year,Année,0
field,"sale.opportunity_employee,number",0,Number,Nombre,0
field,"sale.opportunity_employee,rec_name",0,Name,Nom,0
field,"sale.opportunity,end_date",0,End Date,Date de fin,0
field,"sale.opportunity,history",0,History,Historique,0
field,"sale.opportunity.history,address",0,Address,Adresse,0
field,"sale.opportunity.history,comment",0,Comment,Commentaire,0
field,"sale.opportunity.history,company",0,Company,Société,0
field,"sale.opportunity.history,date",0,Change Date,Date de modification,0
field,"sale.opportunity.history,description",0,Description,Description,0
field,"sale.opportunity.history,employee",0,Employee,Employé,0
field,"sale.opportunity.history,end_date",0,End Date,Date de fin,0
field,"sale.opportunity.history,lines",0,Lines,Lignes,0
field,"sale.opportunity.history,lost_reason",0,Reason for loss,Raison de la perte,0
field,"sale.opportunity.history,opportunity",0,Sale Opportunity,Opportunité de vente,0
field,"sale.opportunity.history,party",0,Party,Tiers,0
field,"sale.opportunity.history,probability",0,Conversion Probability,Probabilité de conversion,0
field,"sale.opportunity.history,rec_name",0,Name,Nom,0
field,"sale.opportunity.history,start_date",0,Start Date,Date de début,0
field,"sale.opportunity.history,state",0,State,État,0
field,"sale.opportunity.history,user",0,User,Utilisateur,0
field,"sale.opportunity.line,opportunity",0,Opportunity,Opportunité,0
field,"sale.opportunity.line,product",0,Product,Produit,0
field,"sale.opportunity.line,quantity",0,Quantity,Quantité,0
field,"sale.opportunity.line,rec_name",0,Name,Nom,0
field,"sale.opportunity,lines",0,Lines,Lignes,0
field,"sale.opportunity.line,sale_line",0,Sale Line,Ligne de vente,0
field,"sale.opportunity.line,sequence",0,Sequence,Séquence,0
field,"sale.opportunity.line,unit",0,Unit,Unité,0
field,"sale.opportunity.line,unit_digits",0,Unit Digits,Décimales de l'unité,0
field,"sale.opportunity,lost_reason",0,Reason for loss,Raison de la perte,0
field,"sale.opportunity_monthly,amount",0,Amount,Montant,0
field,"sale.opportunity_monthly,company",0,Company,Société,0
field,"sale.opportunity_monthly,conversion_amount_rate",0,Conversion Amount Rate,Taux de conversion des montants,0
field,"sale.opportunity_monthly,conversion_rate",0,Conversion Rate,Taux de conversion,0
field,"sale.opportunity_monthly,converted",0,Converted,Convertie,0
field,"sale.opportunity_monthly,converted_amount",0,Converted Amount,Montant converti,0
field,"sale.opportunity_monthly,currency",0,Currency,Devise,0
field,"sale.opportunity_monthly,currency_digits",0,Currency Digits,Décimales de la devise,0
field,"sale.opportunity_monthly,lost",0,Lost,Perdue,0
field,"sale.opportunity_monthly,month",0,Month,Mois,0
field,"sale.opportunity_monthly,number",0,Number,Nombre,0
field,"sale.opportunity_monthly,rec_name",0,Name,Nom,0
field,"sale.opportunity_monthly,year",0,Year,Année,0
field,"sale.opportunity_monthly,year_month",0,Year-Month,Année-Mois,0
field,"sale.opportunity,party",0,Party,Tiers,0
field,"sale.opportunity,payment_term",0,Payment Term,Conditions de paiement,0
field,"sale.opportunity,probability",0,Conversion Probability,Probabilité de conversion,0
field,"sale.opportunity,rec_name",0,Name,Nom,0
field,"sale.opportunity,sale",0,Sale,Vente,0
field,"sale.opportunity,start_date",0,Start Date,Date de début,0
field,"sale.opportunity,state",0,State,État,0
field,"sale.opportunity,warehouse",0,Warehouse,Entrepôt,0
help,"sale.opportunity,amount",0,Estimated revenue amount,Revenu estimé,0
help,"sale.opportunity_employee,conversion_amount_rate",0,In %,En %,0
help,"sale.opportunity_employee,conversion_rate",0,In %,En %,0
help,"sale.opportunity_employee_monthly,conversion_amount_rate",0,In %,En %,0
help,"sale.opportunity_employee_monthly,conversion_rate",0,In %,En %,0
help,"sale.opportunity_monthly,conversion_amount_rate",0,In %,En %,0
help,"sale.opportunity_monthly,conversion_rate",0,In %,En %,0
help,"sale.opportunity,probability",0,Percentage between 0 and 100,Pourcentage entre 0 et 100,0
model,"ir.action,name",act_opportunity_form_cancelled,Cancelled Leads and Opportunities,Opportunités annulées,0
model,"ir.action,name",act_opportunity_form_converted,Converted Opportunities,Opportunités converties,0
model,"ir.action,name",act_opportunity_form,Leads and Opportunities,Opportunités,0
model,"ir.action,name",act_opportunity_form_lost,Lost Leads and Opportunities,Opportunités perdues,0
model,"ir.action,name",act_opportunity_form_new,New Lead,Nouveau contact commercial,0
model,"ir.action,name",act_opportunity_form_lead,Opened Leads,Contacts commerciaux ouverts,0
model,"ir.action,name",act_opportunity_form_opportunity,Opportunities,Opportunités,0
model,"ir.action,name",act_opportunity_employee_form,Opportunities per Employee,Opportunités par employé,0
model,"ir.action,name",act_open_sale_opportunity_employee,Opportunities per Employee,Opportunités par employé,0
model,"ir.action,name",act_opportunity_employee_monthly_form,Opportunities per Employee per Month,Opportunités par employé par mois,0
model,"ir.action,name",act_opportunity_monthly_form,Opportunities per Month,Opportunités par mois,0
model,"ir.action,name",act_opportunity_form2,Sales Leads/Opportunities,Contacts commerciaux / Opportunités de vente,0
model,"ir.ui.menu,name",menu_opportunity_form_cancelled,Cancelled Leads and Opportunities,Opportunités annulées,0
model,"ir.ui.menu,name",menu_opportunity_form_converted,Converted Opportunities,Opportunités converties,0
model,"ir.ui.menu,name",menu_opportunity_form,Leads and Opportunities,Contacts et opportunités de vente,0
model,"ir.ui.menu,name",menu_opportunity_form_lost,Lost Leads and Opportunities,Opportunités perdues,0
model,"ir.ui.menu,name",menu_opportunity_form_new,New Lead,Nouveau contact commercial,0
model,"ir.ui.menu,name",menu_opportunity_form_lead,Opened Leads,Contatcs commerciaux ouverts,0
model,"ir.ui.menu,name",menu_opportunity_form_opportunity,Opportunities,Opportunités,0
model,"ir.ui.menu,name",menu_open_sale_opportunity_employee,Opportunities per Employee,Opportunités par employé,0
model,"ir.ui.menu,name",menu_opportunity_employee_monthly_form,Opportunities per Employee per Month,Opportunités par employé par mois,0
model,"ir.ui.menu,name",menu_opportunity_monthly_form,Opportunities per Month,Opportunités par mois,0
model,"ir.ui.menu,name",menu_reporting,Reporting,Rapports,0
model,"res.group,name",group_opportunity,Sale Opportunity,Opportunités de vente,0
model,"sale.open_opportunity_employee.init,name",0,Open Sale Opportunity per Employee Init,Opportunités de vente par employé - Init,0
model,"sale.opportunity_employee_monthly,name",0,Sale Opportunity per Employee per Month,Opportunités de vente par employé par mois,0
model,"sale.opportunity_employee,name",0,Sale Opportunity per Employee,Opportunités de vente par employé,0
