type,name,res_id,src,value,fuzzy
error,stock.inventory.line,0,Line quantity must be positive!,La cantidad de la línea debe ser positiva,0
error,stock.inventory.line,0,Product must be unique by inventory!,El producto debe ser único por inventario,0
error,stock.location,0,A location with existing moves cannot be changed to a type that does not support moves.,Una ubicación con movimientos no puede ser cambiado a un tipo que no soporte movimientos.,0
error,stock.location,0,You can not create recursive locations!,No puede crear ubicaciones recursivas,0
error,stock.move,0,Move can be on only one Shipment,Un movimiento solo puede hacerse con un envio.,0
error,stock.move,0,Move quantity must be positive,La cantidad a mover tiene que ser positivo,0
error,stock.move,0,Source and destination location must be different,Los lugares origen y destino deben ser distintos,0
error,stock.move,0,You can not set state to assigned!,No puede establecer el estado como asignado,0
error,stock.move,0,You can not set state to done!,No puede establecer el estado como hecho,0
error,stock.move,0,You can not set state to draft!,No puede establecer el estado como borrador,0
error,stock.move,0,You can not use service products for a move!,No puede usar productos de servicio para un movimiento,0
error,stock.move,0,You can only delete draft or cancelled moves!,Solamente puede eliminar movimientos en borrador o cancelados,0
error,stock.packing.in,0,Incoming Moves must have the warehouse input location as destination location!,Los movimientos de entrada deben tener la ubicación del almacén de entrada como la ubicación de destino,0
error,stock.packing.in,0,Inventory Moves must have the warehouse input location as source location!,Los movimientos de inventario deben tener la ubicación del almacén de entrada como la ubicación de origen,0
error,stock.packing.out.return,0,Incoming Moves must have the warehouse input location as destination location!,Los movimientos de entrada deben tener la ubicación del almacén de entrada como la ubicación de destino,0
error,stock.packing.out.return,0,Inventory Moves must have the warehouse input location as source location!,Los movimientos de inventario deben tener la ubicación del almacén de entrada como la ubicación de origen,0
error,stock.packing.out.return.create,0,The packing with code %s is not yet sent.,El paquete con código %s no ha sido enviado aún.,0
error,stock.packing.out.return.create,0,You can not create return packing,No puede crear paquetes de retorno,0
field,"party.address,delivery",0,Delivery,Envío,0
field,"party.party,customer_location",0,Customer Location,Ubicación del cliente,0
field,"party.party,supplier_location",0,Supplier Location,Ubicación del proveedor,0
field,"product.product,forecast_quantity",0,Forecast Quantity,Cantidad prevista,0
field,"product.product,quantity",0,Quantity,Cantidad,0
field,"product.template,forecast_quantity",0,Forecast Quantity,Cantidad prevista,0
field,"product.template,quantity",0,Quantity,Cantidad,0
field,"stock.inventory,company",0,Company,Empresa,0
field,"stock.inventory.complete.init,categories",0,Categories,Categorías,0
field,"stock.inventory.complete.init,products",0,Products,Productos,0
field,"stock.inventory,date",0,Date,Fecha,0
field,"stock.inventory.line,expected_quantity",0,Expected Quantity,Cantidad esperada,0
field,"stock.inventory.line,inventory",0,Inventory,Inventario,0
field,"stock.inventory.line,move",0,Move,Movimiento,0
field,"stock.inventory.line,product",0,Product,Producto,0
field,"stock.inventory.line,quantity",0,Quantity,Cantidad,0
field,"stock.inventory.line,rec_name",0,Name,Nombre,0
field,"stock.inventory,lines",0,Lines,Líneas,0
field,"stock.inventory.line,unit_digits",0,Unit Digits,Dígitos de la unidad,0
field,"stock.inventory.line,uom",0,UOM,UdM,0
field,"stock.inventory,location",0,Location,Ubicación,0
field,"stock.inventory,lost_found",0,Lost and Found,Perdido y encontrado,0
field,"stock.inventory,rec_name",0,Name,Nombre,0
field,"stock.inventory,state",0,State,Estado,0
field,"stock.location,active",0,Active,Activo,0
field,"stock.location,address",0,Address,Direcciones,0
field,"stock.location,childs",0,Children,Hijos,0
field,"stock.location,code",0,Code,Código,0
field,"stock.location,forecast_quantity",0,Forecast Quantity,Cantidad prevista,0
field,"stock.location,input_location",0,Input,Entrada,0
field,"stock.location,left",0,Left,Izquierda,0
field,"stock.location,name",0,Name,Nombre,0
field,"stock.location,output_location",0,Output,Salida,0
field,"stock.location,parent",0,Parent,Padre,0
field,"stock.location,quantity",0,Quantity,Cantidad,0
field,"stock.location,rec_name",0,Name,Nombre,0
field,"stock.location,right",0,Right,Derecha,0
field,"stock.location_stock_date.init,forecast_date",0,At Date,En la fecha,0
field,"stock.location,storage_location",0,Storage,Almacén,0
field,"stock.location,type",0,Location type,Tipo de ubicación,0
field,"stock.move,company",0,Company,Empresa,0
