type,name,res_id,src,value,fuzzy
error,stock.forecast,0,"""To Date"" must be greater than ""From Date""!",«Hasta la fecha» debe ser más reciente que «Desde la fecha»,0
error,stock.forecast,0,You can not create forecasts for the same locations with overlapping dates,No puede crear previsiones para las mísmas ubicaciones con fechas solapadas,0
error,stock.forecast.complete,0,"""From Date"" should be smaller than ""To Date""!",«Desde la fecha» debe ser anterior a «Hasta la fecha»,0
error,stock.forecast.line,0,Line quantity must be greater than the minimal quantity!,La línea cantidad debe ser mayor que la cantidad mínima,0
error,stock.forecast.line,0,Line quantity must be positive!,La cantidad de la línea debe ser positiva,0
error,stock.forecast.line,0,Product must be unique by forcast!,El producto debe ser único por previsión,0
field,"stock.forecast,company",0,Company,Empresa,0
field,"stock.forecast.complete.ask,from_date",0,From Date,Desde la fecha,0
field,"stock.forecast.complete.ask,to_date",0,To Date,Hasta la fecha,0
field,"stock.forecast.complete.choose,products",0,Products,Productos,0
field,"stock.forecast,destination",0,Destination,Destino,0
field,"stock.forecast,from_date",0,From Date,Desde la fecha,0
field,"stock.forecast.line,forecast",0,Forecast,Previsión,0
field,"stock.forecast.line,minimal_quantity",0,Minimal Qty,Cantidad Mínima,0
field,"stock.forecast.line,moves",0,Moves,Movimientos,0
field,"stock.forecast.line,product",0,Product,Producto,0
field,"stock.forecast.line,quantity",0,Quantity,Cantidad,0
field,"stock.forecast.line,rec_name",0,Name,Nombre,0
field,"stock.forecast,lines",0,Lines,Líneas,0
field,"stock.forecast.line-stock.move,line",0,Forecast Line,Línea de previsión,0
field,"stock.forecast.line-stock.move,move",0,Move,Movimiento,0
field,"stock.forecast.line-stock.move,rec_name",0,Name,Nombre,0
field,"stock.forecast.line,unit_digits",0,Unit Digits,Dígitos Unitarios,0
field,"stock.forecast.line,uom",0,UOM,UdM,0
field,"stock.forecast,location",0,Location,Ubicación,0
field,"stock.forecast,rec_name",0,Name,Nombre,0
field,"stock.forecast,state",0,State,Estado,0
field,"stock.forecast,to_date",0,To Date,Hasta la fecha,0
model,"ir.action,name",wizard_forecast_complete,Complete Forecast,Previsión completa,0
model,"ir.action,name",act_forecast_form,Forecasts,Previsión,0
model,"ir.ui.menu,name",menu_forecast_form,Forecasts,Previsiones,0
model,"res.group,name",group_stock_forecast,Stock Forecast,Previsión de existéncias,0
model,"stock.forecast.complete.ask,name",0,Forecast Complete Ask,Pedir previsión completa,0
model,"stock.forecast.complete.choose,name",0,Forecast Complete Choose,Elegir previsión completa,0
model,"stock.forecast.line,name",0,Stock Forecast Line,Línea de previsión de existencias,0
model,"stock.forecast.line-stock.move,name",0,ForecastLine - Move,LineaPrevisión - Movimiento,0
model,"stock.forecast,name",0,Stock Forecast,Previsión de existencias,0
model,"workflow.activity,name",forecast_act_cancel,Cancel,Cancelar,0
model,"workflow.activity,name",forecast_act_done,Done,Hecho,0
model,"workflow.activity,name",forecast_act_draft,Draft,Borrador,0
model,"workflow,name",wkf_forecast,Forecast,Previsión,0
selection,"stock.forecast,state",0,Cancel,Cancelar,0
selection,"stock.forecast,state",0,Done,Hecho,0
selection,"stock.forecast,state",0,Draft,Borrador,0
view,stock.forecast,0,Add forecast line based on past data.,Añadir línea de previsión en base a datos anteriores.,0
view,stock.forecast,0,Cancel,Cancelar,0
view,stock.forecast,0,Complete Forecast,Previsión completa,0
view,stock.forecast,0,Confirm,Confirmar,0
view,stock.forecast,0,Forecast,Previsión,0
view,stock.forecast,0,Forecasts,Previsiones,0
view,stock.forecast,0,Reset to Draft,Restablecer a borrador,0
view,stock.forecast.complete.ask,0,Choose dates,Elegir fechas,0
view,stock.forecast.complete.choose,0,Choose products,Elegir productos,0
view,stock.forecast.line,0,Forecast Line,Línea de previsión,0
view,stock.forecast.line,0,Forecast Lines,Líneas de previsión,0
wizard_button,"stock.forecast.complete,choose,complete",0,Complete,Completo,0
wizard_button,"stock.forecast.complete,choose,end",0,cancel,cancelar,0
wizard_button,"stock.forecast.complete,choose,init",0,Choose Dates,Elegir fechas,0
wizard_button,"stock.forecast.complete,init,choose",0,Choose products,Elegir productos,0
wizard_button,"stock.forecast.complete,init,complete",0,Complete,Completo,0
wizard_button,"stock.forecast.complete,init,end",0,cancel,cancelar,0
