type,name,res_id,src,value,fuzzy
field,"stock.inventory.create.init,company",0,Company,Empresa,0
field,"stock.inventory.create.init,date",0,Date,Fecha,0
field,"stock.inventory.create.init,locations",0,Locations,Ubicaciones,0
field,"stock.inventory.create.init,lost_found",0,Lost and Found,Perdido y encontrado,0
model,"ir.action,name",wizard_create_inventory,Create Inventories,Crear inventarios,0
model,"ir.ui.menu,name",menu_create_inventory,Create Inventories,Crear inventarios,0
model,"stock.inventory.create.init,name",0,Create Inventories Init,Inicializa la creación de inventarios,0
view,stock.inventory.create.init,0,Categories,Categorías,0
view,stock.inventory.create.init,0,Create Inventories,Crear inventarios,0
view,stock.inventory.create.init,0,Locations,Ubicaciones,0
view,stock.inventory.create.init,0,Products,Productos,0
wizard_button,"stock.inventory.create,init,create",0,Create,Crear,0
wizard_button,"stock.inventory.create,init,end",0,Cancel,Cancelar,0
