type,name,res_id,src,value,fuzzy
field,"stock.inventory.create.init,company",0,Company,Société,0
field,"stock.inventory.create.init,date",0,Date,Date,0
field,"stock.inventory.create.init,locations",0,Locations,Emplacements,0
field,"stock.inventory.create.init,lost_found",0,Lost and Found,Pertes et surplus,0
model,"ir.action,name",wizard_create_inventory,Create Inventories,Créer des inventaires,0
model,"ir.ui.menu,name",menu_create_inventory,Create Inventories,Créer des inventaires,0
model,"stock.inventory.create.init,name",0,Create Inventories Init,Créer les inventaires - Init,0
view,stock.inventory.create.init,0,Categories,Catégories,0
view,stock.inventory.create.init,0,Create Inventories,Créer des inventaires,0
view,stock.inventory.create.init,0,Locations,Emplacements,0
view,stock.inventory.create.init,0,Products,Produits,0
wizard_button,"stock.inventory.create,init,create",0,Create,Créer,0
wizard_button,"stock.inventory.create,init,end",0,Cancel,Annuler,0
