type,name,res_id,src,value,fuzzy
field,"product.product,locations",0,Default Locations,Местонахождения по подразбиране,0
field,"stock.product.location,location",0,Storage Location,Местонахождение на съхранение,0
field,"stock.product.location,product",0,Product,Продукт,0
field,"stock.product.location,rec_name",0,Name,Име,0
field,"stock.product.location,sequence",0,Sequence,Последователност,0
field,"stock.product.location,warehouse",0,Warehouse,Склад,0
model,"stock.product.location,name",0,Product Location,Местонахождение на продукт,0
view,product.product,0,Default Locations,Местонахождения по подразбиране,0
view,product.product,0,Product Location,Местонахождение на продукт,0
view,product.product,0,Product Locations,Местонахождения на продукт,0
view,stock.product.location,0,Product Location,Местонахождение на продукт,0
view,stock.product.location,0,Product Locations,Местонахождения на продукт,0
