type,name,res_id,src,value,fuzzy
field,"product.product,locations",0,Default Locations,Emplacements par défaut,0
field,"stock.product.location,location",0,Storage Location,Emplacement de stockage,0
field,"stock.product.location,product",0,Product,Produit,0
field,"stock.product.location,rec_name",0,Name,Nom,0
field,"stock.product.location,sequence",0,Sequence,Séquence,0
field,"stock.product.location,warehouse",0,Warehouse,Entrepôt,0
model,"stock.product.location,name",0,Product Location,Emplacement produit,0
view,product.product,0,Default Locations,Emplacements par défaut,0
view,product.product,0,Product Location,Emplacement de produit,0
view,product.product,0,Product Locations,Emplacements de produit,0
view,stock.product.location,0,Product Location,Emplacement de produit,0
view,stock.product.location,0,Product Locations,Emplacements de produit,0
