type,name,res_id,src,value,fuzzy
error,purchase.request,0,Purchase requests are only created by the system.,Bestellvorschläge werden nur durch das System generiert!,0
error,purchase.request.create_purchase,0,Purchase price is missing for product: %s (id: %s)!,Fehlender Einkaufspreis für Artikel: %s (id: %s)!,0
error,purchase.request.create_purchase,0,This price is necessary for creating purchase.,Dieser Preis wird für die Auftragserstellung benötigt!,0
error,stock.order_point,0,Maximal quantity must be bigger than Minimal quantity,Die maximale Anzahl muss größer als die minimale Anzahl sein,0
error,stock.order_point,0,Only one order point is allowed for each product-location pair.,Es ist nur ein Bestellpunkt für jede Paarung Artikel-Lagerort erlaubt,0
error,stock.order_point,0,You can not define two order points on the same product with opposite locations.,Für einen Artikel können keine verschiedenen Bestellpunkte mit unterschiedlichen Lagerstandorten erstellt werden!,0
field,"product.product,order_points",0,Order Points,Bestellpunkte,0
field,"purchase.request,company",0,Company,Unternehmen,0
field,"purchase.request,computed_quantity",0,Computed Quantity,Berechnete Anzahl,0
field,"purchase.request,computed_uom",0,Computed UOM,Berechnete Maßeinheit,0
field,"purchase.request.create_purchase.ask_party,company",0,Company,Unternehmen,0
field,"purchase.request.create_purchase.ask_party,party",0,Supplier,Lieferant,0
field,"purchase.request.create_purchase.ask_party,product",0,Product,Artikel,0
field,"purchase.request.create_purchase.ask_term,company",0,Company,Unternehmen,0
field,"purchase.request.create_purchase.ask_term,party",0,Supplier,Lieferant,0
field,"purchase.request.create_purchase.ask_term,payment_term",0,Payment Term,Zahlungsbedingung,0
field,"purchase.request,origin",0,Origin,Herkunft,0
field,"purchase.request,party",0,Party,Partei,0
field,"purchase.request,product",0,Product,Artikel,0
field,"purchase.request,purchase",0,Purchase,Bestellvorschlag,0
field,"purchase.request,purchase_date",0,Best Purchase Date,Bestes Einkaufsdatum,0
field,"purchase.request,purchase_line",0,Purchase Line,Position Bestellvorschlag,0
field,"purchase.request,quantity",0,Quantity,Anzahl,0
field,"purchase.request,rec_name",0,Name,Name,0
field,"purchase.request,state",0,State,Status,0
field,"purchase.request,stock_level",0,Stock at Supply Date,Lagerbestand am Lieferdatum,0
field,"purchase.request,supply_date",0,Expected Supply Date,Voraussichtliches Lieferdatum,0
