type,name,res_id,src,value,fuzzy
error,timesheet.line,0,Hours field must be positive,Feld Stunden muss einen positiven Wert haben,0
error,timesheet.work,0,Every work must be in the same company as it's parent work!,Eine Aufgabe muss immer zum selben Unternehmen wie die übergeordnete Aufgabe gehören!,0
error,timesheet.work,0,You can not create recursive works!,Aufgaben können nicht rekursiv angelegt werden!,0
field,"timesheet.enter_lines.init,date",0,Date,Datum,0
field,"timesheet.enter_lines.init,employee",0,Employee,Mitarbeiter,0
field,"timesheet.hours_employee,create_date",0,Creation date,Erstellungsdatum,0
field,"timesheet.hours_employee,create_uid",0,Creation user,Ersteller,0
field,"timesheet.hours_employee,employee",0,Employee,Mitarbeiter,0
field,"timesheet.hours_employee,hours",0,Hours,Stunden,0
field,"timesheet.hours_employee,id",0,ID,ID,0
field,"timesheet.hours_employee,rec_name",0,Name,Name,0
field,"timesheet.hours_employee,write_date",0,Last modification date,Zuletzt geändert am,0
field,"timesheet.hours_employee,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"timesheet.hours_employee_monthly,create_date",0,Creation date,Erstellungsdatum,0
field,"timesheet.hours_employee_monthly,create_uid",0,Creation user,Ersteller,0
field,"timesheet.hours_employee_monthly,employee",0,Employee,Mitarbeiter,0
field,"timesheet.hours_employee_monthly,hours",0,Hours,Stunden,0
field,"timesheet.hours_employee_monthly,id",0,ID,ID,0
field,"timesheet.hours_employee_monthly,month",0,Month,Monat,0
field,"timesheet.hours_employee_monthly,rec_name",0,Name,Name,0
field,"timesheet.hours_employee_monthly,write_date",0,Last modification date,Zuletzt geändert am,0
field,"timesheet.hours_employee_monthly,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"timesheet.hours_employee_monthly,year",0,Year,Jahr,0
field,"timesheet.hours_employee_weekly,create_date",0,Creation date,Erstellungsdatum,0
field,"timesheet.hours_employee_weekly,create_uid",0,Creation user,Ersteller,0
field,"timesheet.hours_employee_weekly,employee",0,Employee,Mitarbeiter,0
field,"timesheet.hours_employee_weekly,hours",0,Hours,Stunden,0
field,"timesheet.hours_employee_weekly,id",0,ID,ID,0
field,"timesheet.hours_employee_weekly,rec_name",0,Name,Name,0
field,"timesheet.hours_employee_weekly,week",0,Week,Woche,0
field,"timesheet.hours_employee_weekly,write_date",0,Last modification date,Zuletzt geändert am,0
field,"timesheet.hours_employee_weekly,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"timesheet.hours_employee_weekly,year",0,Year,Jahr,0
field,"timesheet.line,create_date",0,Creation date,Erstellungsdatum,0
field,"timesheet.line,create_uid",0,Creation user,Ersteller,0
field,"timesheet.line,date",0,Date,Datum,0
field,"timesheet.line,description",0,Description,Beschreibung,0
field,"timesheet.line,employee",0,Employee,Mitarbeiter,0
field,"timesheet.line,hours",0,Hours,Stunden,0
field,"timesheet.line,id",0,ID,ID,0
field,"timesheet.line,rec_name",0,Name,Name,0
field,"timesheet.line,work",0,Work,Aufgabe,0
field,"timesheet.line,write_date",0,Last modification date,Zuletzt geändert am,0
field,"timesheet.line,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"timesheet.open_hours_employee.init,end_date",0,End Date,Enddatum,0
field,"timesheet.open_hours_employee.init,start_date",0,Start Date,Anfangsdatum,0
field,"timesheet.work,active",0,Active,Aktiv,0
field,"timesheet.work,children",0,Children,Untergeordnet (Aufgaben),0
field,"timesheet.work,company",0,Company,Unternehmen,0
field,"timesheet.work,create_date",0,Creation date,Erstellungsdatum,0
field,"timesheet.work,create_uid",0,Creation user,Ersteller,0
field,"timesheet.work,hours",0,Timesheet Hours,Stunden,0
field,"timesheet.work,id",0,ID,ID,0
field,"timesheet.work,left",0,Left,Links,0
field,"timesheet.work,name",0,Name,Name,0
field,"timesheet.work,parent",0,Parent,Übergeordnet (Aufgabe),0
field,"timesheet.work,rec_name",0,Name,Name,0
field,"timesheet.work,right",0,Right,Rechts,0
field,"timesheet.work,timesheet_available",0,Available on timesheets,Verfügbar für Zeiterfassung,0
field,"timesheet.work,write_date",0,Last modification date,Zuletzt geändert am,0
field,"timesheet.work,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"timesheet.work.open.init,from_date",0,From Date,Von,0
field,"timesheet.work.open.init,to_date",0,To Date,Bis,0
help,"timesheet.work,hours",0,Total time spent on this work,Gesamtzeit für diese Arbeit,0
help,"timesheet.work,timesheet_available",0,Allow to fill in timesheets with this work,Diese Arbeit für den Eintrag in Zeiterfassungen freigeben,0
model,"ir.action,name",act_enter_lines,Enter Timesheet,Zur Zeiterfassung,0
model,"ir.action,name",act_hours_employee_form,Hours per Employee,Stunden pro Mitarbeiter,0
model,"ir.action,name",act_hours_employee_monthly_form,Hours per Employee per Month,Stunden pro Mitarbeiter pro Monat,0
model,"ir.action,name",act_hours_employee_weekly_form,Hours per Employee per Week,Stunden pro Mitarbeiter pro Monat,0
model,"ir.action,name",act_line_form,Timesheet Lines,Zeitpositionen,0
model,"ir.action,name",act_open_hours_employee,Hours per Employee,Stunden pro Mitarbeiter,0
model,"ir.action,name",act_open_work,Hours per Work,Stunden pro Aufgabe,0
model,"ir.action,name",act_open_work2,Hours per Work,Stunden pro Aufgabe,0
model,"ir.action,name",act_open_work_graph,Hours per Work,Stunden pro Aufgabe,0
model,"ir.action,name",act_work_form,Works,Aufgaben,0
model,"ir.action,name",act_work_form2,Hours per Work,Stunden pro Aufgabe,0
model,"ir.action,name",act_work_form3,Hours per Work,Stunden pro Aufgabe,0
model,"ir.action,name",act_work_list,Works,Aufgaben,0
model,"ir.action,name",act_work_tree,Works,Aufgaben,0
model,"ir.action,name",act_work_tree2,Works,Aufgaben,0
model,"ir.ui.menu,name",menu_configuration,Configuration,Einstellungen,0
model,"ir.ui.menu,name",menu_enter_lines,Enter Timesheet,Zur Zeiterfassung,0
model,"ir.ui.menu,name",menu_line_form,Timesheet Lines,Zeitpositionen,0
model,"ir.ui.menu,name",menu_open_hours_employee,Hours per Employee,Stunden pro Mitarbeiter,0
model,"ir.ui.menu,name",menu_open_hours_employee_monthly,Hours per Employee per Month,Stunden pro Mitarbeiter pro Monat,0
model,"ir.ui.menu,name",menu_open_hours_employee_weekly,Hours per Employee per Week,Stunden pro Mitarbeiter pro Woche,0
model,"ir.ui.menu,name",menu_reporting,Reporting,Auswertungen,0
model,"ir.ui.menu,name",menu_timesheet,Timesheet Management,Zeiterfassung,0
model,"ir.ui.menu,name",menu_work_form,New Work,Neue Aufgabe,0
model,"ir.ui.menu,name",menu_work_form2,Hours per Work,Stunden pro Aufgabe,0
model,"ir.ui.menu,name",menu_work_list,Works,Aufgaben,0
model,"ir.ui.menu,name",menu_work_tree,Works,Aufgaben,0
model,"ir.ui.menu,name",menu_work_tree2,Hours per Work,Stunden pro Aufgabe,0
model,"res.group,name",group_timesheet_admin,Timesheet Administration,Zeiterfassung Administration,0
model,"timesheet.enter_lines.init,name",0,Enter Lines Init,Eingabe Zeitposition Init,0
model,"timesheet.hours_employee,name",0,Hours per Employee,Stunden pro Mitarbeiter,0
