type,name,res_id,src,value,fuzzy
error,timesheet.line,0,Hours field must be positive,El campo de horas debe ser positivo,0
error,timesheet.work,0,Every work must be in the same company as it's parent work!,Cada trabajo debe estar en la misma empresa que su trabajo padre,0
error,timesheet.work,0,You can not create recursive works!,No puede crear trabajos recursivos,0
field,"timesheet.enter_lines.init,date",0,Date,Fecha,0
field,"timesheet.enter_lines.init,employee",0,Employee,Empleado,0
field,"timesheet.hours_employee,employee",0,Employee,Empleado,0
field,"timesheet.hours_employee,hours",0,Hours,Horas,0
field,"timesheet.hours_employee_monthly,employee",0,Employee,Empleado,0
field,"timesheet.hours_employee_monthly,hours",0,Hours,Horas,0
field,"timesheet.hours_employee_monthly,month",0,Month,Mes,0
field,"timesheet.hours_employee_monthly,rec_name",0,Name,Nombre,0
field,"timesheet.hours_employee_monthly,year",0,Year,Año,0
field,"timesheet.hours_employee,rec_name",0,Name,Nombre,0
field,"timesheet.hours_employee_weekly,employee",0,Employee,Empleado,0
field,"timesheet.hours_employee_weekly,hours",0,Hours,Horas,0
field,"timesheet.hours_employee_weekly,rec_name",0,Name,Nombre,0
field,"timesheet.hours_employee_weekly,week",0,Week,Semana,0
field,"timesheet.hours_employee_weekly,year",0,Year,Año,0
field,"timesheet.line,date",0,Date,Fecha,0
field,"timesheet.line,description",0,Description,Descripción,0
field,"timesheet.line,employee",0,Employee,Empleado,0
field,"timesheet.line,hours",0,Hours,Horas,0
field,"timesheet.line,rec_name",0,Name,Nombre,0
field,"timesheet.line,work",0,Work,Trabajo,0
field,"timesheet.open_hours_employee.init,end_date",0,End Date,Fecha final,0
field,"timesheet.open_hours_employee.init,start_date",0,Start Date,Fecha inicial,0
field,"timesheet.work,active",0,Active,Activo,0
field,"timesheet.work,children",0,Children,Hijos,0
field,"timesheet.work,company",0,Company,Empresa,0
field,"timesheet.work,hours",0,Timesheet Hours,Horas del parte de trabajo,0
field,"timesheet.work,left",0,Left,Izquierda,0
field,"timesheet.work,name",0,Name,Nombre,0
field,"timesheet.work.open.init,from_date",0,From Date,Desde la fecha,0
field,"timesheet.work.open.init,to_date",0,To Date,A la fecha,0
field,"timesheet.work,parent",0,Parent,Padre,0
field,"timesheet.work,rec_name",0,Name,Nombre,0
field,"timesheet.work,right",0,Right,Derecha,0
field,"timesheet.work,timesheet_available",0,Available on timesheets,Disponible en partes de trabajo,0
help,"timesheet.work,hours",0,Total time spent on this work,Tiempo total empleado en este trabajo,0
