type,name,res_id,src,value,fuzzy
error,timesheet.line,0,Hours field must be positive,Het veld uren moet positief zijn,0
error,timesheet.work,0,Every work must be in the same company as it's parent work!,Ieder werk moet onder hetzelfde bedrijf vallen als het bovenliggende werk!,0
error,timesheet.work,0,You can not create recursive works!,U kunt een werk niet naar zichzelf laten verwijzen!,0
field,"timesheet.enter_lines.init,date",0,Date,Datum,0
field,"timesheet.enter_lines.init,employee",0,Employee,Werknemer,0
field,"timesheet.hours_employee,employee",0,Employee,Werknemer,0
field,"timesheet.hours_employee,hours",0,Hours,Uren,0
field,"timesheet.hours_employee,rec_name",0,Name,Naam,0
field,"timesheet.hours_employee_monthly,employee",0,Employee,Werknemer,0
field,"timesheet.hours_employee_monthly,hours",0,Hours,Uren,0
field,"timesheet.hours_employee_monthly,month",0,Month,Maand,0
field,"timesheet.hours_employee_monthly,rec_name",0,Name,Naam,0
field,"timesheet.hours_employee_monthly,year",0,Year,Jaar,0
field,"timesheet.hours_employee_weekly,employee",0,Employee,Werknemer,0
field,"timesheet.hours_employee_weekly,hours",0,Hours,Uren,0
field,"timesheet.hours_employee_weekly,rec_name",0,Name,Naam,0
field,"timesheet.hours_employee_weekly,week",0,Week,Week,0
field,"timesheet.hours_employee_weekly,year",0,Year,Jaar,0
field,"timesheet.line,date",0,Date,Datum,0
field,"timesheet.line,description",0,Description,Specificatie,0
field,"timesheet.line,employee",0,Employee,Werknemer,0
field,"timesheet.line,hours",0,Hours,Uren,0
field,"timesheet.line,rec_name",0,Name,Naam,0
field,"timesheet.line,work",0,Work,Werk,0
field,"timesheet.open_hours_employee.init,end_date",0,End Date,Eind datum,0
field,"timesheet.open_hours_employee.init,start_date",0,Start Date,Start datum,0
field,"timesheet.work,active",0,Active,Actief,0
field,"timesheet.work,children",0,Children,Onderliggende niveaus,0
field,"timesheet.work,company",0,Company,Bedrijf,0
field,"timesheet.work,hours",0,Timesheet Hours,Tijdregistratie uren,0
field,"timesheet.work,left",0,Left,Links,0
field,"timesheet.work,name",0,Name,Naam,0
field,"timesheet.work,parent",0,Parent,Bovenliggend niveau,0
field,"timesheet.work,rec_name",0,Name,Naam,0
field,"timesheet.work,right",0,Right,Rechts,0
field,"timesheet.work,timesheet_available",0,Available on timesheets,Beschikbaar in tijdregistartie,0
field,"timesheet.work.open.init,from_date",0,From Date,Vanaf datum,0
field,"timesheet.work.open.init,to_date",0,To Date,Tot datum,0
help,"timesheet.work,hours",0,Total time spent on this work,Tijd besteed aan dit werk,0
help,"timesheet.work,timesheet_available",0,Allow to fill in timesheets with this work,Sta het boeken van uren op dit werk toe,0
model,"ir.action,name",act_enter_lines,Enter Timesheet,Naar tijdregistratie,0
model,"ir.action,name",act_hours_employee_form,Hours per Employee,Uren per werknemer,0
model,"ir.action,name",act_hours_employee_monthly_form,Hours per Employee per Month,Uren per werknemer per maand,0
model,"ir.action,name",act_hours_employee_weekly_form,Hours per Employee per Week,Uren per werknemer per week,0
model,"ir.action,name",act_line_form,Timesheet Lines,Tijdregistratieregels,0
model,"ir.action,name",act_open_hours_employee,Hours per Employee,Uren per werknemer,0
model,"ir.action,name",act_open_work,Hours per Work,Uren per werk,0
model,"ir.action,name",act_open_work2,Hours per Work,Uren per werk,0
model,"ir.action,name",act_open_work_graph,Hours per Work,Uren per werk,0
model,"ir.action,name",act_work_form,Works,Werken,0
model,"ir.action,name",act_work_form2,Hours per Work,Uren per werk,0
model,"ir.action,name",act_work_form3,Hours per Work,Uren per werk,0
model,"ir.action,name",act_work_tree,Works,Werken,0
model,"ir.action,name",act_work_tree2,Works,Werken,0
model,"ir.ui.menu,name",menu_configuration,Configuration,Instellingen,0
model,"ir.ui.menu,name",menu_enter_lines,Enter Timesheet,Naar tijdregistratie,0
model,"ir.ui.menu,name",menu_line_form,Timesheet Lines,Tijdregistratieregels,0
model,"ir.ui.menu,name",menu_open_hours_employee,Hours per Employee,Uren per werknemer,0
model,"ir.ui.menu,name",menu_open_hours_employee_monthly,Hours per Employee per Month,Uren per werknemer per maand,0
model,"ir.ui.menu,name",menu_open_hours_employee_weekly,Hours per Employee per Week,Uren per werknemer per week,0
model,"ir.ui.menu,name",menu_reporting,Reporting,Rapportage,0
model,"ir.ui.menu,name",menu_timesheet,Timesheet Management,Tijdverantwoording,0
model,"ir.ui.menu,name",menu_work_form,Works,Werken,0
model,"ir.ui.menu,name",menu_work_form2,Hours per Work,Uren per werk,0
model,"ir.ui.menu,name",menu_work_tree,Works,Werken,0
model,"ir.ui.menu,name",menu_work_tree2,Hours per Work,Uren per werk,0
model,"res.group,name",group_timesheet_admin,Timesheet Administration,Tijdregistratie,0
model,"timesheet.enter_lines.init,name",0,Enter Lines Init,Naar tijdregistratie gaan,0
model,"timesheet.hours_employee,name",0,Hours per Employee,Uren per werknemer,0
model,"timesheet.hours_employee_monthly,name",0,Hours per Employee per Month,Uren per werknemer per maand,0
model,"timesheet.hours_employee_weekly,name",0,Hours per Employee per Week,Uren per werknemer per week,0
model,"timesheet.line,name",0,Timesheet Line,Tijdregistratieregel,0
model,"timesheet.open_hours_employee.init,name",0,Open Hours Employee Init,Uren werknemer gaan openen,0
model,"timesheet.work,name",0,Work,Werk,0
model,"timesheet.work.open.init,name",0,Open Work Init,Werk gaan openen,0
view,timesheet.enter_lines.init,0,Enter Timesheet,Naar tijdregistratie,0
view,timesheet.hours_employee,0,Hours,Uren,0
view,timesheet.hours_employee,0,Hours per Employee,Uren per werknemer,0
view,timesheet.hours_employee_monthly,0,Hours per Employee per Month,Uren per werknemer per maand,0
