type,name,res_id,src,value,fuzzy
error,party.address,0,You can not modify the party of an address!,U kunt niet de relatie van een adres veranderen!,0
error,party.category,0,The name of a party category must be unique by parent!,De naam van een relatie-categorie moet per niveau uniek zijn!,0
error,party.category,0,You can not create recursive categories!,U kunt geen recursieve categorieën aanmaken!,0
error,party.category,0,"You can not use "" / "" in name field!","Het ""/"" teken mag niet gebruikt worden in een naam veld!",0
error,party.check_vies,0,"The VIES service is unavailable, try again later.","De VIES is niet beschikbaar, probeer het later nog eens!",0
error,party.contact_mechanism,0,You can not modify the party of a contact mechanism!,U kunt niet de relatie van een contactmogelijkheid veranderen!,0
error,party.party,0,Invalid VAT number!,Ongeldig BTW nummer!,0
error,party.party,0,The code of the party must be unique!,De relatie-code moet uniek zijn!,0
field,"party.address,active",0,Active,Actief,0
field,"party.address,city",0,City,Stad,0
field,"party.address,country",0,Country,Land,0
field,"party.address,full_address",0,Full Address,Volledig adres,0
field,"party.address,name",0,Name,Aanhef,0
field,"party.address,party",0,Party,Relatie,0
field,"party.address,rec_name",0,Name,Naam,0
field,"party.address,sequence",0,Sequence,Reeks,0
field,"party.address,street",0,Street,Straat,0
field,"party.address,streetbis",0,Street (bis),Extra aanduiding,0
field,"party.address,subdivision",0,Subdivision,Provincie,0
field,"party.address,zip",0,Zip,Postcode,0
field,"party.category,active",0,Active,Actief,0
field,"party.category,childs",0,Children,Onderliggende niveaus,0
field,"party.category,name",0,Name,Naam,0
field,"party.category,parent",0,Parent,Bovenliggend niveau,0
field,"party.category,rec_name",0,Name,Naam,0
field,"party.check_vies.check,parties_failed",0,Parties Failed,Controle relatie mislukt,0
field,"party.check_vies.check,parties_succeed",0,Parties Succeed,Controle relatie gelukt,0
field,"party.configuration,party_sequence",0,Party Sequence,Relatiecode,0
field,"party.configuration,rec_name",0,Name,Naam,0
field,"party.contact_mechanism,active",0,Active,Actief,0
field,"party.contact_mechanism,comment",0,Comment,Opmerking,0
field,"party.contact_mechanism,email",0,E-Mail,E-mail,0
field,"party.contact_mechanism,other_value",0,Value,Waarde,0
field,"party.contact_mechanism,party",0,Party,Relatie,0
field,"party.contact_mechanism,rec_name",0,Name,Naam,0
field,"party.contact_mechanism,sequence",0,Sequence,Reeks,0
field,"party.contact_mechanism,sip",0,SIP,SIP,0
field,"party.contact_mechanism,skype",0,Skype,Skype,0
field,"party.contact_mechanism,type",0,Type,Type,0
field,"party.contact_mechanism,value",0,Value,Waarde,0
field,"party.contact_mechanism,website",0,Website,Website,0
field,"party.party,active",0,Active,Actief,0
field,"party.party,addresses",0,Addresses,Adressen,0
field,"party.party,categories",0,Categories,Categorieën,0
field,"party.party,code",0,Code,Code,0
field,"party.party,code_length",0,Code Length,Lengte code,0
field,"party.party,contact_mechanisms",0,Contact Mechanisms,Contactmogelijkheden,0
field,"party.party,email",0,E-Mail,E-mail,0
field,"party.party,fax",0,Fax,Fax,0
field,"party.party,full_name",0,Full Name,Naam voluit,0
field,"party.party,lang",0,Language,Taal,0
field,"party.party,mobile",0,Mobile,Mobiel,0
field,"party.party,name",0,Name,Naam,0
field,"party.party,phone",0,Phone,Telefoon,0
field,"party.party,rec_name",0,Name,Naam,0
field,"party.party,vat_code",0,VAT Code,BTW-nummer,0
field,"party.party,vat_country",0,VAT Country,BTW-land,0
field,"party.party,vat_number",0,VAT Number,BTW-nummer,0
field,"party.party,website",0,Website,Website,0
field,"party.party-party.category,category",0,Category,Categorie,0
field,"party.party-party.category,party",0,Party,Relatie,0
field,"party.party-party.category,rec_name",0,Name,Naam,0
help,"party.party,vat_country",0,Setting VAT country will enable validation of the VAT number.,De keuze van een BTW land maakt controle van het BTW nummer mogelijk.,0
help,"party.party,vat_number",0,Value Added Tax number,Nummer omzetbelasting,0
